Date,Open,High,Low,Close,Volume,Change
2022-01-03,2985,3005,2955,2970,7818,-0.005025125628140725
2022-01-04,2970,3235,2945,3055,91236,0.028619528619528545
2022-01-05,3085,3175,3060,3175,87187,0.03927986906710301
2022-01-06,3170,3200,3090,3105,38229,-0.022047244094488216
2022-01-07,3100,3165,3080,3140,24543,0.011272141706924366
2022-01-10,3190,3190,3080,3145,16010,0.0015923566878981443
2022-01-11,3135,3170,3080,3165,24756,0.006359300476947549
2022-01-12,3160,3275,3115,3225,95447,0.018957345971563955
2022-01-13,3225,3225,3200,3210,6944,-0.0046511627906976605
2022-01-14,3210,3230,3180,3215,20655,0.0015576323987538387
2022-01-17,3245,3245,3125,3145,17029,-0.021772939346811793
2022-01-18,3120,3215,3105,3150,26658,0.0015898251192367763
2022-01-19,3140,3140,2955,3050,62655,-0.031746031746031744
2022-01-20,3050,3050,2990,3050,19364,0.0
2022-01-21,3050,3050,2955,3020,22162,-0.00983606557377048
2022-01-24,2990,3020,2905,3020,67034,0.0
2022-01-25,3000,3000,2905,2985,21447,-0.011589403973509937
2022-01-26,2980,2980,2895,2970,28947,-0.005025125628140725
2022-01-27,2965,2965,2825,2825,28428,-0.04882154882154888
2022-01-28,2825,2880,2780,2880,64340,0.019469026548672552
2022-02-03,2880,2910,2865,2890,30057,0.003472222222222321
2022-02-04,2920,2945,2880,2915,30020,0.00865051903114189
2022-02-07,2915,2960,2885,2960,15972,0.015437392795883298
2022-02-08,2960,3010,2895,2920,28959,-0.013513513513513487
2022-02-09,2920,2970,2920,2970,22064,0.017123287671232834
2022-02-10,2980,3040,2955,2985,11785,0.005050505050504972
2022-02-11,2980,2980,2935,2970,15322,-0.005025125628140725
2022-02-14,2925,2930,2860,2895,23837,-0.025252525252525304
2022-02-15,2870,2910,2845,2895,34249,0.0
2022-02-16,2900,2995,2900,2985,9336,0.031088082901554515
2022-02-17,2985,2995,2905,2970,45378,-0.005025125628140725
2022-02-18,2930,3000,2925,3000,22301,0.010101010101010166
2022-02-21,2970,3075,2955,3065,51423,0.021666666666666723
2022-02-22,3010,3065,2995,3045,28760,-0.006525285481239762
2022-02-23,3050,3080,3010,3065,25738,0.006568144499178974
2022-02-24,3065,3070,2955,3015,42866,-0.01631321370309946
2022-02-25,3015,3045,2990,3035,11092,0.0066334991708125735
2022-02-28,3035,3070,2985,3060,39735,0.008237232289950658
2022-03-02,3025,3090,3025,3080,31526,0.006535947712418277
2022-03-03,3080,3125,3080,3110,21706,0.009740259740259827
2022-03-04,3080,3130,3035,3090,14182,-0.006430868167202619
2022-03-07,3090,3090,2985,3025,13852,-0.021035598705501646
2022-03-08,3020,3020,2950,2980,36297,-0.014876033057851235
2022-03-10,3010,3045,3000,3030,18725,0.016778523489932917
2022-03-11,3040,3095,3000,3085,11132,0.018151815181518094
2022-03-14,3085,3110,3070,3085,15431,0.0
2022-03-15,3085,3155,3080,3105,21302,0.006482982171799101
2022-03-16,3110,3165,3110,3130,24052,0.008051529790660261
2022-03-17,3145,3235,3130,3235,92766,0.033546325878594185
2022-03-18,3225,3260,3200,3230,58220,-0.0015455950540957941
2022-03-21,3240,3305,3200,3235,71891,0.001547987616099089
2022-03-22,3235,3275,3215,3240,15374,0.0015455950540959051
2022-03-23,3235,3280,3170,3190,23800,-0.015432098765432056
2022-03-24,3190,3195,3110,3195,24984,0.0015673981191222097
2022-03-25,3180,3190,3155,3190,14128,-0.0015649452269170805
2022-03-28,3175,3250,3145,3195,26172,0.0015673981191222097
2022-03-29,3195,3270,3190,3220,25599,0.00782472613458518
2022-03-30,3225,3245,3190,3220,7404,0.0
2022-03-31,3215,3225,3175,3200,12264,-0.006211180124223614
2022-04-01,3200,3200,3140,3145,44053,-0.017187500000000022
2022-04-04,3160,3245,3160,3230,46662,0.027027027027026973
2022-04-05,3250,3280,3235,3280,23898,0.015479876160990669
2022-04-06,3275,3275,3220,3265,22393,-0.004573170731707266
2022-04-07,3260,3265,3190,3205,22061,-0.018376722817764146
2022-04-08,3195,3200,3125,3150,40085,-0.01716068642745705
2022-04-11,3240,4025,3190,3725,16023339,0.18253968253968256
2022-04-12,3630,3715,3550,3700,2020040,-0.006711409395973145
2022-04-13,3755,3755,3475,3525,1521699,-0.04729729729729726
2022-04-14,3550,3610,3495,3575,659105,0.014184397163120588
2022-04-15,3560,3650,3520,3620,460538,0.012587412587412583
2022-04-18,3640,3645,3510,3600,297745,-0.0055248618784530246
2022-04-19,3620,3630,3560,3580,293938,-0.005555555555555536
2022-04-20,3615,3700,3580,3670,429434,0.025139664804469275
2022-04-21,3685,3690,3595,3660,256957,-0.0027247956403270157
2022-04-22,3660,3660,3550,3620,223083,-0.010928961748633892
2022-04-25,3555,3640,3535,3590,154730,-0.008287292817679592
2022-04-26,3600,3630,3570,3600,116647,0.0027855153203342198
2022-04-27,3560,3595,3500,3560,111045,-0.011111111111111072
2022-04-28,3590,3590,3530,3550,60221,-0.002808988764044895
2022-04-29,3575,3665,3550,3635,210869,0.023943661971830954
2022-05-02,3615,3710,3575,3690,278953,0.015130674002751032
2022-05-03,3690,3695,3630,3635,109115,-0.01490514905149054
2022-05-04,3635,3635,3560,3565,125164,-0.019257221458046758
2022-05-06,3530,3575,3515,3530,72670,-0.009817671809256634
2022-05-09,3510,3530,3340,3340,189760,-0.053824362606232246
2022-05-10,3290,3380,3255,3380,118317,0.011976047904191711
2022-05-11,3325,3435,3325,3385,58881,0.0014792899408284654
2022-05-12,3335,3465,3330,3380,76980,-0.001477104874446078
2022-05-13,3380,3425,3360,3420,30455,0.01183431952662728
2022-05-16,3450,3450,3365,3415,63655,-0.0014619883040936088
2022-05-17,3415,3435,3395,3400,38754,-0.004392386530014614
2022-05-18,3440,3440,3365,3370,39945,-0.008823529411764675
2022-05-19,3320,3370,3300,3365,46297,-0.0014836795252225476
2022-05-20,3335,3445,3335,3425,45960,0.017830609212481363
2022-05-23,3440,3445,3390,3410,22048,-0.004379562043795637
2022-05-24,3440,3440,3340,3355,26157,-0.016129032258064502
2022-05-25,3345,3370,3315,3355,37042,0.0
2022-05-26,3340,3385,3325,3365,24997,0.0029806259314455463
2022-05-27,3390,3390,3330,3370,14223,0.0014858841010401136
2022-05-30,3390,3450,3370,3450,31104,0.023738872403560762
2022-05-31,3450,3470,3425,3455,24319,0.0014492753623187582
2022-06-02,3455,3465,3410,3440,19822,-0.00434153400868309
2022-06-03,3470,3480,3410,3440,19112,0.0
2022-06-07,3440,3440,3395,3400,30064,-0.011627906976744207
2022-06-08,3395,3410,3335,3350,18560,-0.014705882352941124
2022-06-09,3340,3350,3310,3315,24390,-0.010447761194029903
2022-06-10,3270,3315,3260,3315,41488,0.0
2022-06-13,3280,3300,3165,3170,86818,-0.043740573152337814
2022-06-14,3150,3160,3025,3155,112528,-0.004731861198738141
2022-06-15,3155,3175,3005,3070,73459,-0.02694136291600635
2022-06-16,3145,3145,3050,3090,65641,0.006514657980456029
2022-06-17,2995,3065,2970,3025,119981,-0.021035598705501646
2022-06-20,3020,3040,2820,2915,88781,-0.036363636363636376
2022-06-21,2870,2940,2845,2940,47653,0.00857632933104635
2022-06-22,2910,2915,2700,2790,145901,-0.05102040816326525
2022-06-23,2790,2815,2515,2730,243638,-0.021505376344086002
2022-06-24,2650,2840,2650,2825,56695,0.0347985347985349
2022-06-27,2825,2965,2825,2930,57527,0.03716814159292037
2022-06-28,2930,2935,2855,2915,20229,-0.005119453924914641
2022-06-29,2865,2895,2845,2895,17405,-0.006861063464837058
2022-06-30,2870,2870,2780,2825,41618,-0.024179620034542326
2022-07-01,2785,2835,2765,2800,28518,-0.008849557522123908
2022-07-04,2780,2795,2710,2780,19730,-0.0071428571428571175
2022-07-05,2760,2850,2720,2840,24116,0.021582733812949728
2022-07-06,2850,2850,2760,2825,11968,-0.005281690140845119
2022-07-07,2800,2880,2800,2875,25260,0.017699115044247815
2022-07-08,2890,2920,2850,2895,26176,0.006956521739130528
2022-07-11,2895,2965,2850,2915,13119,0.006908462867012188
2022-07-12,2915,2915,2770,2900,43540,-0.005145797598627766
2022-07-13,2870,2925,2845,2910,38231,0.0034482758620688614
2022-07-14,2855,2920,2855,2915,27723,0.0017182130584192379
2022-07-15,2890,2935,2820,2910,12472,-0.0017152658662092923
2022-07-18,2940,2955,2890,2950,22594,0.013745704467353903
2022-07-19,2970,2970,2920,2965,4754,0.005084745762711895
2022-07-20,2975,2975,2915,2960,29040,-0.001686340640809414
2022-07-21,2980,2980,2915,2960,28856,0.0
2022-07-22,2935,2970,2935,2970,16132,0.0033783783783782884
2022-07-25,2950,2970,2900,2920,14712,-0.01683501683501687
2022-07-26,2910,2935,2905,2920,18981,0.0
2022-07-27,2900,2945,2900,2945,19613,0.008561643835616417
2022-07-28,2960,2975,2930,2960,8064,0.005093378607809784
2022-07-29,2945,2985,2945,2965,56361,0.0016891891891892552
2022-08-01,3010,3010,2930,2950,14891,-0.005059021922428353
2022-08-02,2965,2975,2910,2920,15821,-0.01016949152542368
2022-08-03,2960,3005,2915,2985,39294,0.022260273972602773
2022-08-04,3005,3005,2950,2970,23028,-0.005025125628140725
2022-08-05,2990,3025,2990,3010,21676,0.013468013468013407
2022-08-08,2995,3000,2950,2980,12064,-0.009966777408637828
2022-08-09,2975,3030,2955,2995,26372,0.005033557046979942
2022-08-10,2970,3015,2820,2865,177925,-0.04340567612687818
2022-08-11,2905,2920,2880,2915,43044,0.017452006980802848
2022-08-12,2900,2950,2895,2950,9297,0.012006861063464935
2022-08-16,2930,2930,2870,2895,40698,-0.01864406779661021
2022-08-17,2890,2890,2815,2860,113152,-0.012089810017271163
2022-08-18,2870,2885,2790,2875,40588,0.005244755244755206
2022-08-19,2900,2900,2830,2890,19147,0.00521739130434784
2022-08-22,2890,2890,2785,2835,37934,-0.01903114186851207
2022-08-23,2830,2850,2765,2840,29584,0.0017636684303350414
2022-08-24,2840,2915,2815,2870,18610,0.010563380281690238
2022-08-25,2900,2900,2855,2870,8067,0.0
2022-08-26,2895,2895,2860,2880,8814,0.0034843205574912606
2022-08-29,2795,2835,2745,2780,50820,-0.03472222222222221
2022-08-30,2780,2800,2735,2780,55940,0.0
2022-08-31,2770,2800,2740,2785,69910,0.0017985611510791255
2022-09-01,2775,3295,2745,2775,3794559,-0.0035906642728904536
2022-09-02,2800,2820,2725,2725,207509,-0.018018018018018056
2022-09-05,2735,2735,2680,2685,146666,-0.014678899082568808
2022-09-06,2680,2785,2680,2740,36560,0.020484171322160183
2022-09-07,2740,2790,2720,2745,50914,0.0018248175182482562
2022-09-08,2750,2840,2745,2800,66371,0.020036429872495543
2022-09-13,2800,2880,2775,2850,68777,0.017857142857142794
2022-09-14,2750,2805,2750,2800,29431,-0.01754385964912286
2022-09-15,2810,2940,2790,2840,63991,0.014285714285714235
2022-09-16,2830,2835,2760,2800,31373,-0.014084507042253502
2022-09-19,2835,2835,2715,2760,49351,-0.014285714285714235
2022-09-20,2740,2775,2740,2775,43756,0.005434782608695565
2022-09-21,2765,2790,2755,2765,12143,-0.003603603603603567
2022-09-22,2760,2765,2700,2725,57554,-0.01446654611211573
2022-09-23,2725,2740,2660,2685,65165,-0.014678899082568808
2022-09-26,2660,2665,2560,2620,221680,-0.02420856610800748
2022-09-27,2635,2635,2575,2620,55224,0.0
2022-09-28,2590,2635,2490,2600,180450,-0.007633587786259555
2022-09-29,2620,2650,2585,2610,26358,0.0038461538461538325
2022-09-30,2580,2615,2505,2590,26045,-0.007662835249042099
2022-10-04,2590,2620,2590,2620,10670,0.01158301158301156
2022-10-05,2635,2650,2575,2620,25951,0.0
2022-10-06,2605,2730,2605,2715,24574,0.03625954198473291
2022-10-07,2750,2750,2685,2715,6791,0.0
2022-10-11,2705,2705,2580,2600,42604,-0.0423572744014733
2022-10-12,2565,2595,2495,2560,143549,-0.01538461538461533
2022-10-13,2550,2550,2390,2405,152251,-0.060546875
2022-10-14,2415,2475,2410,2460,61002,0.022869022869022926
2022-10-17,2420,2515,2410,2495,31163,0.014227642276422703
2022-10-18,2525,2590,2505,2560,15948,0.02605210420841675
2022-10-19,2525,2590,2525,2570,13203,0.00390625
2022-10-20,2555,2565,2505,2540,16706,-0.011673151750972721
2022-10-21,2600,2610,2515,2535,4168,-0.0019685039370078705
2022-10-24,2590,2590,2525,2545,16185,0.0039447731755424265
2022-10-25,2545,2545,2500,2520,13982,-0.00982318271119842
2022-10-26,2540,2560,2515,2560,10066,0.015873015873015817
2022-10-27,2595,2660,2535,2620,35527,0.0234375
2022-10-28,2605,2630,2585,2615,7034,-0.001908396946564861
2022-10-31,2595,2620,2570,2575,8773,-0.015296367112810683
2022-11-01,2590,2640,2560,2625,13030,0.01941747572815533
2022-11-02,2615,2640,2590,2615,12387,-0.003809523809523818
2022-11-03,2615,2710,2585,2635,81444,0.007648183556405286
2022-11-04,2635,2700,2635,2675,29123,0.015180265654648917
2022-11-07,2700,2700,2650,2690,24790,0.005607476635514086
2022-11-08,2690,2720,2665,2710,14295,0.0074349442379182396
2022-11-09,2715,2715,2660,2715,5779,0.0018450184501845879
2022-11-10,2715,2750,2675,2700,5935,-0.0055248618784530246
2022-11-11,2745,2745,2690,2725,17063,0.0092592592592593
2022-11-14,2740,2745,2695,2740,27207,0.005504587155963359
2022-11-15,2740,2745,2690,2735,19134,-0.0018248175182481452
2022-11-16,2735,2780,2700,2745,19293,0.003656307129798808
2022-11-17,2755,2765,2720,2745,26475,0.0
2022-11-18,2780,2780,2735,2750,13138,0.0018214936247722413
2022-11-21,2805,2805,2705,2730,13917,-0.0072727272727273196
2022-11-22,2745,2745,2700,2730,14514,0.0
2022-11-23,2770,2775,2705,2740,19450,0.00366300366300365
2022-11-24,2760,2760,2725,2735,13144,-0.0018248175182481452
2022-11-25,2735,2740,2725,2740,15967,0.001828153564899404
2022-11-28,2740,2740,2710,2715,13674,-0.009124087591240837
2022-11-29,2710,2720,2670,2700,68603,-0.0055248618784530246
2022-11-30,2700,2750,2680,2725,29954,0.0092592592592593
2022-12-01,2725,2760,2700,2705,26810,-0.007339449541284404
2022-12-02,2705,2720,2690,2710,9017,0.001848428835489857
2022-12-05,2735,2735,2695,2705,16619,-0.0018450184501844769
2022-12-06,2730,2735,2670,2705,10757,0.0
2022-12-07,2690,2710,2665,2710,16018,0.001848428835489857
2022-12-08,2675,2710,2660,2665,15756,-0.016605166051660514
2022-12-09,2710,2710,2655,2675,8205,0.0037523452157599557
2022-12-12,2675,2730,2665,2705,17665,0.01121495327102795
2022-12-13,2730,2730,2670,2710,31907,0.001848428835489857
2022-12-14,2725,2725,2675,2705,16567,-0.0018450184501844769
2022-12-15,2720,2720,2685,2690,8543,-0.00554528650646946
2022-12-16,2695,2700,2650,2660,14260,-0.01115241635687736
2022-12-19,2660,2660,2635,2640,8933,-0.007518796992481258
2022-12-20,2625,2635,2530,2620,34757,-0.007575757575757569
2022-12-21,2595,2635,2595,2620,9602,0.0
2022-12-22,2620,2640,2590,2610,10830,-0.003816793893129722
2022-12-23,2610,2610,2550,2570,17169,-0.01532567049808431
2022-12-26,2570,2570,2505,2545,20450,-0.009727626459143934
2022-12-27,2530,2550,2520,2550,26147,0.0019646365422396617
2022-12-28,2550,2560,2480,2550,51382,0.0
2022-12-29,2550,2550,2500,2500,9547,-0.019607843137254943
2023-01-02,2500,2535,2420,2490,74073,-0.0040000000000000036
2023-01-03,2445,2515,2385,2430,111163,-0.02409638554216864
2023-01-04,2400,2455,2385,2450,27052,0.008230452674897082
2023-01-05,2455,2455,2415,2450,20053,0.0
2023-01-06,2450,2495,2425,2475,15325,0.010204081632652962
2023-01-09,2475,2520,2475,2500,96545,0.010101010101010166
2023-01-10,2500,2515,2480,2495,16663,-0.0020000000000000018
2023-01-11,2520,2580,2505,2560,16322,0.02605210420841675
2023-01-12,2565,2605,2545,2585,14089,0.009765625
2023-01-13,2585,2640,2575,2640,28121,0.02127659574468077
2023-01-16,2665,2670,2615,2660,15074,0.007575757575757569
2023-01-17,2660,2660,2625,2635,7199,-0.009398496240601517
2023-01-18,2605,2700,2605,2660,23303,0.009487666034155628
2023-01-19,2640,2670,2575,2630,21272,-0.011278195488721776
2023-01-20,2620,2665,2615,2655,7876,0.009505703422053147
2023-01-25,2665,2665,2625,2645,8149,-0.0037664783427495685
2023-01-26,2660,2660,2635,2655,7590,0.003780718336483968
2023-01-27,2650,2655,2630,2655,17201,0.0
2023-01-30,2650,2660,2645,2655,27078,0.0
2023-01-31,2655,2655,2625,2635,10110,-0.007532956685499026
2023-02-01,2640,2650,2605,2630,36216,-0.00189753320683117
2023-02-02,2605,2655,2605,2655,41551,0.009505703422053147
2023-02-03,2650,2910,2650,2800,330372,0.05461393596986808
2023-02-06,2800,2910,2745,2910,322624,0.03928571428571437
2023-02-07,3060,3320,2805,2850,3268065,-0.020618556701030966
2023-02-08,2875,2890,2800,2810,171578,-0.01403508771929829
2023-02-09,2830,2920,2810,2870,97783,0.021352313167259718
2023-02-10,2865,2885,2780,2785,96959,-0.029616724738675937
2023-02-13,2800,2855,2765,2855,48858,0.025134649910233398
2023-02-14,2855,2905,2840,2890,76759,0.012259194395796813
2023-02-15,2925,2925,2850,2880,70625,-0.0034602076124568004
2023-02-16,2885,2915,2850,2880,52218,0.0
2023-02-17,2900,2920,2845,2870,48604,-0.00347222222222221
2023-02-20,2870,2890,2830,2875,32137,0.0017421602787457413
2023-02-21,2875,2885,2850,2875,53960,0.0
2023-02-22,2870,2885,2845,2855,26014,-0.006956521739130417
2023-02-23,2840,2870,2820,2865,28267,0.003502626970227629
2023-02-24,2865,2865,2785,2820,28061,-0.015706806282722474
2023-02-27,2770,2885,2745,2835,27904,0.005319148936170137
2023-02-28,2835,2850,2810,2835,11070,0.0
2023-03-02,2805,2840,2785,2840,38037,0.0017636684303350414
2023-03-03,2870,2890,2830,2870,43191,0.010563380281690238
2023-03-06,2895,2955,2880,2905,109566,0.012195121951219523
2023-03-07,2895,2955,2890,2930,46749,0.008605851979345935
2023-03-08,2915,2955,2890,2925,24497,-0.0017064846416382506
2023-03-09,2920,2955,2895,2935,26380,0.0034188034188034067
2023-03-10,2905,2960,2880,2935,68546,0.0
2023-03-13,2910,2935,2835,2935,60798,0.0
2023-03-14,2895,2905,2785,2785,61605,-0.05110732538330498
2023-03-15,2810,2850,2780,2795,34276,0.0035906642728904536
2023-03-16,2795,2795,2715,2745,41736,-0.017889087656529523
2023-03-17,2770,2790,2725,2790,21865,0.016393442622950838
2023-03-20,2740,2785,2740,2780,14988,-0.0035842293906810374
2023-03-21,2785,2785,2715,2735,33314,-0.01618705035971224
