Date,Open,High,Low,Close,Volume,Change
2022-01-03,12500,12500,11500,11500,2,-0.14814814814814814
2022-01-04,10550,10550,10550,10550,0,-0.08260869565217388
2022-01-05,10400,10400,10400,10400,1,-0.014218009478673022
2022-01-06,10250,10250,10250,10250,0,-0.014423076923076872
2022-01-07,10150,10150,10150,10150,0,-0.009756097560975618
2022-01-10,10100,10100,10100,10100,0,-0.0049261083743842304
2022-01-11,11550,11550,8610,10350,7,0.024752475247524774
2022-01-12,10250,10250,10250,10250,0,-0.009661835748792313
2022-01-13,11500,11500,11500,11500,1,0.12195121951219523
2022-01-14,10300,10300,10300,10300,0,-0.10434782608695647
2022-01-17,11650,11650,11650,11650,1,0.13106796116504849
2022-01-18,9950,9950,9950,9950,53,-0.14592274678111583
2022-01-19,8470,9940,8460,9940,171,-0.0010050251256281673
2022-01-20,9930,9930,9930,9930,1,-0.001006036217303774
2022-01-21,11300,11300,11300,11300,1,0.13796576032225571
2022-01-24,9650,9650,9650,9650,0,-0.14601769911504425
2022-01-25,10950,10950,10250,10250,2,0.06217616580310881
2022-01-26,9990,9990,9990,9990,0,-0.025365853658536608
2022-01-27,11450,11450,9990,10000,100,0.0010010010010010895
2022-01-28,10000,10000,10000,10000,0,0.0
2022-02-03,10000,10000,10000,10000,2,0.0
2022-02-04,10000,10000,10000,10000,0,0.0
2022-02-07,10450,10450,10450,10450,1,0.04499999999999993
2022-02-08,10100,10100,10100,10100,0,-0.03349282296650713
2022-02-09,11550,11550,11550,11550,1,0.14356435643564347
2022-02-10,9850,13050,9850,11950,314,0.03463203463203457
2022-02-11,10200,11900,10200,11900,11,-0.004184100418409997
2022-02-14,13450,13450,11550,11900,10,0.0
2022-02-15,10900,10900,10900,10900,0,-0.08403361344537819
2022-02-16,10750,10750,10750,10750,0,-0.013761467889908285
2022-02-17,10700,10700,10700,10700,0,-0.0046511627906976605
2022-02-18,10650,10650,10650,10650,0,-0.004672897196261627
2022-02-21,10600,10600,10600,10600,0,-0.0046948356807511304
2022-02-22,11850,11850,11850,11850,1,0.11792452830188682
2022-02-23,11700,11700,10100,11600,321,-0.021097046413502074
2022-02-24,11300,11300,11300,11300,0,-0.025862068965517238
2022-02-25,11250,11250,11250,11250,0,-0.004424778761061954
2022-02-28,11000,11000,11000,11000,0,-0.022222222222222254
2022-03-02,10950,10950,10950,10950,0,-0.004545454545454519
2022-03-03,9350,10900,9350,10900,11,-0.004566210045662156
2022-03-04,10850,10850,10850,10850,0,-0.004587155963302725
2022-03-07,10100,10100,10100,10100,0,-0.06912442396313367
2022-03-08,8600,11250,8600,10050,164,-0.004950495049504955
2022-03-10,8550,8560,8550,8550,407,-0.14925373134328357
2022-03-11,9490,9490,7280,9480,15,0.1087719298245613
2022-03-14,9470,9470,9470,9470,0,-0.0010548523206751481
2022-03-15,9460,9460,9460,9460,0,-0.001055966209081327
2022-03-16,10350,10350,10350,10350,1,0.09408033826638484
2022-03-17,8800,8800,8800,8800,12,-0.1497584541062802
2022-03-18,8780,8780,8780,8780,41,-0.002272727272727315
2022-03-21,9980,9980,9980,9980,6,0.13667425968109348
2022-03-22,8490,8490,8490,8490,142,-0.14929859719438876
2022-03-23,9580,9580,7220,9470,9,0.11542991755005882
2022-03-24,9840,9840,8060,8980,152,-0.05174234424498414
2022-03-25,7800,8880,7650,8880,748,-0.011135857461024523
2022-03-28,8800,8800,8800,8800,0,-0.009009009009009028
2022-03-29,8490,8490,8490,8490,0,-0.035227272727272774
