Date,Open,High,Low,Close,Volume,Change
2022-01-03,12600,12800,12250,12800,77896,0.015873015873015817
2022-01-04,12850,13050,12800,13000,33608,0.015625
2022-01-05,13000,13100,12800,12850,44174,-0.011538461538461497
2022-01-06,12750,13050,12700,13000,57039,0.011673151750972721
2022-01-07,13050,13200,13000,13100,39334,0.007692307692307665
2022-01-10,13100,13350,13050,13350,48067,0.01908396946564883
2022-01-11,13300,14000,13200,13900,192444,0.04119850187265928
2022-01-12,13900,14300,13800,14200,156694,0.021582733812949728
2022-01-13,14200,14600,14050,14300,134339,0.007042253521126751
2022-01-14,14250,14400,14000,14000,55515,-0.020979020979020935
2022-01-17,14000,14000,13500,13600,75208,-0.02857142857142858
2022-01-18,13600,13850,13200,13450,83297,-0.011029411764705843
2022-01-19,13300,13700,13150,13550,52252,0.0074349442379182396
2022-01-20,13350,13650,13350,13600,36625,0.0036900369003689537
2022-01-21,13500,14000,13500,13650,43967,0.003676470588235281
2022-01-24,13650,13850,13250,13750,82380,0.0073260073260073
2022-01-25,13900,13900,13250,13600,87315,-0.010909090909090868
2022-01-26,13600,13950,13550,13950,95352,0.025735294117646967
2022-01-27,14050,14600,13850,14100,169162,0.010752688172043001
2022-01-28,14150,14650,14050,14500,151610,0.028368794326241176
2022-02-03,14650,15400,14650,15400,238694,0.06206896551724128
2022-02-04,15400,15700,15200,15700,144968,0.01948051948051943
2022-02-07,15750,16400,15700,16350,185947,0.04140127388535042
2022-02-08,16650,17150,16350,16950,349847,0.03669724770642202
2022-02-09,17200,18350,16900,18250,566562,0.07669616519174038
2022-02-10,18900,21700,16900,18800,2224627,0.03013698630136985
2022-02-11,19100,22150,19050,21350,1909248,0.1356382978723405
2022-02-14,20850,21200,19000,21200,597814,-0.007025761124121788
2022-02-15,21600,21650,20200,21150,254598,-0.002358490566037763
2022-02-16,20800,22450,20800,21500,266842,0.016548463356973908
2022-02-17,21600,22250,21050,21600,243647,0.0046511627906977715
2022-02-18,21600,21700,20200,21150,142874,-0.02083333333333337
2022-02-21,21000,22350,20700,22000,238526,0.04018912529550822
2022-02-22,22250,22550,20050,20050,480430,-0.08863636363636362
2022-02-23,20650,24500,20500,23500,1718295,0.17206982543640903
2022-02-24,24000,24750,23500,24000,739673,0.02127659574468077
2022-02-25,23700,23750,20300,20550,1135461,-0.14375000000000004
2022-02-28,19950,20400,18100,18450,823944,-0.1021897810218978
2022-03-02,18250,21850,17950,20050,2169558,0.08672086720867211
2022-03-03,21000,21100,18700,19350,854030,-0.034912718204488824
2022-03-04,19350,20000,18800,19350,389904,0.0
2022-03-07,19300,19800,19250,19400,185414,0.0025839793281654533
2022-03-08,19050,19400,17900,19100,378728,-0.015463917525773141
2022-03-10,19150,19600,19100,19100,102937,0.0
2022-03-11,19000,20300,19000,19800,266754,0.03664921465968596
2022-03-14,19800,21750,19700,21000,609008,0.06060606060606055
2022-03-15,21100,22050,20400,21600,447253,0.02857142857142847
2022-03-16,21950,26000,21500,24950,1962370,0.15509259259259256
2022-03-17,24600,24650,22350,22800,923867,-0.08617234468937873
2022-03-18,22350,22800,20000,20400,1372592,-0.10526315789473684
2022-03-21,21000,21500,20700,21250,624465,0.04166666666666674
2022-03-22,21800,24150,21500,23950,1080905,0.12705882352941167
2022-03-23,29400,30500,27100,28800,3200474,0.20250521920668052
2022-03-24,29500,31450,28950,31200,2023702,0.08333333333333326
2022-03-25,31250,34350,31000,33500,1982886,0.07371794871794868
2022-03-28,32600,32900,29500,29500,906362,-0.11940298507462688
2022-03-29,30250,31200,26350,26900,1549858,-0.08813559322033904
2022-03-30,23150,23650,19400,20200,3301404,-0.24907063197026025
2022-03-31,20200,20900,19500,20600,1222315,0.01980198019801982
2022-04-01,20500,21700,20300,21250,901310,0.031553398058252524
2022-04-04,21250,23300,21150,23100,842085,0.08705882352941186
2022-04-05,23400,24800,23400,24000,849145,0.03896103896103886
2022-04-06,23900,24350,23200,23700,471434,-0.012499999999999956
2022-04-07,23400,23600,22650,23000,398408,-0.029535864978902926
2022-04-08,23100,23900,22350,23650,450854,0.02826086956521734
