Date,Open,High,Low,Close,Volume,Change
2022-01-03,4165,4420,4165,4390,140823,0.054021608643457286
2022-01-04,4390,4470,4285,4415,72993,0.005694760820045497
2022-01-05,4480,5730,4325,5730,4486023,0.29784824462061166
2022-01-06,5910,7050,5150,6420,12562137,0.12041884816753923
2022-01-07,6000,7300,5850,6420,6705450,0.0
2022-01-10,6490,6630,6020,6030,1507756,-0.06074766355140182
2022-01-11,5900,5980,5300,5320,964880,-0.11774461028192373
2022-01-12,5330,6310,5260,5860,5402502,0.10150375939849621
2022-01-13,5910,6540,5900,6120,3718445,0.04436860068259385
2022-01-14,6000,6680,5610,6290,3819535,0.02777777777777768
2022-01-17,5350,5610,5260,5420,934873,-0.13831478537360886
2022-01-18,5600,6400,5420,5680,3934169,0.047970479704797064
2022-01-19,5510,6060,5400,5670,1480921,-0.0017605633802817433
2022-01-20,5600,5760,5310,5450,584329,-0.03880070546737213
2022-01-21,5420,5960,5340,5700,1586911,0.04587155963302747
2022-01-24,5550,5830,5370,5370,413009,-0.05789473684210522
2022-01-25,5400,5560,4830,4950,547493,-0.07821229050279332
2022-01-26,4905,5200,4550,4550,600999,-0.08080808080808077
2022-01-27,4550,4550,4140,4160,403612,-0.08571428571428574
2022-01-28,4170,4525,4010,4405,268335,0.05889423076923084
2022-02-03,4405,4670,4335,4560,228630,0.03518728717366626
2022-02-04,4545,4740,4335,4675,119670,0.025219298245614086
2022-02-07,4685,4990,4680,4875,165650,0.04278074866310155
2022-02-08,4835,4940,4695,4695,101149,-0.03692307692307695
2022-02-09,4765,5150,4725,5020,192030,0.06922257720979763
2022-02-10,5130,5130,4750,4820,100009,-0.03984063745019917
2022-02-11,4765,4830,4640,4680,51300,-0.02904564315352698
2022-02-14,4600,4600,4285,4335,118823,-0.07371794871794868
2022-02-15,4270,4480,4250,4255,95992,-0.018454440599769306
2022-02-16,4260,4550,4260,4485,77012,0.054054054054053946
2022-02-17,4515,4530,4315,4400,82218,-0.018952062430323324
2022-02-18,4370,4490,4340,4440,28695,0.009090909090909038
2022-02-21,4435,4445,4150,4380,41798,-0.013513513513513487
2022-02-22,4320,4580,4205,4255,57807,-0.028538812785388168
2022-02-23,4305,4485,4260,4435,45674,0.04230317273795525
2022-02-24,4435,4480,4100,4135,85245,-0.06764374295377673
2022-02-25,4535,4535,4180,4245,54214,0.026602176541717037
2022-02-28,4245,4370,4230,4320,42827,0.0176678445229681
2022-03-02,4385,4435,4330,4350,29936,0.00694444444444442
2022-03-03,4600,4600,4305,4380,103100,0.006896551724137945
2022-03-04,4310,4540,4300,4300,55507,-0.0182648401826484
2022-03-07,4300,4360,4125,4195,41507,-0.024418604651162745
2022-03-08,4185,4185,4015,4040,54475,-0.03694874851013108
2022-03-10,4185,4570,4090,4240,105688,0.04950495049504955
2022-03-11,4300,4550,4290,4525,133004,0.06721698113207553
2022-03-14,4570,4995,4325,4335,634350,-0.04198895027624305
2022-03-15,4345,4425,4250,4280,66632,-0.012687427912341454
2022-03-16,4285,4420,4230,4370,62419,0.02102803738317749
2022-03-17,4485,4485,4215,4400,96913,0.006864988558352492
2022-03-18,4450,4535,4400,4485,50575,0.01931818181818179
2022-03-21,4495,4970,4360,4670,963237,0.04124860646599782
2022-03-22,4590,4685,4535,4600,178637,-0.01498929336188437
2022-03-23,4605,4870,4580,4730,349240,0.02826086956521734
2022-03-24,4665,4665,4480,4515,122985,-0.045454545454545414
2022-03-25,4495,4550,4450,4475,61109,-0.008859357696566983
2022-03-28,4475,4630,4430,4490,101288,0.003351955307262511
