Date,Open,High,Low,Close,Volume,Change
2022-01-03,24193,24566,23773,24333,25343,0.011640959547665641
2022-01-04,24333,24566,24053,24333,15844,0.0
2022-01-05,24286,24379,23820,23867,12353,-0.019150947273250285
2022-01-06,23447,25638,23400,25172,76663,0.054678007290400954
2022-01-07,24985,25172,24519,24846,25943,-0.01295089782297787
2022-01-10,24845,24938,23959,24193,15416,-0.026281896482331146
2022-01-11,24193,24240,23634,24007,11640,-0.007688174265283343
2022-01-12,24052,25264,24052,24752,28908,0.03103261548714964
2022-01-13,24519,24892,24332,24426,8148,-0.013170652876535183
2022-01-14,23960,24519,23773,24007,15942,-0.01715385245230494
2022-01-17,24053,24146,23167,23401,11391,-0.02524263756404377
2022-01-18,23400,23493,22608,22608,10783,-0.03388744070766203
2022-01-19,22608,22841,22282,22422,7813,-0.00822717622080682
2022-01-20,22375,22794,22002,22655,7773,0.010391579698510345
2022-01-21,22654,22841,22281,22515,7910,-0.006179651291105759
2022-01-24,22514,22514,21629,21629,11068,-0.039351543415500734
2022-01-25,21349,21862,20510,20790,18709,-0.038790512737528315
2022-01-26,20556,21116,20510,20650,9651,-0.006734006734006703
2022-01-27,20650,21442,19764,20091,10650,-0.0270702179176755
2022-01-28,20324,20790,19764,20697,8697,0.03016275944452751
2022-02-03,21256,21676,21070,21443,8237,0.0360438710924289
2022-02-04,21256,21862,21163,21583,12706,0.00652893718229719
2022-02-07,21582,21862,21442,21862,8270,0.012926840568966425
2022-02-08,21908,22188,21535,21722,5297,-0.006403805690238795
2022-02-09,21583,22002,21583,21956,3070,0.01077248872111225
2022-02-10,21955,22095,21536,21909,5268,-0.0021406449262160177
2022-02-11,21816,21862,21256,21350,5943,-0.025514628691405306
2022-02-14,20836,21115,20323,20510,10704,-0.03934426229508192
2022-02-15,20416,20416,18412,18925,31632,-0.07727937591418821
2022-02-16,19391,20137,19344,20137,9968,0.06404227212681635
2022-02-17,20510,20510,19484,20044,12976,-0.0046183642051944584
2022-02-18,19345,20091,19298,20091,8843,0.002344841349032123
2022-02-21,20044,20044,19485,19858,6472,-0.011597232591707751
2022-02-22,19671,19998,19252,19392,9944,-0.023466612951958954
2022-02-23,19485,19718,19345,19625,5347,0.012015264026402628
2022-02-24,19625,19671,18786,18786,10026,-0.042751592356687906
2022-02-25,19065,19531,19065,19392,5309,0.032258064516129004
2022-02-28,19252,19858,19112,19765,5495,0.019234735973597372
2022-03-02,19764,20650,19764,20324,15165,0.02828231722742225
2022-03-03,20883,20883,20324,20464,5272,0.006888407793741447
2022-03-04,20464,20464,19998,20371,3441,-0.0045445660672400745
2022-03-07,20276,20276,19624,19904,6527,-0.022924745962397575
2022-03-08,19811,19811,19205,19625,6585,-0.014017282958199373
2022-03-10,19578,20324,19578,20091,4866,0.023745222929936416
2022-03-11,20463,20463,19764,20137,4435,0.002289582400079704
2022-03-14,20417,20417,19671,19858,3704,-0.013855092615583264
2022-03-15,19857,20323,19670,20137,8539,0.014049753248061236
2022-03-16,20230,20743,19997,20417,6270,0.013904752445746738
2022-03-17,20696,21022,20463,20883,6900,0.02282411715727095
2022-03-18,20929,20976,20509,20743,4308,-0.006704017621989133
2022-03-21,20790,21023,20650,20790,5180,0.00226582461553293
2022-03-22,20743,20930,20463,20697,5077,-0.004473304473304518
2022-03-23,20790,21023,20650,20930,12428,0.011257670193747904
