Date,Open,High,Low,Close,Volume,Change
2022-01-03,5100,5230,5070,5200,25628,0.019607843137254832
2022-01-04,5130,5200,5110,5130,18638,-0.013461538461538414
2022-01-05,5130,5320,5100,5290,55060,0.031189083820662766
2022-01-06,5270,5270,5120,5200,24934,-0.017013232514177745
2022-01-07,5180,5250,5140,5200,20396,0.0
2022-01-10,5070,5140,5000,5050,33980,-0.028846153846153855
2022-01-11,5060,5100,4990,5070,18442,0.003960396039603964
2022-01-12,5060,5060,5000,5040,14216,-0.00591715976331364
2022-01-13,5040,5040,4980,5010,28689,-0.005952380952380931
2022-01-14,5000,5000,4955,4995,20040,-0.0029940119760478723
2022-01-17,4985,4985,4905,4965,11526,-0.006006006006005982
2022-01-18,4900,4965,4800,4805,32169,-0.03222557905337364
2022-01-19,4725,4780,4675,4695,15617,-0.02289281997918835
2022-01-20,4650,4770,4625,4700,14336,0.0010649627263046302
2022-01-21,4615,4695,4615,4685,14877,-0.0031914893617021045
2022-01-24,4685,4685,4525,4530,27742,-0.033084311632870844
2022-01-25,4525,4580,4245,4245,50110,-0.0629139072847682
2022-01-26,4200,4305,4200,4220,37582,-0.005889281507656108
2022-01-27,4265,4265,3995,4020,30590,-0.04739336492891
2022-01-28,3975,4190,3975,4110,33794,0.02238805970149249
2022-02-03,4125,4350,4125,4325,18349,0.05231143552311446
2022-02-04,4290,4500,4290,4475,15856,0.034682080924855585
2022-02-07,4550,4550,4430,4485,12717,0.0022346368715084886
2022-02-08,4445,4610,4445,4500,13057,0.0033444816053511683
2022-02-09,4475,4685,4470,4635,18470,0.030000000000000027
2022-02-10,4630,4630,4510,4510,12685,-0.02696871628910469
2022-02-11,4500,4505,4375,4430,8110,-0.0177383592017738
2022-02-14,4430,4430,4230,4240,20420,-0.04288939051918739
2022-02-15,4200,4260,3975,4050,29045,-0.04481132075471694
2022-02-16,4200,4300,4150,4260,8494,0.051851851851851816
2022-02-17,4260,4395,4075,4200,18442,-0.014084507042253502
2022-02-18,4120,4365,4120,4345,17748,0.03452380952380962
2022-02-21,4345,4460,4280,4345,63531,0.0
2022-02-22,4295,4385,4275,4300,19437,-0.010356731875719172
2022-02-23,4330,4455,4265,4290,22453,-0.0023255813953488857
2022-02-24,4290,4295,4140,4140,13526,-0.034965034965035
2022-02-25,4140,4300,4140,4220,15117,0.019323671497584627
2022-02-28,4250,4255,4170,4200,13163,-0.004739336492891044
2022-03-02,4245,4445,4205,4435,15125,0.055952380952380976
2022-03-03,4410,4480,4395,4455,21940,0.004509582863585049
2022-03-04,4400,4485,4400,4485,10169,0.006734006734006703
2022-03-07,4485,4485,4280,4320,29822,-0.03678929765886285
2022-03-08,4215,4300,4215,4275,9453,-0.01041666666666663
2022-03-10,4275,4375,4275,4300,14483,0.005847953216374213
2022-03-11,4255,4310,4220,4285,11914,-0.0034883720930232176
2022-03-14,4295,4330,4260,4300,15060,0.003500583430571691
2022-03-15,4300,4310,4265,4290,8645,-0.0023255813953488857
2022-03-16,4300,4310,4270,4310,12188,0.004662004662004726
2022-03-17,4310,4395,4255,4375,20352,0.015081206496519783
2022-03-18,4375,4565,4370,4500,49417,0.02857142857142847
2022-03-21,4455,4540,4400,4520,25181,0.004444444444444473
2022-03-22,4530,4625,4460,4565,58335,0.009955752212389424
2022-03-23,4600,4700,4515,4515,52302,-0.010952902519167584
2022-03-24,4555,5540,4545,5100,4684406,0.12956810631229243
2022-03-25,5100,5180,4910,5010,479984,-0.01764705882352946
