Date,Open,High,Low,Close,Volume,Change
2022-01-03,4625,4635,4550,4615,319036,0.019889502762430844
2022-01-04,4625,4690,4590,4635,447363,0.004333694474539573
2022-01-05,4635,4730,4555,4630,433024,-0.0010787486515642097
2022-01-06,4635,4715,4455,4480,714812,-0.03239740820734338
2022-01-07,4480,4575,4480,4510,167851,0.006696428571428603
2022-01-10,4510,4535,4330,4350,251507,-0.03547671840354771
2022-01-11,4345,4420,4200,4280,231652,-0.016091954022988464
2022-01-12,4295,4395,4295,4325,122309,0.010514018691588856
2022-01-13,4395,4630,4330,4570,732922,0.05664739884393066
2022-01-14,4525,4640,4485,4500,383812,-0.015317286652078765
2022-01-17,4515,4555,4275,4305,384886,-0.043333333333333335
2022-01-18,4305,4420,4295,4345,193163,0.009291521486643362
2022-01-19,4290,4345,4190,4200,254393,-0.03337169159953968
2022-01-20,4200,4280,4165,4280,117758,0.01904761904761898
2022-01-21,4235,4295,4165,4225,118004,-0.012850467289719614
2022-01-24,4160,4170,4000,4030,173848,-0.0461538461538461
2022-01-25,4030,4040,3700,3800,240262,-0.05707196029776673
2022-01-26,3760,3905,3700,3800,234922,0.0
2022-01-27,3835,3910,3660,3660,174922,-0.0368421052631579
2022-01-28,3670,3810,3550,3795,269906,0.03688524590163933
2022-02-03,3800,4000,3800,3970,126764,0.046113306982872304
2022-02-04,4050,4050,3930,3985,77609,0.0037783375314861534
2022-02-07,3995,3995,3900,3945,230025,-0.010037641154328703
2022-02-08,4250,4250,3855,3855,555235,-0.02281368821292773
2022-02-09,3860,4000,3860,3915,118860,0.015564202334630295
2022-02-10,3980,3990,3850,3875,122079,-0.010217113665389577
2022-02-11,3790,3875,3760,3760,154859,-0.029677419354838697
2022-02-14,3660,3680,3575,3580,176924,-0.0478723404255319
2022-02-15,3565,3745,3475,3490,186391,-0.025139664804469275
2022-02-16,3570,3680,3570,3680,99248,0.054441260744985565
2022-02-17,3685,3760,3550,3690,123322,0.0027173913043478937
2022-02-18,3670,3730,3610,3695,96583,0.0013550135501354532
2022-02-21,3655,3730,3615,3680,107094,-0.004059539918809252
2022-02-22,3620,3700,3590,3595,84040,-0.02309782608695654
2022-02-23,3595,3655,3595,3640,38828,0.012517385257301727
2022-02-24,3630,3635,3380,3425,197395,-0.05906593406593408
2022-02-25,3510,3590,3470,3525,89988,0.029197080291970767
2022-02-28,3525,3615,3525,3585,57266,0.017021276595744705
2022-03-02,3555,3650,3550,3605,101106,0.00557880055788007
2022-03-03,3720,3720,3625,3680,95388,0.020804438280166426
2022-03-04,3680,3695,3630,3650,57898,-0.008152173913043459
2022-03-07,3635,3640,3530,3545,91462,-0.02876712328767128
2022-03-08,3780,3800,3465,3470,297019,-0.021156558533145242
2022-03-10,3520,3640,3520,3555,114646,0.02449567723342949
2022-03-11,3570,3745,3560,3660,167592,0.029535864978903037
2022-03-14,3670,4340,3555,3900,7068795,0.06557377049180335
2022-03-15,3835,3880,3725,3770,522062,-0.033333333333333326
2022-03-16,3835,3975,3750,3900,905858,0.034482758620689724
2022-03-17,3945,4065,3855,3900,1225286,0.0
2022-03-18,3900,3985,3890,3890,190101,-0.002564102564102555
2022-03-21,3890,3990,3890,3955,246120,0.016709511568123503
2022-03-22,3925,3995,3925,3935,201689,-0.005056890012642201
2022-03-23,3975,4110,3935,3970,672373,0.008894536213468918
2022-03-24,3955,3990,3900,3980,144668,0.0025188916876575096
2022-03-25,4010,4010,3950,3960,133020,-0.005025125628140725
2022-03-28,3960,3985,3890,3895,157084,-0.016414141414141437
2022-03-29,3895,3985,3870,3940,192094,0.011553273427471034
2022-03-30,3940,3960,3870,3885,134202,-0.013959390862944177
2022-03-31,3895,3965,3885,3920,85267,0.009009009009008917
2022-04-01,3960,3995,3890,3965,165666,0.011479591836734748
2022-04-04,3970,4410,3920,4065,3638276,0.02522068095838592
2022-04-05,4070,4125,4040,4075,468107,0.002460024600245969
2022-04-06,4115,4245,4030,4030,587726,-0.011042944785276121
2022-04-07,4035,4075,3985,3985,196958,-0.011166253101737023
2022-04-08,4000,4260,4000,4075,895740,0.02258469259723972
2022-04-11,4060,4105,3985,3995,217966,-0.019631901840490795
2022-04-12,3995,4020,3895,3910,197398,-0.021276595744680882
2022-04-13,3920,4240,3920,3980,1440316,0.01790281329923271
2022-04-14,4015,4025,3955,3955,196092,-0.006281407035175879
2022-04-15,3980,3980,3880,3980,81624,0.006321112515802696
2022-04-18,4000,4000,3935,3945,90934,-0.008793969849246186
2022-04-19,3915,3955,3910,3945,83638,0.0
2022-04-20,3970,4110,3970,4000,326566,0.013941698352344822
2022-04-21,4020,4395,4000,4165,3867108,0.04125000000000001
2022-04-22,4100,4225,4055,4225,633215,0.014405762304922076
2022-04-25,4200,4200,4050,4060,483434,-0.03905325443786978
2022-04-26,4075,4130,4015,4025,270237,-0.008620689655172376
2022-04-27,3890,3995,3875,3950,238062,-0.018633540372670843
2022-04-28,3950,4145,3950,4005,441006,0.013924050632911467
2022-04-29,4020,4085,4020,4055,135272,0.012484394506866447
2022-05-02,3985,4045,3920,3935,269422,-0.0295930949445129
2022-05-03,3945,4090,3945,4065,293481,0.033036848792884266
2022-05-04,4085,4120,4040,4075,226273,0.002460024600245969
2022-05-06,4050,4055,3975,4010,146466,-0.015950920245398792
2022-05-09,3980,4010,3875,3905,226078,-0.026184538653366562
2022-05-10,3855,3920,3720,3905,166117,0.0
2022-05-11,3890,4070,3885,3910,222952,0.001280409731113874
2022-05-12,3920,4150,3820,3820,618673,-0.023017902813299185
2022-05-13,3905,3945,3850,3910,79629,0.023560209424083878
2022-05-16,3980,4050,3945,3995,238462,0.021739130434782705
2022-05-17,3990,4025,3955,3970,112933,-0.006257822277847325
2022-05-18,4030,4030,3925,4000,162639,0.007556675062972307
2022-05-19,3900,4345,3890,4005,3267022,0.0012499999999999734
2022-05-20,4015,4075,3975,4005,445949,0.0
2022-05-23,4000,4430,3985,4135,4260580,0.03245942571785276
2022-05-24,4140,4180,4050,4050,478952,-0.02055622732769047
2022-05-25,4080,4220,4080,4140,787244,0.022222222222222143
2022-05-26,4245,4380,4150,4200,1808249,0.01449275362318847
2022-05-27,4235,4450,4185,4220,2720661,0.004761904761904745
