Date,Open,High,Low,Close,Volume,Change
2022-01-03,14500,15000,14400,14900,205848,0.03114186851211076
2022-01-04,15000,15100,14550,14700,181630,-0.01342281879194629
2022-01-05,14650,14700,14250,14450,147426,-0.017006802721088454
2022-01-06,14100,14600,14000,14300,147226,-0.01038062283737029
2022-01-07,14350,14800,14150,14750,162671,0.03146853146853146
2022-01-10,14750,14750,14200,14200,158041,-0.037288135593220306
2022-01-11,14300,14400,14050,14200,94566,0.0
2022-01-12,14300,14550,14200,14450,85982,0.01760563380281699
2022-01-13,14450,15200,14450,15100,528742,0.04498269896193774
2022-01-14,15250,15500,14800,15150,426519,0.0033112582781456013
2022-01-17,14950,15000,14300,14500,219567,-0.04290429042904287
2022-01-18,14400,14700,13900,14000,276794,-0.03448275862068961
2022-01-19,13750,14000,13550,13900,116373,-0.0071428571428571175
2022-01-20,13700,14200,13700,14200,77792,0.021582733812949728
2022-01-21,13850,14050,13850,14000,67436,-0.014084507042253502
2022-01-24,13750,13900,13250,13400,137899,-0.042857142857142816
2022-01-25,13300,13350,12500,12750,207036,-0.04850746268656714
2022-01-26,12550,13250,12550,12900,123823,0.0117647058823529
2022-01-27,12850,13050,12000,12300,154344,-0.046511627906976716
2022-01-28,12200,13100,11950,13050,168751,0.060975609756097615
2022-02-03,13300,14050,13250,13700,179612,0.04980842911877392
2022-02-04,13600,16000,13550,15550,1813816,0.13503649635036497
2022-02-07,15100,15850,14850,15500,988984,-0.003215434083601254
2022-02-08,16000,16700,15250,15600,1452358,0.006451612903225712
2022-02-09,16100,16400,15650,16000,554812,0.02564102564102555
2022-02-10,16400,16400,15700,16150,451696,0.009374999999999911
2022-02-11,15850,16400,15800,15850,516598,-0.018575851393188847
2022-02-14,15350,15900,15200,15500,340585,-0.02208201892744477
2022-02-15,15600,15700,14700,15000,312367,-0.032258064516129004
2022-02-16,15550,15800,15200,15800,324470,0.05333333333333323
2022-02-17,15850,16400,15100,15550,673293,-0.015822784810126556
2022-02-18,15200,16250,15200,15900,411772,0.022508038585209
2022-02-21,15450,16200,15450,16100,338937,0.012578616352201255
2022-02-22,15700,16000,15500,15650,331854,-0.02795031055900621
2022-02-23,15800,15900,15450,15750,175912,0.006389776357827559
2022-02-24,15400,15600,15000,15000,279219,-0.04761904761904767
2022-02-25,15300,15700,15250,15700,207210,0.046666666666666634
2022-02-28,16000,16150,15450,16000,367468,0.019108280254777066
2022-03-02,15850,16300,15750,16200,307037,0.012499999999999956
2022-03-03,16450,16500,16000,16500,355651,0.0185185185185186
2022-03-04,16600,16600,16050,16250,268430,-0.015151515151515138
2022-03-07,15900,16100,15500,15900,208486,-0.021538461538461506
2022-03-08,15400,15850,13050,14350,1263175,-0.09748427672955973
2022-03-10,15150,15450,14800,15050,412799,0.04878048780487809
2022-03-11,15350,16350,15150,16250,917210,0.07973421926910307
2022-03-14,16450,16500,15700,15750,487943,-0.03076923076923077
2022-03-15,15850,16250,15700,16000,371495,0.015873015873015817
2022-03-16,16650,16700,16100,16150,447068,0.009374999999999911
2022-03-17,16450,16450,15950,16200,311332,0.003095975232198178
2022-03-18,16200,16200,15700,15950,219346,-0.015432098765432056
2022-03-21,16300,16550,16050,16050,418504,0.006269592476489061
2022-03-22,16050,16100,15800,16000,159894,-0.0031152647975077885
2022-03-23,16050,16050,15700,15800,222332,-0.012499999999999956
2022-03-24,12400,14300,12400,14050,3300192,-0.11075949367088611
2022-03-25,14100,14150,13300,13550,991666,-0.03558718861209964
2022-03-28,13550,13750,13250,13550,405335,0.0
2022-03-29,13700,13750,13450,13600,263813,0.0036900369003689537
2022-03-30,13900,14100,13800,13950,396394,0.025735294117646967
2022-03-31,14000,14050,13700,13950,205481,0.0
2022-04-01,14000,14400,13850,14350,380450,0.028673835125448077
2022-04-04,14600,14750,14550,14700,339059,0.024390243902439046
2022-04-05,14950,14950,14200,14550,254412,-0.010204081632653073
2022-04-06,14350,14950,14300,14550,304766,0.0
2022-04-07,14850,14850,14300,14400,160537,-0.010309278350515427
2022-04-08,14400,14400,13950,14350,142215,-0.00347222222222221
2022-04-11,14500,14500,13900,14100,121907,-0.017421602787456414
2022-04-12,13850,14000,13700,13950,132027,-0.010638297872340385
2022-04-13,13950,14250,13700,14150,132567,0.014336917562723928
2022-04-14,14350,14400,13900,14100,120460,-0.0035335689045936647
2022-04-15,14050,14100,13800,14000,85359,-0.007092198581560294
2022-04-18,14050,14350,13950,14100,146059,0.0071428571428571175
2022-04-19,14100,14100,13800,13950,102080,-0.010638297872340385
2022-04-20,14100,14100,13700,13800,122026,-0.010752688172043001
2022-04-21,13800,13850,13600,13650,107744,-0.010869565217391353
2022-04-22,13650,13650,13400,13550,95192,-0.0073260073260073
2022-04-25,13400,13400,13100,13200,102390,-0.02583025830258301
2022-04-26,13100,13400,13050,13100,95397,-0.007575757575757569
2022-04-27,12800,13050,12550,13050,113898,-0.003816793893129722
2022-04-28,12950,13300,12800,12850,80623,-0.01532567049808431
2022-04-29,13100,13300,13000,13150,104330,0.023346303501945442
2022-05-02,13150,13500,12900,13150,96212,0.0
2022-05-03,13150,13200,12950,13050,61926,-0.0076045627376425395
2022-05-04,13050,13050,12600,12700,132221,-0.026819923371647514
2022-05-06,12600,12700,12350,12500,91954,-0.015748031496062964
2022-05-09,12400,12400,11900,11900,140290,-0.04800000000000004
2022-05-10,11700,11700,10850,11500,199957,-0.03361344537815125
2022-05-11,11500,11800,11250,11500,100159,0.0
2022-05-12,11300,11300,10650,10650,172682,-0.07391304347826089
2022-05-13,10550,10950,10500,10850,79405,0.018779342723004744
2022-05-16,11200,11400,11000,11250,77715,0.03686635944700467
2022-05-17,11350,11350,11050,11150,38826,-0.008888888888888835
2022-05-18,11300,11300,11000,11050,50484,-0.008968609865470878
2022-05-19,10600,11550,10600,11300,91129,0.02262443438914019
2022-05-20,11150,11300,11100,11200,53992,-0.008849557522123908
2022-05-23,11250,11250,10900,10950,51750,-0.022321428571428603
2022-05-24,10800,11150,10800,10800,42445,-0.013698630136986356
2022-05-25,10850,10900,10650,10800,42214,0.0
2022-05-26,10850,11150,10750,10950,51854,0.01388888888888884
2022-05-27,11200,11550,11100,11550,141724,0.0547945205479452
2022-05-30,11750,12050,11700,12000,111522,0.03896103896103886
2022-05-31,12250,12250,11800,12000,63860,0.0
2022-06-02,12000,12000,11400,11500,125560,-0.04166666666666663
2022-06-03,11800,11800,11500,11750,100198,0.021739130434782705
2022-06-07,11850,11900,11650,11750,47751,0.0
2022-06-08,11950,11950,11700,11750,36940,0.0
2022-06-09,11550,11750,11400,11450,59885,-0.025531914893617058
2022-06-10,11400,11400,10950,11050,122890,-0.03493449781659386
2022-06-13,10600,10750,10200,10250,132573,-0.07239819004524883
2022-06-14,9900,10200,9680,10150,134832,-0.009756097560975618
2022-06-15,10150,10200,9570,9620,124418,-0.05221674876847293
2022-06-16,9770,10100,9700,9700,69226,0.008316008316008316
2022-06-17,9600,9820,9000,9770,79998,0.007216494845360799
2022-06-20,9770,9770,8990,9110,127855,-0.06755373592630498
2022-06-21,9010,9520,8930,9410,79812,0.03293084522502743
2022-06-22,9400,9490,8900,8940,68202,-0.04994686503719448
2022-06-23,8900,9090,8200,8240,147532,-0.07829977628635343
2022-06-24,8120,8590,8120,8510,61994,0.03276699029126218
2022-06-27,8850,8980,8510,8950,63399,0.051703877790834296
2022-06-28,8920,9090,8850,9070,68263,0.013407821229050265
2022-06-29,8920,8980,8790,8920,45694,-0.016538037486218293
2022-06-30,8920,9010,8550,8660,45518,-0.029147982062780242
2022-07-01,8660,8820,8260,8290,54320,-0.04272517321016167
2022-07-04,8290,8480,8080,8160,39948,-0.0156815440289505
2022-07-05,8160,8430,8030,8340,36759,0.022058823529411686
2022-07-06,8340,8430,8130,8160,43150,-0.021582733812949617
2022-07-07,8200,8310,8060,8220,81280,0.007352941176470562
2022-07-08,8220,8360,8210,8230,69342,0.0012165450121655041
2022-07-11,8230,8230,7910,7950,116771,-0.03402187120291611
2022-07-12,7700,7870,6990,7300,221492,-0.08176100628930816
2022-07-13,7300,7590,7290,7470,95181,0.023287671232876672
2022-07-14,7470,7600,7420,7530,64774,0.008032128514056325
