Date,Open,High,Low,Close,Volume,Change
2022-01-03,283,292,282,290,6231030,0.028368794326241176
2022-01-04,292,292,283,286,4924060,-0.01379310344827589
2022-01-05,282,284,275,278,6149365,-0.027972027972028024
2022-01-06,272,278,269,271,5578880,-0.025179856115107868
2022-01-07,272,282,272,276,3519915,0.01845018450184499
2022-01-10,277,277,268,268,4244610,-0.02898550724637683
2022-01-11,268,270,262,264,4054945,-0.014925373134328401
2022-01-12,266,268,262,264,2810895,0.0
2022-01-13,265,266,260,263,3249590,-0.0037878787878787845
2022-01-14,262,268,260,263,2572875,0.0
2022-01-17,264,264,254,254,4680960,-0.034220532319391594
2022-01-18,256,261,248,248,4677330,-0.023622047244094446
2022-01-19,241,250,239,243,6190845,-0.020161290322580627
2022-01-20,238,246,238,245,6469375,0.008230452674897082
2022-01-21,242,250,240,247,4610740,0.008163265306122547
2022-01-24,243,246,234,237,4309980,-0.04048582995951422
2022-01-25,235,237,220,220,8617735,-0.07172995780590719
2022-01-26,220,230,218,222,4778195,0.009090909090909038
2022-01-27,223,224,206,209,6210780,-0.058558558558558516
2022-01-28,209,218,204,215,3718495,0.028708133971291794
2022-02-03,219,229,218,226,4310475,0.051162790697674376
2022-02-04,225,235,224,232,4378040,0.026548672566371723
2022-02-07,231,247,230,241,6777340,0.0387931034482758
2022-02-08,244,247,237,241,3058630,0.0
2022-02-09,243,247,240,246,2494445,0.020746887966804906
2022-02-10,247,247,240,241,1991975,-0.020325203252032575
2022-02-11,237,242,234,238,2903200,-0.012448132780082943
2022-02-14,232,238,222,227,2840965,-0.04621848739495793
2022-02-15,223,231,221,221,2768700,-0.026431718061673992
2022-02-16,227,234,227,233,3021705,0.05429864253393668
2022-02-17,234,238,226,232,2812225,-0.0042918454935622075
2022-02-18,232,239,229,237,3447810,0.02155172413793105
2022-02-21,232,255,231,242,9310915,0.021097046413502074
2022-02-22,242,246,232,234,3465285,-0.03305785123966942
2022-02-23,234,245,234,241,4113410,0.029914529914529808
2022-02-24,236,239,222,222,6297845,-0.07883817427385897
2022-02-25,230,236,228,231,3280415,0.04054054054054057
2022-02-28,228,235,226,231,2672810,0.0
2022-03-02,229,237,229,235,2444325,0.017316017316017396
2022-03-03,238,246,238,240,3820300,0.02127659574468077
2022-03-04,240,240,232,236,2451720,-0.01666666666666672
