Date,Open,High,Low,Close,Volume,Change
2022-01-03,55000,55000,54200,54500,4207,-0.005474452554744547
2022-01-04,55000,55600,54500,55300,7960,0.014678899082568808
2022-01-05,55600,56500,55000,55000,7458,-0.005424954792043413
2022-01-06,55300,55400,54700,55000,10774,0.0
2022-01-07,56000,57200,55600,56200,23556,0.021818181818181737
2022-01-10,56300,56700,55200,55900,10257,-0.005338078291814985
2022-01-11,55900,56100,54400,55400,19734,-0.008944543828264706
2022-01-12,56000,57000,55600,56400,15223,0.018050541516245522
2022-01-13,56700,57000,55700,56200,8972,-0.0035460992907800915
2022-01-14,56100,56300,55100,55600,5803,-0.010676156583629859
2022-01-17,55800,55900,55100,55500,8591,-0.0017985611510791255
2022-01-18,55700,55700,54400,55200,5295,-0.00540540540540535
2022-01-19,54400,56900,54400,56000,20063,0.01449275362318847
2022-01-20,56300,57200,55000,55000,9260,-0.017857142857142905
2022-01-21,54600,55000,52600,53200,10137,-0.032727272727272716
2022-01-24,53100,53700,51700,52400,6363,-0.015037593984962405
2022-01-25,52900,52900,49700,50200,18561,-0.041984732824427495
2022-01-26,50700,51700,50700,51300,7027,0.021912350597609542
2022-01-27,51300,51500,49750,50400,12354,-0.01754385964912286
2022-01-28,50200,52700,50200,52600,12957,0.04365079365079372
2022-02-03,53600,53800,52600,53000,7558,0.0076045627376426506
2022-02-04,53100,54200,53100,53600,6185,0.01132075471698113
2022-02-07,53800,54300,53000,53300,9624,-0.005597014925373123
2022-02-08,53300,53900,52300,52700,9265,-0.011257035647279534
2022-02-09,53000,53000,51500,52600,4127,-0.00189753320683117
2022-02-10,52600,52900,52000,52400,3497,-0.0038022813688213253
2022-02-11,52000,52200,51200,51800,4568,-0.011450381679389277
2022-02-14,52200,53500,52000,52900,9533,0.021235521235521304
2022-02-15,52400,53000,51000,51400,4567,-0.02835538752362954
2022-02-16,51900,51900,50700,51100,5768,-0.005836575875486361
2022-02-17,51200,51900,51000,51000,4381,-0.00195694716242667
2022-02-18,50900,51000,50200,50500,5506,-0.009803921568627416
2022-02-21,50900,50900,50100,50400,2266,-0.001980198019801982
2022-02-22,50400,51100,49500,49900,7038,-0.009920634920634885
2022-02-23,50000,50200,49550,49700,6189,-0.004008016032064132
2022-02-24,49500,51700,49200,50700,15813,0.02012072434607637
2022-02-25,50600,51400,49950,50900,8920,0.0039447731755424265
2022-02-28,51400,51400,50500,51000,5617,0.0019646365422396617
2022-03-02,51500,52700,51300,52000,21459,0.019607843137254832
2022-03-03,52900,53400,52100,52400,26263,0.007692307692307665
2022-03-04,52500,53700,51400,53400,14688,0.01908396946564883
2022-03-07,54700,55100,53400,54200,30692,0.014981273408239737
2022-03-08,54000,54700,52700,53200,14189,-0.01845018450184499
2022-03-10,52100,52600,50800,51900,12379,-0.024436090225563922
2022-03-11,51900,51900,50100,50700,12490,-0.023121387283236983
2022-03-14,51100,51300,50500,51000,4637,0.00591715976331364
2022-03-15,51400,51400,49850,49850,11931,-0.022549019607843168
2022-03-16,49450,51300,49450,51200,10360,0.027081243731193583
2022-03-17,51300,51900,51100,51500,6707,0.005859375
2022-03-18,52000,52700,51800,52100,19703,0.011650485436893288
2022-03-21,53200,53800,52600,53400,11585,0.0249520153550864
2022-03-22,54200,54300,53700,54000,5133,0.011235955056179803
2022-03-23,53600,53800,52900,53400,15105,-0.011111111111111072
2022-03-24,54200,54300,53500,53900,6185,0.009363295880149725
2022-03-25,53700,54400,53500,54300,6782,0.007421150278293043
2022-03-28,54400,56400,54400,56000,31194,0.03130755064456725
2022-03-29,55900,56700,55500,56300,14237,0.005357142857142838
2022-03-30,56200,57600,55400,56000,29857,-0.005328596802841923
2022-03-31,56000,56700,52700,55800,13778,-0.0035714285714285587
2022-04-01,56300,57300,55700,56700,16898,0.016129032258064502
2022-04-04,56700,58200,56200,57900,28076,0.021164021164021163
2022-04-05,58200,58200,57500,58000,11836,0.0017271157167531026
