Date,Open,High,Low,Close,Volume,Change
2022-01-03,7190,7240,7040,7140,73266,0.0
2022-01-04,7150,7200,7010,7140,49082,0.0
2022-01-05,7140,7690,6990,7470,506727,0.04621848739495804
2022-01-06,7350,8080,7260,7270,773621,-0.02677376171352075
2022-01-07,7470,7850,7400,7670,615123,0.05502063273727642
2022-01-10,7720,7910,7460,7550,320404,-0.01564537157757495
2022-01-11,7490,7490,7150,7180,177510,-0.0490066225165563
2022-01-12,7180,7280,7150,7240,67283,0.008356545961002881
2022-01-13,7230,7230,7140,7160,52198,-0.011049723756906049
2022-01-14,7020,7130,7020,7070,47310,-0.012569832402234637
2022-01-17,7060,7060,6900,6910,103347,-0.022630834512022635
2022-01-18,6960,6970,6740,6780,115741,-0.01881331403762665
2022-01-19,6730,6850,6650,6780,65607,0.0
2022-01-20,6730,6880,6730,6800,49328,0.002949852507374562
2022-01-21,6910,6950,6730,6790,59802,-0.0014705882352941124
2022-01-24,6800,6830,6640,6660,55492,-0.019145802650957333
2022-01-25,6630,6710,6220,6350,115876,-0.04654654654654655
2022-01-26,6320,6640,6320,6350,49047,0.0
2022-01-27,6320,6680,6060,6090,284258,-0.04094488188976375
2022-01-28,6060,6350,6010,6260,53634,0.02791461412151075
2022-02-03,6350,6580,6350,6540,49051,0.04472843450479225
2022-02-04,6550,6660,6500,6640,59756,0.015290519877675823
2022-02-07,6640,6790,6280,6710,63842,0.010542168674698704
2022-02-08,6530,6720,6530,6640,48479,-0.010432190760059634
2022-02-09,6610,6750,6610,6660,30862,0.003012048192771122
2022-02-10,6660,6660,6480,6530,34067,-0.019519519519519468
2022-02-11,6530,6530,6400,6410,23893,-0.018376722817764146
2022-02-14,6320,6350,6100,6140,52492,-0.04212168486739465
2022-02-15,6100,6200,6020,6110,39236,-0.004885993485342022
2022-02-16,6180,6340,6180,6330,28691,0.036006546644844484
2022-02-17,6420,6490,6140,6320,50717,-0.0015797788309637184
2022-02-18,6300,6460,6220,6410,18491,0.014240506329114
2022-02-21,6410,6510,6160,6510,35507,0.015600624024961096
2022-02-22,6480,6480,6220,6290,32915,-0.03379416282642089
2022-02-23,6280,6330,6250,6280,18535,-0.0015898251192368873
2022-02-24,6200,6280,6000,6070,73246,-0.03343949044585992
2022-02-25,6120,6200,6050,6100,36566,0.0049423393739702615
2022-02-28,6050,6130,6040,6080,30453,-0.003278688524590123
2022-03-02,6060,6190,6060,6140,26792,0.009868421052631637
2022-03-03,6170,6410,6140,6310,41797,0.027687296416938123
2022-03-04,6310,6320,6150,6210,25319,-0.015847860538827252
2022-03-07,6200,6200,6000,6150,29045,-0.009661835748792313
2022-03-08,6060,6140,6010,6050,27208,-0.016260162601625994
2022-03-10,6070,6250,6000,6120,52624,0.011570247933884392
2022-03-11,6180,6330,6030,6250,49419,0.0212418300653594
2022-03-14,6190,6400,6190,6250,65976,0.0
2022-03-15,6250,6870,6210,6510,717096,0.04160000000000008
2022-03-16,6530,6660,6450,6550,114717,0.006144393241167334
2022-03-17,6680,6690,6500,6560,75761,0.0015267175572519776
2022-03-18,6600,6600,6500,6550,33836,-0.0015243902439023849
2022-03-21,6550,6860,6530,6700,162358,0.022900763358778553
2022-03-22,6650,6760,6650,6660,50362,-0.005970149253731294
2022-03-23,6660,6760,6600,6760,65417,0.01501501501501501
2022-03-24,6760,6770,6400,6650,43611,-0.016272189349112454
2022-03-25,6660,6730,6560,6580,25446,-0.010526315789473717
2022-03-28,6910,7600,6770,7360,1391687,0.11854103343465039
2022-03-29,7360,7410,7090,7180,442713,-0.024456521739130488
2022-03-30,7900,8900,7420,8050,21001583,0.12116991643454034
2022-03-31,8800,8850,7720,7970,4938488,-0.009937888198757738
2022-04-01,8170,8420,7550,7690,5825532,-0.035131744040150514
2022-04-04,7690,8380,7160,7200,2926092,-0.06371911573472044
2022-04-05,7170,7480,6960,7400,1613652,0.02777777777777768
2022-04-06,7200,7280,6990,7000,632083,-0.05405405405405406
2022-04-07,6840,6970,6670,6750,396251,-0.0357142857142857
2022-04-08,6730,6750,6470,6500,263969,-0.03703703703703709
2022-04-11,6450,6590,6450,6510,139715,0.0015384615384614886
2022-04-12,6420,6480,6360,6390,130164,-0.018433179723502335
2022-04-13,6370,6550,6370,6490,170955,0.015649452269170583
2022-04-14,6490,6590,6460,6480,71889,-0.0015408320493066618
2022-04-15,6540,6610,6410,6480,87249,0.0
2022-04-18,6480,6550,6430,6500,89610,0.0030864197530864335
