Date,Open,High,Low,Close,Volume,Change
2022-01-03,88000,88300,86400,87500,15356,-0.015748031496062964
2022-01-04,88500,88500,85600,85900,13032,-0.01828571428571424
2022-01-05,85900,85900,83600,83600,14354,-0.0267753201396973
2022-01-06,82800,83600,80100,80100,16487,-0.04186602870813394
2022-01-07,80100,84900,80100,83700,10101,0.04494382022471921
2022-01-10,85100,85200,82200,83100,6051,-0.007168458781361964
2022-01-11,83200,84400,82400,83300,6595,0.002406738868832692
2022-01-12,84500,90000,84000,85900,27313,0.031212484993997647
2022-01-13,85100,86200,84100,84300,7362,-0.01862630966239809
2022-01-14,83500,83600,82000,82800,8301,-0.017793594306049876
2022-01-17,82000,82700,79700,80300,11332,-0.03019323671497587
2022-01-18,79500,81000,78500,80000,12379,-0.0037359900373599153
2022-01-19,79100,80000,77700,78500,6646,-0.018750000000000044
2022-01-20,78500,80600,78000,80500,8002,0.02547770700636942
2022-01-21,81100,81100,78800,80700,4168,0.00248447204968949
2022-01-24,80000,80000,77800,78800,9613,-0.023543990086741018
2022-01-25,78400,78700,72800,73500,29239,-0.06725888324873097
2022-01-26,72200,74500,72200,73200,15141,-0.004081632653061273
2022-01-27,71300,73100,67900,69900,23831,-0.04508196721311475
2022-01-28,69000,73900,69000,73100,12049,0.045779685264663916
2022-02-03,74700,76600,74600,76000,6994,0.039671682626539084
2022-02-04,74400,77100,74400,76600,4409,0.007894736842105177
2022-02-07,76600,76600,75400,75700,4888,-0.011749347258485643
2022-02-08,75500,76400,71000,74300,6186,-0.018494055482166427
2022-02-09,75100,76600,75100,76100,6552,0.024226110363391617
2022-02-10,76900,78200,75600,75700,6406,-0.005256241787122251
2022-02-11,75000,75600,74100,74600,6732,-0.014531043593130732
2022-02-14,74500,75000,71500,73300,5014,-0.017426273458445052
2022-02-15,73000,73100,70000,70400,10935,-0.0395634379263301
2022-02-16,71200,74800,71200,73400,8524,0.042613636363636465
2022-02-17,73400,74200,71000,72100,5511,-0.017711171662125325
2022-02-18,70700,73000,70700,72500,4005,0.00554785020804438
2022-02-21,70500,72400,70500,71500,3593,-0.01379310344827589
2022-02-22,70600,71300,68400,68400,14681,-0.043356643356643354
2022-02-23,68300,69500,68100,68700,5837,0.004385964912280604
2022-02-24,67700,68600,64400,64600,21459,-0.05967976710334788
2022-02-25,65400,66600,64600,64600,11013,0.0
2022-02-28,63000,65400,63000,65000,12427,0.006191950464396356
2022-03-02,64200,65700,64200,65300,7287,0.004615384615384688
2022-03-03,65900,66800,65500,66700,10893,0.0214395099540583
2022-03-04,67100,67100,65700,66600,6631,-0.0014992503748125774
2022-03-07,66200,66200,63900,65300,5673,-0.019519519519519468
2022-03-08,64000,64900,63500,63900,8136,-0.02143950995405819
2022-03-10,64900,65400,64000,64200,7935,0.0046948356807512415
2022-03-11,64700,64800,63700,64000,5308,-0.0031152647975077885
2022-03-14,64300,64400,62000,62000,10319,-0.03125
2022-03-15,62400,62400,60100,60800,9647,-0.01935483870967747
2022-03-16,61100,62400,61000,62100,6980,0.021381578947368363
2022-03-17,62700,63700,62600,63200,4548,0.017713365539452575
2022-03-18,63800,66100,63400,64500,13772,0.020569620253164667
2022-03-21,64500,65200,63800,64600,6114,0.0015503875968991832
2022-03-22,66700,67400,65200,65500,17345,0.01393188854489158
2022-03-23,65500,66300,65200,66300,7442,0.012213740458015376
2022-03-24,66000,66400,65200,66000,4682,-0.004524886877828038
2022-03-25,65800,67200,65400,66400,8619,0.0060606060606061
2022-03-28,66100,66800,65500,66000,7166,-0.0060240963855421326
2022-03-29,66000,67300,65700,66400,8857,0.0060606060606061
2022-03-30,66500,68200,66500,67700,11711,0.01957831325301207
2022-03-31,68000,69400,68000,68200,6492,0.007385524372230501
2022-04-01,68200,68300,66900,67600,5274,-0.008797653958944274
2022-04-04,67500,67900,66700,67400,5629,-0.00295857988165682
2022-04-05,67400,67700,66900,67400,5505,0.0
2022-04-06,66500,68700,66300,68000,8007,0.008902077151335286
2022-04-07,67600,69000,66400,68000,9792,0.0
2022-04-08,67800,68400,66500,68000,6547,0.0
2022-04-11,68000,68100,64700,67800,9085,-0.002941176470588225
2022-04-12,66700,67700,65600,65600,8852,-0.03244837758112096
2022-04-13,65700,66000,64500,65000,9137,-0.009146341463414642
2022-04-14,65100,65900,64900,65100,5501,0.0015384615384614886
2022-04-15,65500,65600,64000,65400,11923,0.004608294930875667
2022-04-18,68500,68500,65300,66000,16425,0.00917431192660545
2022-04-19,66500,66500,65400,66100,7156,0.0015151515151514694
2022-04-20,66100,66700,65900,66200,5083,0.001512859304084735
2022-04-21,66000,66700,65400,66100,5514,-0.0015105740181269312
2022-04-22,65800,65900,64500,65100,6242,-0.015128593040847238
2022-04-25,65000,71500,63500,64900,54387,-0.003072196620583667
2022-04-26,66000,66300,64400,64800,9015,-0.0015408320493066618
2022-04-27,63500,65900,63500,64000,4479,-0.012345679012345734
2022-04-28,62800,64800,62800,64000,16136,0.0
2022-04-29,63400,65000,63400,64700,11046,0.010937500000000044
2022-05-02,65100,68400,65100,66400,19533,0.026275115919629055
2022-05-03,66800,67800,65400,66300,4910,-0.001506024096385561
2022-05-04,66300,67000,65900,66200,6856,-0.0015082956259426794
2022-05-06,65900,66700,65000,65000,7912,-0.01812688821752262
2022-05-09,64500,64900,62500,62700,10435,-0.03538461538461535
2022-05-10,61700,62000,59100,61400,10813,-0.020733652312599715
2022-05-11,61100,65700,61000,64800,9236,0.055374592833876246
2022-05-12,63200,65800,62200,62700,10976,-0.03240740740740744
2022-05-13,62600,64600,62200,64500,3650,0.028708133971291794
2022-05-16,64400,65000,63300,64200,4744,-0.0046511627906976605
2022-05-17,64100,64200,63300,64200,4298,0.0
2022-05-18,64200,64400,63400,63900,3431,-0.004672897196261627
