Date,Open,High,Low,Close,Volume,Change
2022-01-03,20400,20400,20200,20200,35029,-0.009803921568627416
2022-01-04,20200,20350,20050,20200,31334,0.0
2022-01-05,20250,20250,20000,20050,31108,-0.007425742574257432
2022-01-06,19900,20000,19650,19700,78240,-0.017456359102244412
2022-01-07,19550,20000,19550,19850,34918,0.0076142131979695105
2022-01-10,20050,20500,19700,19750,76186,-0.005037783375314908
2022-01-11,19750,19900,19450,19650,37023,-0.005063291139240533
2022-01-12,19650,19800,19400,19600,42658,-0.0025445292620864812
2022-01-13,19650,19650,19250,19400,55491,-0.010204081632653073
2022-01-14,19200,19350,19150,19250,42162,-0.0077319587628865705
2022-01-17,19200,19200,18850,19000,46080,-0.012987012987012991
2022-01-18,18900,19200,18900,18950,42320,-0.0026315789473684292
2022-01-19,18600,19050,18600,18850,45650,-0.00527704485488123
2022-01-20,18800,19400,18800,19400,35156,0.02917771883289122
2022-01-21,19300,19450,19000,19050,50335,-0.01804123711340211
2022-01-24,19050,19100,18600,18800,60755,-0.013123359580052507
2022-01-25,18800,18900,18200,18200,74323,-0.03191489361702127
2022-01-26,18350,18750,18050,18150,52336,-0.0027472527472527375
2022-01-27,18150,18400,17350,17350,75300,-0.0440771349862259
2022-01-28,17800,18100,17250,18100,48531,0.043227665706051965
2022-02-03,18100,18550,18000,18500,32849,0.022099447513812098
2022-02-04,18100,18550,18100,18500,41783,0.0
2022-02-07,18700,18700,18150,18500,17283,0.0
2022-02-08,18500,18600,18200,18200,43300,-0.01621621621621616
2022-02-09,18350,19000,18350,18950,49720,0.041208791208791284
2022-02-10,18950,19100,18750,19000,28934,0.0026385224274405594
2022-02-11,19000,19100,18800,18950,28806,-0.0026315789473684292
2022-02-14,18600,18700,18200,18300,44427,-0.03430079155672827
2022-02-15,18200,18300,17700,17950,49425,-0.01912568306010931
2022-02-16,18050,18350,17950,18150,47738,0.011142061281337101
2022-02-17,18150,18800,17850,18350,70653,0.011019283746556363
2022-02-18,18250,18500,18000,18350,21814,0.0
2022-02-21,18000,18350,17900,18250,38304,-0.00544959128065392
2022-02-22,17900,18150,17900,18050,29627,-0.010958904109588996
2022-02-23,18050,18200,17900,18200,15134,0.008310249307479145
2022-02-24,17950,18200,17800,17950,46562,-0.013736263736263687
2022-02-25,18050,18350,18050,18250,32497,0.01671309192200554
2022-02-28,18100,18450,18100,18400,41662,0.008219178082191858
2022-03-02,18200,18900,18200,18750,57075,0.01902173913043481
2022-03-03,18900,19000,18700,18750,47853,0.0
2022-03-04,18700,18850,18450,18800,40868,0.002666666666666595
2022-03-07,18700,18800,18350,18400,40572,-0.021276595744680882
2022-03-08,18200,18300,17950,18050,47782,-0.01902173913043481
2022-03-10,18400,18500,18250,18450,31557,0.02216066481994461
2022-03-11,18450,18550,18100,18200,34979,-0.013550135501354976
2022-03-14,18200,18300,17750,17850,78106,-0.019230769230769273
2022-03-15,17700,17850,17300,17450,73439,-0.022408963585434205
2022-03-16,17450,17600,16900,17300,109955,-0.008595988538681931
2022-03-17,17600,17650,17450,17650,58653,0.020231213872832443
2022-03-18,17700,17700,17400,17650,32651,0.0
2022-03-21,17700,17750,17500,17650,37527,0.0
2022-03-22,17650,17750,17550,17700,41182,0.0028328611898016387
2022-03-23,17750,17800,17600,17750,41714,0.0028248587570620654
2022-03-24,17600,17800,17550,17650,28357,-0.005633802816901401
2022-03-25,17800,17800,17650,17650,32515,0.0
2022-03-28,17650,17700,17300,17400,43325,-0.014164305949008527
2022-03-29,17350,17550,17350,17550,39762,0.008620689655172376
2022-03-30,17550,17650,17500,17650,26657,0.005698005698005604
2022-03-31,17550,17850,17550,17800,66444,0.008498583569405138
2022-04-01,17700,17800,17550,17650,44274,-0.008426966292134797
2022-04-04,17700,17850,17700,17850,51128,0.011331444759206777
2022-04-05,17850,17950,17700,17900,53304,0.0028011204481792618
2022-04-06,17700,17850,17550,17600,44570,-0.016759776536312887
2022-04-07,17550,17550,17250,17400,55683,-0.011363636363636354
2022-04-08,17400,17450,17200,17300,35795,-0.005747126436781658
2022-04-11,17450,17800,17300,17500,65495,0.011560693641618602
2022-04-12,17500,17500,17100,17350,39450,-0.008571428571428563
2022-04-13,17350,17450,17200,17250,34051,-0.0057636887608069065
2022-04-14,17350,17400,17250,17300,25169,0.0028985507246377384
2022-04-15,17300,17500,17150,17500,45840,0.011560693641618602
2022-04-18,17500,17500,17200,17300,41489,-0.011428571428571455
2022-04-19,17300,17400,17250,17300,51440,0.0
2022-04-20,17300,17400,17150,17200,57628,-0.005780346820809301
2022-04-21,17200,17300,17150,17200,31766,0.0
2022-04-22,17150,17200,17050,17200,35986,0.0
2022-04-25,17150,17150,16850,16900,52436,-0.01744186046511631
2022-04-26,16900,17000,16600,16850,33656,-0.00295857988165682
2022-04-27,16500,16700,16200,16350,76368,-0.029673590504451064
2022-04-28,16300,16400,16150,16250,33163,-0.006116207951070374
2022-04-29,16250,16400,16200,16350,38896,0.006153846153846176
2022-05-02,16300,16400,16100,16400,32775,0.003058103975535076
2022-05-03,16400,16400,16100,16150,48945,-0.015243902439024404
2022-05-04,16200,16250,16050,16150,33529,0.0
2022-05-06,16000,16100,15500,15700,58246,-0.02786377708978327
2022-05-09,15700,15700,15050,15200,74158,-0.031847133757961776
2022-05-10,15000,15000,14350,14900,63000,-0.019736842105263164
2022-05-11,14900,15100,14600,15000,18006,0.006711409395973256
2022-05-12,14850,14900,14300,14350,44995,-0.043333333333333335
2022-05-13,14400,14600,14300,14500,38764,0.010452961672473782
2022-05-16,14500,14650,14200,14200,34517,-0.020689655172413834
2022-05-17,14150,14400,14150,14400,18034,0.014084507042253502
2022-05-18,14500,15150,14400,14700,77746,0.02083333333333326
2022-05-19,14350,14500,14250,14450,22641,-0.017006802721088454
2022-05-20,14450,14600,14450,14600,21046,0.01038062283737018
2022-05-23,14700,14850,14600,14750,23548,0.010273972602739656
2022-05-24,15100,15900,15050,15400,234334,0.04406779661016946
2022-05-25,15400,15550,15250,15500,43450,0.006493506493506551
2022-05-26,15550,15650,15350,15450,38706,-0.003225806451612856
2022-05-27,15550,15700,15500,15600,29972,0.009708737864077666
2022-05-30,15550,15800,15550,15750,36798,0.009615384615384581
2022-05-31,15750,15900,15600,15800,29717,0.0031746031746031633
2022-06-02,15750,15850,15600,15750,23071,-0.0031645569620253333
2022-06-03,15900,15900,15700,15800,21531,0.0031746031746031633
2022-06-07,15600,15850,15350,15450,19471,-0.022151898734177222
2022-06-08,15350,15500,15200,15400,21419,-0.003236245954692518
2022-06-09,15300,15350,14850,15150,19979,-0.016233766233766267
2022-06-10,14950,15050,14600,14600,32089,-0.0363036303630363
2022-06-13,14350,14600,13700,13700,65833,-0.06164383561643838
2022-06-14,13250,13850,13250,13650,75035,-0.0036496350364964014
2022-06-15,13550,14350,13300,13600,70453,-0.00366300366300365
2022-06-16,13850,14050,13500,13600,29090,0.0
2022-06-17,13200,13950,13100,13750,35370,0.011029411764705843
2022-06-20,14250,14250,13250,13400,50860,-0.025454545454545507
2022-06-21,13250,13850,13200,13800,42451,0.029850746268656803
2022-06-22,13800,14100,13250,13250,45865,-0.03985507246376807
2022-06-23,13250,13550,12700,12950,109230,-0.02264150943396226
2022-06-24,12800,13200,12650,13100,54358,0.01158301158301156
2022-06-27,13150,13600,13100,13400,47889,0.022900763358778553
2022-06-28,13600,13650,13300,13500,35175,0.00746268656716409
2022-06-29,13450,13450,13250,13350,22023,-0.011111111111111072
2022-06-30,13500,13500,13050,13200,28726,-0.011235955056179803
2022-07-01,13400,13450,12650,12750,34598,-0.03409090909090906
2022-07-04,12800,12900,11950,12150,66982,-0.04705882352941182
2022-07-05,12200,12400,12100,12300,32023,0.012345679012345734
2022-07-06,12300,12400,12100,12100,21448,-0.016260162601625994
2022-07-07,12300,12350,12100,12200,18447,0.008264462809917328
2022-07-08,12400,12400,12100,12150,31600,-0.004098360655737654
2022-07-11,12200,12250,12050,12200,17940,0.004115226337448652
2022-07-12,12050,12100,11650,11750,41154,-0.03688524590163933
2022-07-13,11750,11950,11650,11850,20058,0.008510638297872353
2022-07-14,11850,11900,11400,11750,27618,-0.008438818565400852
2022-07-15,11800,11850,11350,11500,25283,-0.021276595744680882
2022-07-18,11600,11850,11500,11800,27879,0.026086956521739202
2022-07-19,11800,11950,11700,11900,17300,0.008474576271186418
2022-07-20,12000,12150,11950,12000,18198,0.008403361344537785
2022-07-21,12100,12450,11850,12000,64577,0.0
2022-07-22,12000,12300,11900,12300,35240,0.02499999999999991
2022-07-25,12350,12550,12250,12450,42618,0.012195121951219523
2022-07-26,12450,12550,12250,12250,13513,-0.016064257028112428
2022-07-27,12250,12400,11850,12350,29534,0.008163265306122547
2022-07-28,12350,12450,12150,12250,13499,-0.0080971659919028
2022-07-29,12200,12400,12200,12350,16705,0.008163265306122547
2022-08-01,12350,12450,12150,12400,21193,0.004048582995951344
2022-08-02,12300,12500,12200,12350,23954,-0.0040322580645161255
2022-08-03,12350,12500,12300,12500,12408,0.012145748987854255
2022-08-04,12500,12850,12450,12850,56232,0.028000000000000025
2022-08-05,12950,13150,12800,13000,33185,0.011673151750972721
2022-08-08,12950,13000,12700,12800,15234,-0.01538461538461533
2022-08-09,13250,13450,12800,13100,46610,0.0234375
2022-08-10,13100,13150,12800,12900,19111,-0.01526717557251911
2022-08-11,13000,13050,12800,12950,15226,0.003875968992248069
2022-08-12,12950,12950,12700,12900,18134,-0.0038610038610038533
2022-08-16,12950,13100,12850,12950,18053,0.003875968992248069
2022-08-17,12950,12950,12600,12700,29885,-0.019305019305019266
2022-08-18,12500,12650,12400,12550,14180,-0.011811023622047223
2022-08-19,12450,12700,12400,12550,19338,0.0
2022-08-22,12550,12550,12150,12250,16046,-0.0239043824701195
2022-08-23,12050,12250,12000,12200,19544,-0.004081632653061273
2022-08-24,12150,12300,12000,12250,14155,0.004098360655737654
2022-08-25,12350,12500,12250,12500,8697,0.020408163265306145
2022-08-26,12550,12550,12250,12450,13965,-0.0040000000000000036
2022-08-29,12100,12150,11750,11900,35543,-0.04417670682730923
2022-08-30,11900,12150,11900,12150,10846,0.021008403361344463
2022-08-31,11950,12450,11950,12400,10135,0.020576131687242816
2022-09-01,12400,12400,12200,12200,10126,-0.016129032258064502
2022-09-02,12200,12300,11950,11950,13108,-0.020491803278688492
2022-09-05,11850,12150,11750,11950,8578,0.0
2022-09-06,12050,12100,11800,12050,10200,0.008368200836819994
2022-09-07,12050,12050,11700,11850,13636,-0.016597510373444035
2022-09-08,12000,12000,11800,11850,4125,0.0
2022-09-13,11900,11950,11750,11900,23465,0.00421940928270037
2022-09-14,11750,11800,11650,11750,13884,-0.012605042016806678
2022-09-15,11850,11900,11600,11750,10185,0.0
2022-09-16,11550,11750,11550,11650,7435,-0.008510638297872353
2022-09-19,11550,11650,11150,11200,30502,-0.03862660944206009
2022-09-20,11250,11350,11100,11200,19848,0.0
2022-09-21,11200,11300,11100,11150,18490,-0.004464285714285698
2022-09-22,11050,11250,10650,10850,29848,-0.026905829596412523
2022-09-23,10750,10900,10250,10350,51117,-0.04608294930875578
2022-09-26,10200,10300,9440,9600,78125,-0.07246376811594202
2022-09-27,9470,9780,9470,9610,36508,0.0010416666666666075
2022-09-28,9610,9840,9160,9320,40410,-0.030176899063475537
2022-09-29,9550,9640,9320,9470,15539,0.016094420600858417
2022-09-30,9400,9480,9210,9290,12420,-0.019007391763463555
2022-10-04,9340,9600,9340,9580,13354,0.031216361679224924
2022-10-05,9600,9690,9280,9490,15234,-0.009394572025052228
2022-10-06,9510,9610,9440,9560,11090,0.007376185458377149
2022-10-07,9560,9570,9460,9540,9879,-0.0020920502092049986
2022-10-11,9540,9550,9110,9170,23550,-0.03878406708595383
2022-10-12,9000,9170,9000,9110,12100,-0.0065430752453653485
2022-10-13,9080,9120,8760,8880,28397,-0.02524698133918768
2022-10-14,8900,9220,8900,9220,12244,0.03828828828828823
2022-10-17,9020,9310,9020,9300,11772,0.008676789587852562
2022-10-18,9360,9610,9330,9570,7948,0.029032258064516148
2022-10-19,9600,9770,9500,9630,14542,0.006269592476489061
2022-10-20,9600,9680,9550,9580,10836,-0.005192107995846351
2022-10-21,9740,9740,9600,9650,5106,0.007306889352818313
