Date,Open,High,Low,Close,Volume,Change
2022-01-03,2070,2150,2015,2085,3290902,0.03990024937655856
2022-01-04,2170,2175,2085,2100,3159359,0.007194244604316502
2022-01-05,2115,2125,2015,2030,1228966,-0.033333333333333326
2022-01-06,1990,2045,1915,1915,1370812,-0.056650246305418706
2022-01-07,1935,1945,1875,1920,1059044,0.0026109660574411553
2022-01-10,1915,1915,1830,1845,993466,-0.0390625
2022-01-11,1845,1855,1745,1795,886032,-0.027100271002710064
2022-01-12,1825,1845,1795,1805,492690,0.0055710306406684396
2022-01-13,1820,1820,1770,1785,383933,-0.011080332409972304
2022-01-14,1785,1790,1725,1755,685076,-0.01680672268907568
2022-01-17,1735,1760,1670,1685,622544,-0.03988603988603989
2022-01-18,1710,1800,1685,1705,924548,0.011869436201780381
2022-01-19,1660,1725,1650,1680,363994,-0.014662756598240456
2022-01-20,1720,1755,1695,1740,485124,0.03571428571428581
2022-01-21,1740,1750,1715,1730,338931,-0.005747126436781658
2022-01-24,1705,1730,1625,1625,609809,-0.06069364161849711
2022-01-25,1625,1660,1500,1510,980935,-0.0707692307692308
2022-01-26,1510,1565,1500,1500,373440,-0.0066225165562914245
2022-01-27,1490,1530,1425,1480,472933,-0.013333333333333308
2022-01-28,1495,1520,1415,1520,309416,0.027027027027026973
2022-02-03,1540,1575,1540,1550,265302,0.019736842105263053
2022-02-04,1540,1570,1510,1565,196947,0.00967741935483879
2022-02-07,1560,1575,1515,1575,234079,0.006389776357827559
2022-02-08,1565,1615,1565,1595,247240,0.012698412698412653
2022-02-09,1605,1660,1580,1645,407875,0.03134796238244508
2022-02-10,1640,1740,1610,1670,552743,0.015197568389057725
2022-02-11,1655,1735,1600,1695,832728,0.014970059880239583
2022-02-14,1650,1745,1635,1705,971496,0.005899705014749346
2022-02-15,1695,1760,1695,1700,727387,-0.0029325513196480912
2022-02-16,1730,1740,1700,1720,247078,0.0117647058823529
2022-02-17,1715,1730,1655,1685,386004,-0.02034883720930236
2022-02-18,1670,1705,1655,1695,245809,0.005934718100890191
2022-02-21,1670,1690,1645,1680,97252,-0.008849557522123908
2022-02-22,1650,1700,1585,1695,484343,0.008928571428571397
2022-02-23,1675,1700,1660,1690,107757,-0.002949852507374673
2022-02-24,1670,1690,1585,1625,597564,-0.038461538461538436
2022-02-25,1635,1645,1600,1625,308921,0.0
2022-02-28,1625,1675,1575,1625,125880,0.0
2022-03-02,1650,1715,1530,1540,1407874,-0.05230769230769228
2022-03-03,1560,1565,1470,1505,1012059,-0.022727272727272707
2022-03-04,1495,1520,1435,1465,982943,-0.02657807308970095
2022-03-07,1465,1465,1380,1400,935748,-0.04436860068259385
2022-03-08,1390,1405,1315,1400,414546,0.0
2022-03-10,1495,1495,1385,1440,444503,0.02857142857142847
2022-03-11,1440,1460,1410,1440,210686,0.0
2022-03-14,1450,1455,1390,1410,206178,-0.02083333333333337
2022-03-15,1400,1410,1375,1390,207907,-0.014184397163120588
2022-03-16,1395,1455,1390,1440,303993,0.03597122302158273
2022-03-17,1445,1540,1440,1500,575050,0.04166666666666674
2022-03-18,1505,1525,1480,1500,240155,0.0
2022-03-21,1520,1520,1470,1480,221683,-0.013333333333333308
2022-03-22,1460,1495,1450,1465,184854,-0.010135135135135087
2022-03-23,1470,1520,1465,1520,245648,0.03754266211604085
2022-03-24,1520,1520,1470,1500,277537,-0.013157894736842146
2022-03-25,1500,1510,1470,1495,147548,-0.0033333333333332993
2022-03-28,1495,1500,1475,1485,97335,-0.006688963210702337
2022-03-29,1490,1515,1480,1500,208521,0.010101010101010166
2022-03-30,1500,1585,1500,1565,920974,0.043333333333333224
2022-03-31,1570,1570,1535,1540,156027,-0.015974440894568676
2022-04-01,1510,1520,1485,1505,232635,-0.022727272727272707
2022-04-04,1525,1545,1500,1545,215560,0.02657807308970095
2022-04-05,1560,1640,1415,1430,2330550,-0.0744336569579288
2022-04-06,1450,1545,1450,1485,866504,0.03846153846153855
2022-04-07,1485,1485,1315,1330,2377747,-0.10437710437710435
2022-04-08,1330,1380,1330,1360,448637,0.022556390977443552
2022-04-11,1370,1395,1360,1375,291916,0.011029411764705843
2022-04-12,1380,1380,1340,1355,354790,-0.014545454545454528
2022-04-13,1355,1375,1355,1370,122161,0.011070110701107083
2022-04-14,1385,1395,1360,1375,80958,0.0036496350364962904
2022-04-15,1365,1385,1340,1385,131253,0.0072727272727273196
2022-04-18,1370,1380,1350,1350,186574,-0.02527075812274371
2022-04-19,1350,1365,1330,1355,278704,0.0037037037037037646
2022-04-20,1355,1365,1340,1355,178273,0.0
2022-04-21,1345,1360,1340,1345,162066,-0.0073800738007380184
2022-04-22,1335,1360,1320,1360,246026,0.011152416356877248
2022-04-25,1335,1350,1305,1320,303592,-0.02941176470588236
2022-04-26,1330,1330,1285,1285,323832,-0.02651515151515149
2022-04-27,1250,1280,1200,1210,709348,-0.05836575875486383
2022-04-28,1220,1220,1170,1210,342175,0.0
2022-04-29,1220,1225,1190,1220,150485,0.008264462809917328
2022-05-02,1200,1260,1185,1250,256314,0.024590163934426146
2022-05-03,1250,1285,1245,1275,176723,0.020000000000000018
2022-05-04,1305,1310,1270,1300,201586,0.019607843137254832
2022-05-06,1280,1290,1255,1270,116478,-0.023076923076923106
2022-05-09,1240,1265,1195,1200,288573,-0.055118110236220486
2022-05-10,1200,1200,1150,1195,216994,-0.004166666666666652
2022-05-11,1175,1200,1165,1180,157173,-0.012552301255230103
2022-05-12,1170,1180,1055,1175,528663,-0.004237288135593209
2022-05-13,1140,1150,1070,1100,551686,-0.06382978723404253
2022-05-16,1100,1115,1070,1080,341789,-0.018181818181818188
2022-05-17,1090,1100,1030,1100,217169,0.0185185185185186
2022-05-18,1105,1160,1100,1115,296021,0.013636363636363669
2022-05-19,1095,1140,1060,1110,252953,-0.004484304932735439
2022-05-20,1110,1240,1110,1195,1186390,0.07657657657657668
2022-05-23,1195,1200,1145,1165,270734,-0.025104602510460206
2022-05-24,1120,1165,1115,1125,177554,-0.03433476394849788
2022-05-25,1110,1150,1110,1135,88440,0.008888888888888946
2022-05-26,1135,1220,1135,1195,329680,0.052863436123347984
2022-05-27,1195,1245,1170,1195,110860,0.0
2022-05-30,1200,1205,1180,1195,106525,0.0
2022-05-31,1195,1200,1165,1190,209241,-0.004184100418409997
2022-06-02,1190,1200,1175,1200,129275,0.008403361344537785
2022-06-03,1195,1215,1180,1200,106683,0.0
2022-06-07,1200,1215,1180,1200,110137,0.0
