Date,Open,High,Low,Close,Volume,Change
2022-01-03,22650,22850,22100,22300,170867,-0.017621145374449365
2022-01-04,22300,22450,22000,22350,98308,0.0022421524663676085
2022-01-05,22250,22350,21700,21800,136201,-0.02460850111856827
2022-01-06,21500,21850,21250,21400,143391,-0.01834862385321101
2022-01-07,21650,21650,21300,21550,85830,0.007009345794392496
2022-01-10,21450,21500,21000,21000,118576,-0.025522041763341052
2022-01-11,21250,21350,20650,20800,110834,-0.00952380952380949
2022-01-12,20700,21900,20700,21650,152101,0.04086538461538458
2022-01-13,21700,21700,21000,21250,103980,-0.018475750577367167
2022-01-14,20900,21550,20750,21350,133955,0.004705882352941115
2022-01-17,21600,21900,20900,21900,96658,0.025761124121779888
2022-01-18,22000,22350,21350,21400,128142,-0.022831050228310557
2022-01-19,21200,21500,21050,21300,101128,-0.004672897196261627
2022-01-20,21300,21500,20800,21450,103985,0.007042253521126751
2022-01-21,20850,21200,20650,21200,166412,-0.011655011655011704
2022-01-24,21150,21150,20600,20700,131870,-0.02358490566037741
2022-01-25,20700,20950,19750,20150,190865,-0.02657004830917875
2022-01-26,20500,20500,19700,20150,146940,0.0
2022-01-27,20250,20250,19150,19200,180144,-0.04714640198511166
2022-01-28,19100,20350,18950,20350,183261,0.05989583333333326
2022-02-03,20500,21250,20500,20950,114182,0.029484029484029506
2022-02-04,20650,20950,20250,20300,130873,-0.031026252983293534
2022-02-07,20250,20250,19550,19600,135435,-0.03448275862068961
2022-02-08,19700,19800,19150,19250,125616,-0.017857142857142905
2022-02-09,19450,19600,19150,19600,69620,0.018181818181818077
2022-02-10,19700,19750,19100,19250,110548,-0.017857142857142905
2022-02-11,19100,19250,18650,18700,133109,-0.02857142857142858
2022-02-14,18450,18650,17950,18250,119104,-0.024064171122994638
2022-02-15,18250,19200,18150,18550,136926,0.016438356164383494
2022-02-16,18650,19400,18600,19400,86025,0.04582210242587603
2022-02-17,19100,19450,18700,19000,145712,-0.020618556701030966
2022-02-18,18650,19150,18500,19150,80415,0.007894736842105177
2022-02-21,18950,19100,18550,19000,54602,-0.007832898172323799
2022-02-22,18550,18650,18250,18400,108420,-0.03157894736842104
2022-02-23,18550,19100,18500,18700,108214,0.016304347826086918
2022-02-24,18500,18650,18100,18500,137911,-0.010695187165775444
2022-02-25,18900,20000,18800,20000,241462,0.08108108108108114
2022-02-28,19700,20150,19400,20100,113623,0.004999999999999893
2022-03-02,19850,20300,19750,20000,80827,-0.00497512437810943
2022-03-03,20000,20600,19900,20450,97762,0.022499999999999964
2022-03-04,20200,20450,20050,20300,81189,-0.007334963325183352
2022-03-07,20050,20450,19800,20050,94265,-0.012315270935960632
2022-03-08,19950,23400,19750,21700,1434044,0.08229426433915221
2022-03-10,21750,23300,21750,23000,528352,0.05990783410138256
2022-03-11,23000,23750,22750,23650,281307,0.02826086956521734
2022-03-14,23300,24500,23150,23650,351646,0.0
2022-03-15,23400,24350,23050,24050,201151,0.016913319238900604
2022-03-16,24300,25550,24100,25400,417291,0.05613305613305619
2022-03-17,25650,25800,24900,25650,229264,0.009842519685039353
2022-03-18,25350,26900,25200,25900,405344,0.00974658869395717
2022-03-21,26100,26100,23850,24200,402943,-0.06563706563706562
2022-03-22,24250,24400,23550,24200,192545,0.0
2022-03-23,24250,24400,23150,23200,271667,-0.04132231404958675
2022-03-24,23400,23850,23100,23600,175995,0.01724137931034475
2022-03-25,23550,23550,22500,22850,189429,-0.03177966101694918
2022-03-28,22700,22750,21450,21600,259537,-0.054704595185995575
2022-03-29,21850,22000,21100,21700,167882,0.004629629629629539
2022-03-30,21950,21950,21300,21300,168799,-0.018433179723502335
2022-03-31,21300,21750,20850,21350,153262,0.0023474178403755097
2022-04-01,21350,21600,20750,20850,194918,-0.023419203747072626
2022-04-04,20800,21350,20500,20900,121112,0.0023980815347721673
2022-04-05,20950,21000,20500,20650,85664,-0.011961722488038284
2022-04-06,20500,20500,19800,19950,175020,-0.03389830508474578
2022-04-07,19800,19950,19500,19800,121119,-0.007518796992481258
2022-04-08,19800,20100,19500,20100,79870,0.015151515151515138
2022-04-11,19900,20200,19600,19800,92573,-0.014925373134328401
2022-04-12,19900,20450,19600,20450,93665,0.03282828282828287
2022-04-13,20450,20900,20200,20850,107172,0.019559902200489088
2022-04-14,20700,20700,20000,20150,129809,-0.033573141486810565
2022-04-15,19800,20450,19750,20350,101513,0.00992555831265518
2022-04-18,20000,20450,19900,20050,75923,-0.014742014742014753
2022-04-19,20100,20700,20100,20600,103785,0.027431421446383997
2022-04-20,20500,20600,20250,20500,54819,-0.004854368932038833
2022-04-21,20500,20700,20100,20100,60572,-0.019512195121951237
2022-04-22,19900,20100,19500,19700,123188,-0.01990049751243783
2022-04-25,19900,20250,19500,20000,86980,0.015228426395939021
2022-04-26,19950,20350,19650,20150,92402,0.007500000000000062
2022-04-27,19900,20350,19500,19900,87762,-0.012406947890818865
2022-04-28,20150,20200,19900,20200,55238,0.015075376884422065
2022-04-29,20250,21350,20000,21050,200744,0.04207920792079212
2022-05-02,20700,20850,20450,20500,97548,-0.026128266033254133
2022-05-03,20350,20750,20350,20500,74662,0.0
2022-05-04,20450,20600,20100,20200,62981,-0.014634146341463428
2022-05-06,19800,20250,19700,20000,92228,-0.00990099009900991
2022-05-09,19750,20650,19600,20250,115842,0.012499999999999956
2022-05-10,20200,21250,20000,20800,273606,0.02716049382716057
2022-05-11,20800,21250,20500,21200,126331,0.019230769230769162
2022-05-12,20850,21100,20250,20250,162693,-0.04481132075471694
2022-05-13,20650,21300,20350,21300,143861,0.051851851851851816
2022-05-16,21350,22500,21200,21200,223998,-0.0046948356807511304
2022-05-17,21200,21800,21050,21250,122258,0.002358490566037652
2022-05-18,21300,21700,20650,20800,113809,-0.02117647058823524
2022-05-19,20400,20550,20100,20300,147592,-0.024038461538461564
2022-05-20,20300,21150,20300,21100,91260,0.039408866995073843
2022-05-23,20900,21950,20900,21700,131891,0.028436018957346043
2022-05-24,21500,22000,21200,21450,118494,-0.011520737327188946
2022-05-25,21450,23400,21450,22800,445196,0.06293706293706292
2022-05-26,22600,23150,21900,22100,210247,-0.030701754385964897
2022-05-27,22200,22400,21700,22100,91834,0.0
2022-05-30,22100,22350,21700,22200,99402,0.004524886877828038
2022-05-31,22050,22350,21700,22250,118557,0.0022522522522523403
2022-06-02,22100,22650,21900,22250,73105,0.0
2022-06-03,22250,23050,22250,23050,175577,0.035955056179775235
2022-06-07,23000,23050,21800,21800,188370,-0.05422993492407813
2022-06-08,21950,22350,21800,21900,74976,0.004587155963302836
2022-06-09,21750,23350,21600,22950,268994,0.047945205479452024
2022-06-10,22650,22950,22450,22550,92355,-0.017429193899782147
2022-06-13,21900,22200,21300,21350,164644,-0.053215077605321515
2022-06-14,20900,22450,20900,22200,193213,0.03981264637002346
2022-06-15,22150,22550,21650,22150,106806,-0.0022522522522522292
2022-06-16,22450,22600,21750,22000,100901,-0.006772009029345383
2022-06-17,21850,23350,21500,23350,249959,0.06136363636363629
2022-06-20,23200,23750,22850,23350,206605,0.0
2022-06-21,23550,24900,23450,24850,342834,0.06423982869379019
2022-06-22,24650,25000,24150,24550,206153,-0.012072434607645843
2022-06-23,24550,25450,24400,24650,301450,0.004073319755600879
2022-06-24,24850,25900,24800,25450,254521,0.032454361054766734
2022-06-27,25500,26200,25100,25950,244027,0.01964636542239684
2022-06-28,25600,25900,20000,22100,1616195,-0.1483622350674374
2022-06-29,22250,22450,21200,21250,246401,-0.038461538461538436
2022-06-30,21150,21700,20500,20800,201619,-0.02117647058823524
2022-07-01,20850,21550,19700,19900,358529,-0.043269230769230727
2022-07-04,20100,20100,14800,18700,1424338,-0.06030150753768848
2022-07-05,18500,19550,18200,19300,226745,0.03208556149732611
2022-07-06,19300,19800,18950,19250,144532,-0.002590673575129543
2022-07-07,19550,19600,17550,19200,257300,-0.0025974025974025983
2022-07-08,19200,20200,18700,19650,219548,0.0234375
2022-07-11,19450,20300,19100,19200,181580,-0.022900763358778664
2022-07-12,19050,19250,18450,18700,159178,-0.02604166666666663
2022-07-13,18500,19250,18500,19200,108496,0.02673796791443861
2022-07-14,19000,19450,18500,19000,132221,-0.01041666666666663
2022-07-15,18950,19200,18500,18650,137046,-0.018421052631578894
2022-07-18,19200,19600,18650,19400,155609,0.04021447721179627
2022-07-19,19100,19650,18200,19150,152145,-0.012886597938144284
2022-07-20,19400,19400,18700,19000,130181,-0.007832898172323799
2022-07-21,19050,19150,18600,18900,101191,-0.0052631578947368585
2022-07-22,18800,19050,18550,18550,125729,-0.01851851851851849
2022-07-25,18450,18700,18300,18400,88026,-0.008086253369272267
2022-07-26,18100,18500,17800,18000,150443,-0.021739130434782594
2022-07-27,18250,18700,18000,18350,105831,0.019444444444444375
2022-07-28,18400,19000,18150,18350,142626,0.0
2022-07-29,18550,18650,18000,18200,148254,-0.008174386920980936
2022-08-01,18000,18000,17150,17350,288055,-0.04670329670329665
2022-08-02,17350,17800,17300,17650,146320,0.01729106628242083
2022-08-03,17650,18150,17400,17950,112755,0.016997167138810276
2022-08-04,17800,18150,17600,18000,102365,0.0027855153203342198
2022-08-05,18000,18550,17850,18350,128324,0.019444444444444375
2022-08-08,18250,18600,18050,18350,74848,0.0
2022-08-09,18150,18450,18100,18450,76126,0.005449591280654031
2022-08-10,18200,18350,17750,17800,140612,-0.035230352303523005
2022-08-11,18200,18600,18000,18450,145008,0.03651685393258419
2022-08-12,18250,18400,17850,18150,92757,-0.016260162601625994
2022-08-16,18200,18400,17950,18000,79428,-0.008264462809917328
2022-08-17,18100,18150,17700,17850,98918,-0.008333333333333304
2022-08-18,17800,20700,17350,20250,916017,0.134453781512605
2022-08-19,18450,18700,17400,17400,776628,-0.14074074074074072
2022-08-22,17250,17250,16200,16250,399955,-0.06609195402298851
2022-08-23,16050,16200,15600,15600,235243,-0.040000000000000036
2022-08-24,15800,16650,15600,16400,214097,0.05128205128205132
2022-08-25,16400,16550,16050,16550,103325,0.009146341463414531
2022-08-26,16500,16600,15950,15950,120419,-0.03625377643504535
2022-08-29,15500,15800,15350,15700,139946,-0.01567398119122254
2022-08-30,15650,16450,15650,16450,121801,0.047770700636942776
2022-08-31,16100,16800,16050,16550,100367,0.006079027355623046
2022-09-01,16300,16450,15900,16050,174398,-0.030211480362537735
2022-09-02,16150,16550,16000,16300,92847,0.015576323987538832
2022-09-05,16650,17300,16100,16100,292706,-0.012269938650306789
2022-09-06,16150,16300,15500,15600,215518,-0.03105590062111796
2022-09-07,15350,15350,14150,14500,450109,-0.07051282051282048
2022-09-08,14550,15250,14450,14950,221460,0.03103448275862064
2022-09-13,15200,16100,15200,15950,236339,0.06688963210702337
2022-09-14,15350,15800,15150,15450,165580,-0.031347962382445194
2022-09-15,15700,15700,15150,15200,96239,-0.016181229773462813
2022-09-16,14850,15700,14650,14900,571981,-0.019736842105263164
2022-09-19,14900,15100,14000,14300,180994,-0.04026845637583898
2022-09-20,14650,14650,14200,14500,117075,0.013986013986013957
2022-09-21,14300,14550,13750,13900,192680,-0.04137931034482756
2022-09-22,13750,14100,13550,13850,149325,-0.003597122302158251
2022-09-23,13850,14000,13450,13700,134716,-0.010830324909747335
2022-09-26,13450,13650,12900,12950,257697,-0.054744525547445244
2022-09-27,12950,13600,12950,13550,179293,0.04633204633204624
2022-09-28,13250,13900,13150,13700,195502,0.011070110701107083
2022-09-29,13950,14450,13700,13800,138931,0.007299270072992803
2022-09-30,13400,14250,13400,13700,130273,-0.007246376811594235
2022-10-04,13750,14300,13750,14150,99887,0.03284671532846706
2022-10-05,14450,14450,13600,13800,109173,-0.02473498233215543
2022-10-06,13850,14150,13700,14150,70961,0.0253623188405796
2022-10-07,13750,14150,13550,13550,95800,-0.04240282685512364
2022-10-11,13150,13150,12500,12650,161037,-0.06642066420664205
2022-10-12,12500,13000,12400,12750,123170,0.007905138339920903
2022-10-13,12600,13050,12000,12250,202939,-0.039215686274509776
2022-10-14,12650,13050,12350,13000,160426,0.061224489795918435
2022-10-17,12650,12700,12350,12500,110789,-0.038461538461538436
2022-10-18,12700,13250,12650,13250,107228,0.06000000000000005
2022-10-19,13100,13300,12600,12650,98365,-0.04528301886792452
2022-10-20,12500,12650,12350,12350,94661,-0.02371541501976282
2022-10-21,12150,12450,12050,12300,71872,-0.004048582995951455
2022-10-24,12550,13050,12550,12850,121175,0.04471544715447151
2022-10-25,12750,13050,12550,12650,70643,-0.015564202334630295
2022-10-26,12750,12800,12350,12700,66279,0.0039525691699604515
2022-10-27,12800,13000,12700,12700,58449,0.0
