Date,Open,High,Low,Close,Volume,Change
2022-01-03,5050,5070,4955,4990,22514,-0.011881188118811892
2022-01-04,5050,5050,4945,5030,15107,0.008016032064128265
2022-01-05,5030,5030,4945,5000,27404,-0.005964214711729587
2022-01-06,4950,5030,4830,5030,22535,0.006000000000000005
2022-01-07,5070,5210,5000,5100,58136,0.013916500994035852
2022-01-10,5100,5110,4955,5070,21572,-0.00588235294117645
2022-01-11,5040,5070,4925,4970,27369,-0.01972386587771202
2022-01-12,5000,5070,4970,5030,20112,0.012072434607645954
2022-01-13,5030,5070,4990,5020,19198,-0.001988071570576566
2022-01-14,5020,5030,4905,5010,31914,-0.0019920318725099584
2022-01-17,4980,4985,4825,4900,41475,-0.021956087824351322
2022-01-18,4900,4930,4795,4840,26504,-0.01224489795918371
2022-01-19,4750,4870,4750,4815,28878,-0.005165289256198302
2022-01-20,4740,4850,4740,4840,15142,0.005192107995846351
2022-01-21,4870,4870,4745,4810,32744,-0.006198347107438051
2022-01-24,4760,4805,4620,4620,33473,-0.03950103950103945
2022-01-25,4580,4670,4415,4470,102043,-0.03246753246753242
2022-01-26,4470,4585,4440,4555,11754,0.019015659955257336
2022-01-27,4575,4580,4295,4470,45782,-0.01866081229418226
2022-01-28,4470,4495,4380,4465,20528,-0.0011185682326622093
2022-02-03,4470,4720,4470,4720,29161,0.05711086226203799
2022-02-04,4660,6130,4660,6130,3151761,0.298728813559322
2022-02-07,6000,6590,5900,6310,7039929,0.029363784665579207
2022-02-08,6400,6600,5910,6100,3287922,-0.033280507131537296
2022-02-09,6140,6620,6050,6620,3585571,0.08524590163934431
2022-02-10,6440,6660,6110,6630,2979366,0.0015105740181269312
2022-02-11,6250,7080,5910,5990,5468113,-0.09653092006033182
2022-02-14,5810,5950,5500,5780,1238328,-0.035058430717863076
2022-02-15,5730,6800,5670,5930,12818002,0.02595155709342567
2022-02-16,6050,6650,6030,6350,4733931,0.07082630691399672
2022-02-17,6350,6740,5720,6240,4101925,-0.017322834645669305
2022-02-18,6170,6750,6070,6730,4678239,0.07852564102564097
2022-02-21,6630,7080,6560,6830,4304948,0.014858841010401136
2022-02-22,6580,7480,6560,6810,7901803,-0.002928257686676372
2022-02-23,6930,7100,6750,7000,1815737,0.027900146842878115
2022-02-24,7020,7260,6850,6890,2629176,-0.01571428571428568
2022-02-25,7250,7410,6880,7150,2824808,0.037735849056603765
2022-02-28,7150,7610,7010,7070,2468653,-0.01118881118881121
2022-03-02,7010,7310,6900,7200,2788204,0.018387553041018467
2022-03-03,7270,7760,7150,7670,3995331,0.06527777777777777
2022-03-04,7680,7700,7140,7200,1986034,-0.06127770534550192
2022-03-07,7050,7210,6700,6700,832245,-0.06944444444444442
2022-03-08,6540,7040,6450,6930,1055241,0.0343283582089553
2022-03-10,6970,7220,6890,7080,894848,0.02164502164502169
2022-03-11,7070,7200,6920,6920,663696,-0.02259887005649719
2022-03-14,6920,7070,6610,6920,621836,0.0
2022-03-15,6850,7530,6840,7100,2255931,0.026011560693641522
2022-03-16,7150,7230,7000,7070,735126,-0.004225352112676051
2022-03-17,7120,7190,6950,7020,462046,-0.007072135785007094
2022-03-18,6980,6980,6700,6710,447022,-0.04415954415954415
2022-03-21,6720,6870,6630,6650,242348,-0.008941877794336861
2022-03-22,6630,6770,6390,6650,528363,0.0
2022-03-23,6650,6900,6480,6610,471623,-0.006015037593984918
2022-03-24,6500,6750,6480,6620,288778,0.001512859304084735
2022-03-25,6640,6670,6480,6620,209384,0.0
2022-03-28,6620,6760,6590,6670,256830,0.007552870090634434
2022-03-29,6740,7140,6740,6970,1722329,0.044977511244377766
2022-03-30,7040,7470,6860,7140,2779711,0.024390243902439046
2022-03-31,7330,9030,7170,8850,26062879,0.23949579831932777
2022-04-01,8700,10450,8650,9400,24724326,0.062146892655367214
2022-04-04,9620,9760,9220,9320,3433349,-0.008510638297872353
2022-04-05,9390,9580,9210,9210,2320666,-0.011802575107296098
2022-04-06,9200,9950,8980,9130,5441231,-0.008686210640608039
2022-04-07,9070,9120,8810,9040,852306,-0.009857612267250793
2022-04-08,9030,9350,8950,9020,2242836,-0.0022123893805309214
2022-04-11,9350,9580,9020,9030,2348237,0.0011086474501109667
2022-04-12,8970,8970,8590,8650,648959,-0.042081949058693224
2022-04-13,8700,8970,8640,8810,577392,0.018497109826589586
2022-04-14,8910,9790,8800,9720,8982187,0.10329171396140757
2022-04-15,9410,9660,8790,8880,3174826,-0.0864197530864198
2022-04-18,8740,9050,8200,8200,1080184,-0.07657657657657657
2022-04-19,8220,8300,7850,7960,727290,-0.029268292682926855
2022-04-20,8020,8100,7790,7880,511568,-0.01005025125628145
2022-04-21,7870,7970,7720,7920,422748,0.0050761421319796
2022-04-22,7810,8150,7720,8040,512832,0.015151515151515138
2022-04-25,7880,7910,7520,7520,399358,-0.06467661691542292
2022-04-26,7680,7680,7490,7530,169042,0.0013297872340425343
2022-04-27,7380,7570,7230,7500,348207,-0.003984063745019917
2022-04-28,7560,7560,7270,7350,310350,-0.020000000000000018
2022-04-29,7400,8110,7360,7440,2670418,0.012244897959183598
2022-05-02,7400,7400,7010,7080,439416,-0.048387096774193505
2022-05-03,7210,7220,6980,6980,207159,-0.01412429378531077
2022-05-04,6980,7040,6810,6860,195435,-0.017191977077363862
2022-05-06,6760,6830,6610,6720,208455,-0.020408163265306145
2022-05-09,6750,6750,6430,6430,243357,-0.04315476190476186
2022-05-10,6360,6400,6150,6370,290361,-0.009331259720062213
2022-05-11,6370,6460,6300,6380,124329,0.0015698587127157548
2022-05-12,6390,6390,6010,6050,184764,-0.051724137931034475
2022-05-13,6060,6340,6060,6210,127233,0.026446280991735627
2022-05-16,6200,6440,6190,6220,139108,0.0016103059581320522
2022-05-17,6330,6430,6280,6410,182097,0.030546623794212246
2022-05-18,6430,6480,6240,6320,154658,-0.01404056162246492
2022-05-19,6140,6200,6070,6150,121499,-0.026898734177215222
2022-05-20,6210,6400,6180,6300,116972,0.024390243902439046
2022-05-23,6370,6480,6240,6250,133512,-0.007936507936507908
2022-05-24,6250,6300,6040,6040,123515,-0.03359999999999996
2022-05-25,6060,6200,5980,6150,98703,0.01821192052980125
2022-05-26,6180,6270,6070,6180,76946,0.004878048780487809
2022-05-27,6200,6810,6200,6700,1619181,0.08414239482200658
2022-05-30,6770,6900,6730,6750,665933,0.00746268656716409
2022-05-31,6800,6840,6570,6740,188565,-0.001481481481481528
2022-06-02,6750,6840,6610,6620,146587,-0.017804154302670572
2022-06-03,6640,6670,6540,6560,84635,-0.009063444108761365
2022-06-07,6560,6690,6490,6570,85139,0.0015243902439023849
2022-06-08,6580,6620,6450,6480,83747,-0.013698630136986356
2022-06-09,6480,6590,6230,6480,101609,0.0
2022-06-10,6500,6550,6410,6480,41389,0.0
2022-06-13,6300,6550,6030,6110,127770,-0.0570987654320988
2022-06-14,5980,6140,5830,6100,107794,-0.0016366612111292644
2022-06-15,5980,6100,5740,5790,92180,-0.050819672131147575
2022-06-16,5900,6020,5800,5800,75262,0.0017271157167531026
2022-06-17,5750,5990,5640,5950,93280,0.02586206896551735
2022-06-20,5960,6030,5540,5700,110045,-0.04201680672268904
2022-06-21,5590,5730,5560,5680,43752,-0.0035087719298245723
2022-06-22,5660,5730,5210,5260,122999,-0.073943661971831
2022-06-23,5270,5410,5000,5000,194384,-0.049429657794676785
2022-06-24,5000,5310,4995,5290,112235,0.05800000000000005
2022-06-27,5310,5540,5280,5530,64707,0.04536862003780717
2022-06-28,5440,5580,5440,5540,19636,0.001808318264014508
2022-06-29,5410,5870,5410,5800,96426,0.04693140794223827
2022-06-30,5800,5850,5650,5750,65174,-0.008620689655172376
2022-07-01,5710,6000,5710,5920,94670,0.029565217391304355
2022-07-04,6010,6010,5680,5860,96632,-0.010135135135135087
2022-07-05,5800,5970,5800,5890,39859,0.005119453924914641
2022-07-06,5890,5890,5740,5810,47647,-0.01358234295415961
2022-07-07,5810,5850,5760,5810,19194,0.0
2022-07-08,5810,5910,5800,5830,21294,0.0034423407917383297
2022-07-11,5840,5890,5710,5830,37153,0.0
2022-07-12,5810,5850,5740,5830,55795,0.0
2022-07-13,5830,6090,5830,5990,65983,0.027444253859348233
2022-07-14,5960,6120,5840,6090,58018,0.016694490818029983
2022-07-15,6010,6070,5890,5900,56850,-0.031198686371100126
2022-07-18,5900,6050,5880,5920,27988,0.003389830508474523
2022-07-19,5910,6070,5830,5980,18321,0.010135135135135087
2022-07-20,6010,6130,6010,6050,62008,0.0117056856187292
2022-07-21,6050,6330,6050,6260,95579,0.034710743801652955
2022-07-22,6260,6280,6110,6190,30042,-0.011182108626198062
2022-07-25,6130,6240,6080,6190,19668,0.0
2022-07-26,6190,6270,6050,6050,30200,-0.022617124394184174
2022-07-27,6050,6140,6040,6120,24048,0.011570247933884392
2022-07-28,6190,7030,6050,6050,1630060,-0.011437908496731986
2022-07-29,6100,6230,5930,6160,136158,0.018181818181818077
2022-08-01,6090,6310,6070,6270,86978,0.017857142857142794
2022-08-02,6220,6330,6200,6320,85593,0.00797448165869219
2022-08-03,6270,6350,6240,6330,49766,0.0015822784810126667
2022-08-04,6510,6890,6470,6480,596872,0.023696682464454888
2022-08-05,6410,6540,6400,6490,60668,0.0015432098765431057
2022-08-08,6480,6520,6380,6500,42347,0.0015408320493066618
2022-08-09,6470,6610,6420,6590,56689,0.013846153846153841
2022-08-10,6670,6840,6570,6630,87690,0.006069802731411222
2022-08-11,6640,6680,6550,6570,59126,-0.009049773755656076
2022-08-12,6580,6650,6300,6300,63283,-0.04109589041095896
2022-08-16,6150,6330,6020,6250,95189,-0.007936507936507908
2022-08-17,6200,6290,6100,6150,32784,-0.016000000000000014
2022-08-18,6030,6250,6030,6180,29890,0.004878048780487809
2022-08-19,6140,6250,6130,6180,14696,0.0
2022-08-22,6170,6250,6040,6100,55618,-0.012944983818770184
2022-08-23,6050,6160,6050,6110,46389,0.0016393442622950616
2022-08-24,6120,6280,6120,6220,22727,0.018003273322422242
2022-08-25,6370,6370,6240,6290,23790,0.0112540192926045
2022-08-26,6330,6350,6210,6210,38374,-0.012718600953895098
2022-08-29,6050,6180,6020,6110,41065,-0.01610305958132041
2022-08-30,6100,6240,6100,6240,14898,0.02127659574468077
2022-08-31,6240,6390,6230,6320,22955,0.012820512820512775
2022-09-01,6320,6320,6160,6190,41278,-0.020569620253164556
2022-09-02,6190,6280,6180,6180,22556,-0.001615508885298822
2022-09-05,6120,6200,6060,6080,35836,-0.016181229773462813
2022-09-06,6120,6240,6050,6100,28602,0.00328947368421062
2022-09-07,6120,6230,5990,6100,42271,0.0
2022-09-08,6100,6160,6030,6160,28756,0.009836065573770592
2022-09-13,6270,6320,6160,6300,36748,0.022727272727272707
2022-09-14,6240,6260,6100,6200,20213,-0.015873015873015928
2022-09-15,6200,6400,6170,6220,23728,0.003225806451612856
2022-09-16,6180,6270,6110,6160,18486,-0.009646302250803873
2022-09-19,6090,6330,6080,6150,66896,-0.0016233766233766378
2022-09-20,6250,7120,6250,6650,2412071,0.08130081300813008
2022-09-21,6660,6920,6560,6700,617874,0.007518796992481258
2022-09-22,6610,6740,6290,6670,414456,-0.004477611940298498
2022-09-23,6760,6780,6270,6270,234138,-0.05997001499250376
2022-09-26,6140,6250,5600,5780,178474,-0.07814992025518341
2022-09-27,5670,5840,5250,5560,181495,-0.03806228373702425
2022-09-28,5590,5670,5230,5410,115903,-0.026978417266187105
2022-09-29,5460,5640,5250,5270,93365,-0.025878003696857665
2022-09-30,5060,5270,5050,5200,87048,-0.013282732447817858
2022-10-04,5220,5400,5210,5380,62339,0.034615384615384714
2022-10-05,5410,5490,5310,5420,46933,0.0074349442379182396
2022-10-06,5360,5640,5360,5640,40803,0.040590405904058935
2022-10-07,5550,5700,5540,5700,41046,0.010638297872340496
2022-10-11,5640,5640,5250,5330,61849,-0.06491228070175437
2022-10-12,5300,5470,5270,5440,39312,0.02063789868667909
2022-10-13,5430,5430,5190,5300,54776,-0.02573529411764708
2022-10-14,5340,5470,5310,5390,36828,0.016981132075471805
2022-10-17,5380,5910,5330,5600,105323,0.03896103896103886
2022-10-18,5600,5750,5600,5610,24216,0.0017857142857142794
2022-10-19,5660,5700,5480,5550,45061,-0.010695187165775444
2022-10-20,5580,5580,5370,5500,38089,-0.009009009009009028
2022-10-21,5480,5580,5360,5400,43294,-0.018181818181818188
2022-10-24,5500,5530,5310,5340,39760,-0.011111111111111072
2022-10-25,5290,5370,5210,5300,34980,-0.0074906367041198685
2022-10-26,5300,5450,5230,5280,22697,-0.0037735849056603765
2022-10-27,5110,5370,5110,5300,26091,0.0037878787878788955
2022-10-28,5280,5390,5190,5260,18870,-0.007547169811320753
2022-10-31,5260,5340,5160,5240,21466,-0.0038022813688213253
2022-11-01,5190,5250,5160,5250,15336,0.001908396946564972
2022-11-02,5280,5280,5150,5210,12408,-0.007619047619047636
2022-11-03,5200,5290,5150,5250,29494,0.007677543186180413
2022-11-04,5300,5340,5210,5320,23135,0.01333333333333342
2022-11-07,5270,5540,5250,5530,27952,0.03947368421052633
2022-11-08,5470,5610,5470,5560,21458,0.005424954792043302
2022-11-09,5500,5850,5500,5760,79597,0.03597122302158273
2022-11-10,5760,5850,5680,5800,21259,0.00694444444444442
2022-11-11,5860,5950,5800,5830,24043,0.005172413793103514
2022-11-14,5840,5860,5800,5800,29346,-0.005145797598627766
2022-11-15,5810,5900,5800,5890,13503,0.01551724137931032
2022-11-16,5890,6080,5820,5940,76429,0.008488964346349714
2022-11-17,5960,5970,5870,5950,20318,0.0016835016835017313
2022-11-18,5950,6020,5890,5920,35168,-0.005042016806722671
