Date,Open,High,Low,Close,Volume,Change
2022-01-03,1690,1700,1670,1695,349597,0.005934718100890191
2022-01-04,1690,1780,1690,1740,2893818,0.026548672566371723
2022-01-05,1740,1755,1715,1740,918615,0.0
2022-01-06,1730,1790,1700,1765,1651987,0.014367816091954033
2022-01-07,1765,1780,1740,1765,818163,0.0
2022-01-10,1765,1775,1715,1725,621228,-0.022662889518413554
2022-01-11,1750,1860,1685,1690,4027737,-0.020289855072463725
2022-01-12,1700,1775,1695,1755,1492307,0.03846153846153855
2022-01-13,1765,1770,1730,1750,664801,-0.002849002849002802
2022-01-14,1730,1765,1700,1715,784583,-0.020000000000000018
2022-01-17,1720,1725,1660,1670,648575,-0.026239067055393583
2022-01-18,1660,1680,1600,1615,820391,-0.03293413173652693
2022-01-19,1580,1630,1580,1590,564273,-0.015479876160990669
2022-01-20,1585,1625,1585,1620,231823,0.018867924528301883
2022-01-21,1610,1640,1595,1605,415808,-0.0092592592592593
2022-01-24,1595,1605,1565,1575,517240,-0.01869158878504673
2022-01-25,1570,1585,1490,1515,1033018,-0.03809523809523807
2022-01-26,1495,1535,1495,1515,446835,0.0
2022-01-27,1515,1525,1445,1450,800234,-0.04290429042904287
2022-01-28,1450,1505,1430,1505,630258,0.037931034482758585
2022-02-03,1520,1560,1520,1550,379269,0.029900332225913706
2022-02-04,1535,1590,1535,1590,466911,0.02580645161290329
2022-02-07,1590,1595,1570,1570,356545,-0.012578616352201255
2022-02-08,1575,1600,1560,1575,499043,0.0031847133757962887
2022-02-09,1615,1630,1585,1610,428872,0.022222222222222143
2022-02-10,1620,1630,1590,1590,404282,-0.012422360248447228
2022-02-11,1585,1595,1575,1590,375101,0.0
2022-02-14,1560,1575,1505,1525,575024,-0.04088050314465408
2022-02-15,1520,1590,1505,1505,566027,-0.013114754098360604
2022-02-16,1525,1575,1525,1565,478127,0.039867109634551534
2022-02-17,1570,1600,1530,1565,617917,0.0
2022-02-18,1550,1615,1550,1590,833051,0.015974440894568787
2022-02-21,1560,1610,1555,1600,554510,0.0062893081761006275
2022-02-22,1565,1590,1545,1550,507342,-0.03125
2022-02-23,1555,1620,1545,1595,944679,0.029032258064516148
2022-02-24,1580,1590,1540,1545,572916,-0.031347962382445194
2022-02-25,1565,1585,1555,1575,390661,0.01941747572815533
2022-02-28,1580,1610,1565,1600,343861,0.015873015873015817
2022-03-02,1585,1625,1585,1620,476438,0.012499999999999956
2022-03-03,1630,1715,1620,1670,2319242,0.030864197530864113
2022-03-04,1660,1670,1645,1670,599312,0.0
2022-03-07,1735,1735,1650,1660,1781155,-0.005988023952095856
2022-03-08,1620,1655,1610,1630,807195,-0.01807228915662651
2022-03-10,1665,1690,1645,1685,806140,0.033742331288343586
2022-03-11,1685,1770,1680,1770,3520914,0.05044510385756684
2022-03-14,1775,1775,1705,1715,1785122,-0.031073446327683607
2022-03-15,1715,1750,1695,1695,1013631,-0.011661807580174877
2022-03-16,1715,1780,1705,1760,2230132,0.03834808259587019
2022-03-17,1775,1780,1725,1740,1240268,-0.011363636363636354
2022-03-18,1740,1750,1725,1730,583611,-0.005747126436781658
2022-03-21,1735,1750,1715,1725,534923,-0.0028901734104046506
2022-03-22,1730,1730,1690,1725,585958,0.0
2022-03-23,1740,1860,1725,1795,10590613,0.04057971014492745
2022-03-24,1835,1875,1790,1850,7955295,0.03064066852367686
2022-03-25,1840,1855,1790,1810,3651735,-0.021621621621621623
2022-03-28,1895,1920,1805,1805,6443047,-0.002762430939226568
2022-03-29,1810,1830,1780,1790,1586045,-0.008310249307479256
2022-03-30,1795,1805,1770,1770,993046,-0.011173184357541888
2022-03-31,1780,1785,1760,1770,560897,0.0
2022-04-01,1765,1785,1750,1765,953632,-0.0028248587570621764
2022-04-04,1815,1820,1770,1780,1121294,0.008498583569405138
2022-04-05,1790,1890,1785,1810,5271910,0.016853932584269593
2022-04-06,1810,1830,1790,1815,1353150,0.0027624309392264568
2022-04-07,1795,1800,1750,1755,783284,-0.03305785123966942
2022-04-08,1760,1775,1720,1730,839305,-0.014245014245014231
2022-04-11,1735,1750,1710,1720,348880,-0.005780346820809301
2022-04-12,1710,1770,1690,1700,981403,-0.011627906976744207
2022-04-13,1705,1730,1695,1720,297523,0.0117647058823529
2022-04-14,1730,1730,1715,1720,535369,0.0
2022-04-15,1725,1735,1710,1735,484624,0.008720930232558155
2022-04-18,1735,1745,1715,1735,596011,0.0
2022-04-19,1735,1750,1730,1740,424908,0.0028818443804035088
2022-04-20,1740,1815,1735,1790,2499782,0.028735632183908066
2022-04-21,1790,1805,1770,1780,962411,-0.005586592178770999
2022-04-22,1760,1785,1745,1785,649447,0.002808988764045006
2022-04-25,1735,1810,1735,1755,932780,-0.01680672268907568
2022-04-26,1800,1825,1785,1820,3239475,0.03703703703703698
2022-04-27,1790,1855,1770,1820,3092532,0.0
2022-04-28,1830,1840,1795,1820,1223880,0.0
2022-04-29,1815,1820,1785,1800,842827,-0.01098901098901095
2022-05-02,1785,1835,1780,1820,1582000,0.011111111111111072
2022-05-03,1815,1825,1805,1810,796382,-0.005494505494505475
2022-05-04,1810,1815,1780,1780,753027,-0.016574585635359074
2022-05-06,1755,1805,1755,1770,1155277,-0.005617977528089901
2022-05-09,1750,1765,1680,1695,934578,-0.0423728813559322
2022-05-10,1640,1670,1610,1665,864546,-0.017699115044247815
2022-05-11,1660,1685,1650,1655,385370,-0.006006006006005982
2022-05-12,1655,1655,1575,1585,615389,-0.04229607250755285
