Date,Open,High,Low,Close,Volume,Change
2022-01-03,6570,6880,6430,6730,987124,0.04828660436137078
2022-01-04,6700,6770,6470,6770,599267,0.005943536404160454
2022-01-05,6850,7400,6700,6960,3741411,0.028064992614475592
2022-01-06,6760,6760,6420,6420,739851,-0.07758620689655171
2022-01-07,6480,6700,6440,6460,298689,0.006230529595015577
2022-01-10,6540,7500,6540,7090,4088476,0.0975232198142415
2022-01-11,6950,8090,6830,7700,11949062,0.0860366713681242
2022-01-12,7430,7510,7150,7220,1531203,-0.06233766233766236
2022-01-13,7330,7380,7050,7340,970072,0.016620498614958512
2022-01-14,7190,7320,6760,6860,853831,-0.06539509536784738
2022-01-17,6760,6950,6670,6840,387490,-0.002915451895043719
2022-01-18,6820,6940,6550,6550,356621,-0.042397660818713434
2022-01-19,6330,6580,6280,6330,258298,-0.03358778625954195
2022-01-20,6290,6370,6160,6350,185313,0.003159557661927437
2022-01-21,6270,6490,6210,6360,259008,0.0015748031496063408
2022-01-24,6170,6270,5750,5750,363379,-0.09591194968553463
2022-01-25,5800,5900,5250,5250,280684,-0.08695652173913049
2022-01-26,5240,5760,5170,5290,288432,0.007619047619047636
2022-01-27,5250,5680,5030,5100,301237,-0.03591682419659736
2022-01-28,5200,6030,5200,5470,1163849,0.0725490196078431
2022-02-03,5530,5770,5490,5700,188010,0.042047531992687404
2022-02-04,5620,5860,5590,5780,159325,0.01403508771929829
2022-02-07,5770,5960,5720,5920,123537,0.02422145328719716
2022-02-08,5990,6000,5670,5710,121430,-0.03547297297297303
2022-02-09,5930,5930,5700,5830,51219,0.021015761821365997
2022-02-10,5940,5940,5750,5830,60766,0.0
2022-02-11,5750,5870,5520,5560,137755,-0.046312178387650116
2022-02-14,5250,5550,5130,5130,118686,-0.07733812949640284
2022-02-15,5140,5500,5060,5090,141066,-0.007797270955165692
2022-02-16,5200,5520,5200,5460,116178,0.07269155206286837
2022-02-17,5400,5580,5260,5350,143103,-0.020146520146520186
2022-02-18,5330,5480,5150,5440,97532,0.016822429906542036
2022-02-21,5340,5540,5250,5460,130476,0.003676470588235281
2022-02-22,5390,5410,5220,5270,66006,-0.034798534798534786
2022-02-23,5270,5490,5200,5350,67423,0.015180265654648917
2022-02-24,5300,5380,4970,5000,133860,-0.06542056074766356
2022-02-25,5140,5250,5080,5140,95367,0.028000000000000025
2022-02-28,5190,5330,5170,5250,63494,0.021400778210116655
2022-03-02,5250,5420,5250,5340,57307,0.017142857142857126
2022-03-03,5550,5670,5390,5600,163903,0.04868913857677892
2022-03-04,5650,5650,5410,5460,89048,-0.025000000000000022
2022-03-07,5410,5490,5240,5330,96995,-0.023809523809523836
2022-03-08,5170,5320,5130,5230,60560,-0.018761726078799223
2022-03-10,5530,6600,5470,5730,3639820,0.09560229445506696
2022-03-11,5850,7440,5820,7440,6880519,0.2984293193717278
2022-03-14,7710,8920,7320,7720,18886009,0.037634408602150504
2022-03-15,7650,8350,7440,7770,8178116,0.006476683937823857
2022-03-16,7770,7780,7500,7770,1908782,0.0
2022-03-17,7980,8320,7710,7800,6071084,0.0038610038610038533
2022-03-18,7730,8260,7650,8180,3566683,0.04871794871794877
2022-03-21,8090,8390,7960,8000,2250312,-0.022004889975550168
2022-03-22,8110,8600,7980,8030,3024670,0.00374999999999992
2022-03-23,8070,9380,8000,8630,12590891,0.07471980074719808
2022-03-24,8500,8540,7920,8310,2356368,-0.037079953650057895
2022-03-25,8180,8990,8170,8290,4096460,-0.002406738868832692
2022-03-28,8200,8590,8140,8460,1022421,0.020506634499396936
2022-03-29,8740,9200,8380,8540,4201580,0.009456264775413725
2022-03-30,8470,8500,7800,7910,1098688,-0.07377049180327866
2022-03-31,7730,8130,7700,7880,715250,-0.0037926675094817064
2022-04-01,7820,8230,7810,8050,944467,0.021573604060913798
2022-04-04,8190,9170,8060,9170,6810441,0.13913043478260878
2022-04-05,8940,9990,8800,9290,11718317,0.013086150490730697
2022-04-06,9150,9380,9010,9160,1680746,-0.013993541442411161
2022-04-07,9040,9260,8370,8510,1283637,-0.07096069868995636
2022-04-08,8390,8580,7800,7880,1224770,-0.07403055229142186
2022-04-11,7880,7960,7530,7610,512669,-0.03426395939086291
2022-04-12,7500,7780,7080,7230,976009,-0.04993429697766094
2022-04-13,7220,7310,7030,7210,360395,-0.0027662517289073207
2022-04-14,7230,7520,7200,7390,537695,0.02496532593619971
2022-04-15,7300,7840,7290,7790,716358,0.0541271989174561
2022-04-18,7660,7890,7640,7810,476493,0.0025673940949935137
2022-04-19,7760,8260,7670,8120,1181259,0.03969270166453276
2022-04-20,7950,8070,7750,7750,744698,-0.04556650246305416
2022-04-21,7780,7780,7490,7570,330338,-0.023225806451612874
2022-04-22,7440,7660,7440,7460,261184,-0.014531043593130732
2022-04-25,7310,7880,7260,7580,595869,0.01608579088471851
2022-04-26,7550,7720,7470,7620,277733,0.005277044854881341
2022-04-27,7400,7470,7260,7440,218028,-0.023622047244094446
2022-04-28,7490,7510,7260,7430,209600,-0.0013440860215053752
2022-04-29,7540,8290,7450,7940,1891226,0.06864064602960962
2022-05-02,7710,8440,7700,8270,1583412,0.04156171284634769
2022-05-03,8350,8700,7900,7960,3762057,-0.037484885126964906
2022-05-04,8040,8210,7650,7740,523601,-0.027638190954773822
2022-05-06,7510,7820,7500,7570,259025,-0.021963824289405687
2022-05-09,7470,7570,7200,7310,271005,-0.034346103038309095
2022-05-10,7110,7230,6940,7160,290116,-0.020519835841313228
2022-05-11,7080,7270,6790,6820,296101,-0.04748603351955305
2022-05-12,6770,6790,6200,6300,359286,-0.07624633431085048
2022-05-13,6310,6430,6200,6230,158030,-0.011111111111111072
2022-05-16,6270,6570,6270,6360,186817,0.020866773675762396
2022-05-17,6370,6450,6310,6400,71511,0.0062893081761006275
2022-05-18,6440,6650,6400,6460,187009,0.009374999999999911
2022-05-19,6200,6320,6200,6240,100569,-0.034055727554179516
2022-05-20,6240,6460,6210,6430,103049,0.03044871794871784
2022-05-23,6430,6490,6350,6430,84142,0.0
2022-05-24,6440,6680,6400,6530,225716,0.015552099533437058
2022-05-25,6420,6660,6270,6440,247191,-0.013782542113323082
2022-05-26,6410,6540,6330,6430,99672,-0.0015527950310558758
2022-05-27,6470,6560,6400,6430,86510,0.0
2022-05-30,6510,6720,6430,6620,152048,0.029548989113530322
2022-05-31,6650,6650,6510,6540,59611,-0.012084592145015116
2022-06-02,6510,6550,6340,6400,82171,-0.021406727828746197
2022-06-03,6410,6530,6380,6430,67954,0.004687499999999956
2022-06-07,6400,6420,6260,6260,65294,-0.026438569206842955
2022-06-08,6280,6330,6200,6220,56360,-0.006389776357827448
2022-06-09,6140,6390,5910,5990,168151,-0.036977491961414755
2022-06-10,6000,6110,5810,5920,104136,-0.011686143572620988
2022-06-13,5800,5900,5460,5570,158627,-0.0591216216216216
2022-06-14,5350,5530,5270,5480,139402,-0.016157989228007152
2022-06-15,5400,5510,5100,5170,116442,-0.05656934306569339
2022-06-16,5200,5420,5170,5170,86158,0.0
2022-06-17,5030,5300,4980,5270,92904,0.01934235976789167
2022-06-20,5290,5330,4815,4860,126265,-0.07779886148007586
2022-06-21,4830,5060,4825,5030,88780,0.034979423868312765
2022-06-22,4980,5080,4680,4680,92755,-0.06958250497017893
2022-06-23,4660,4750,4310,4345,114865,-0.07158119658119655
2022-06-24,4280,4580,4280,4510,72131,0.03797468354430378
2022-06-27,4645,4940,4635,4855,137291,0.0764966740576496
2022-06-28,4875,5980,4855,5330,4892720,0.09783728115345003
2022-06-29,5250,6210,5180,5640,4656487,0.05816135084427776
2022-06-30,5690,5720,5400,5400,457607,-0.04255319148936165
2022-07-01,5460,6190,5440,5450,3500581,0.0092592592592593
2022-07-04,5420,5440,5020,5070,330347,-0.06972477064220184
2022-07-05,5070,5880,5070,5460,2560016,0.07692307692307687
2022-07-06,5470,5710,5370,5410,558959,-0.009157509157509125
2022-07-07,5410,5820,5380,5490,465581,0.014787430683918634
2022-07-08,5530,5660,5420,5490,211963,0.0
2022-07-11,5520,5670,5480,5620,181874,0.023679417122040025
2022-07-12,5620,5640,5310,5330,176162,-0.051601423487544484
2022-07-13,5250,5390,5190,5210,118519,-0.022514071294559068
2022-07-14,5080,5340,5080,5180,150817,-0.0057581573896353655
2022-07-15,5190,5260,5050,5110,110057,-0.013513513513513487
2022-07-18,5140,5350,5090,5330,104107,0.04305283757338563
2022-07-19,5280,5350,5230,5320,61193,-0.0018761726078799779
2022-07-20,5370,5470,5320,5370,91545,0.009398496240601517
2022-07-21,5390,5530,5390,5520,118880,0.027932960893854775
2022-07-22,5550,5550,5380,5420,107187,-0.018115942028985477
2022-07-25,5440,5450,5260,5290,67433,-0.023985239852398532
2022-07-26,5230,5420,5230,5340,172343,0.00945179584120992
2022-07-27,5460,5870,5400,5470,1374010,0.02434456928838946
2022-07-28,5530,5630,5380,5470,189174,0.0
2022-07-29,5550,5660,5480,5500,137521,0.005484460694698434
2022-08-01,5510,5680,5440,5600,105365,0.018181818181818077
2022-08-02,5650,5750,5510,5710,359393,0.019642857142857073
2022-08-03,5690,5750,5600,5720,184776,0.0017513134851139256
2022-08-04,5790,5830,5700,5710,185831,-0.0017482517482517723
2022-08-05,5670,5760,5610,5740,104596,0.005253940455341555
2022-08-08,5740,5930,5600,5660,201528,-0.013937282229965153
2022-08-09,5600,5720,5600,5670,75843,0.0017667844522968323
2022-08-10,5670,5670,5510,5520,106981,-0.02645502645502651
2022-08-11,5590,5720,5570,5650,86639,0.023550724637681153
2022-08-12,5680,5810,5660,5680,130323,0.005309734513274433
2022-08-16,5790,5790,5670,5710,82032,0.005281690140845008
2022-08-17,5730,5750,5610,5630,74550,-0.014010507880910628
2022-08-18,5630,5660,5540,5650,74457,0.003552397868561208
2022-08-19,5600,5660,5570,5580,57671,-0.012389380530973493
2022-08-22,5520,5520,5230,5230,157278,-0.06272401433691754
2022-08-23,5080,5970,5030,5070,2612801,-0.030592734225621365
2022-08-24,5120,5300,5060,5270,230271,0.03944773175542404
2022-08-25,5320,5660,5250,5550,523444,0.05313092979127143
2022-08-26,5550,5680,5510,5560,146280,0.0018018018018017834
2022-08-29,5430,5470,5260,5390,76833,-0.030575539568345356
2022-08-30,5340,5540,5340,5440,52275,0.00927643784786647
2022-08-31,5520,5900,5470,5660,764597,0.040441176470588314
2022-09-01,5670,5700,5550,5550,165249,-0.019434628975265045
2022-09-02,5700,5990,5270,5300,1959815,-0.04504504504504503
2022-09-05,5270,5280,5110,5180,98900,-0.02264150943396226
2022-09-06,5100,5260,5100,5180,137384,0.0
2022-09-07,5250,5300,5000,5010,120132,-0.032818532818532864
2022-09-08,5070,5160,5050,5050,60387,0.007984031936127733
2022-09-13,5070,5290,5070,5250,91777,0.03960396039603964
2022-09-14,5050,5360,5040,5230,157182,-0.003809523809523818
2022-09-15,5220,5340,5190,5240,48446,0.0019120458891013214
2022-09-16,5180,5230,5060,5070,93639,-0.03244274809160308
2022-09-19,5070,5070,4810,4820,109413,-0.04930966469428011
2022-09-20,4825,4935,4820,4900,56202,0.016597510373443924
2022-09-21,4895,5010,4880,4905,53309,0.0010204081632652073
2022-09-22,4840,4990,4690,4845,127469,-0.012232415902140636
2022-09-23,4820,5080,4620,4640,204747,-0.042311661506707954
2022-09-26,4520,4590,4240,4245,185484,-0.08512931034482762
2022-09-27,4245,4395,4145,4350,165766,0.02473498233215543
2022-09-28,4285,4430,4115,4150,161926,-0.04597701149425293
2022-09-29,4260,4510,4200,4200,133406,0.012048192771084265
