Date,Open,High,Low,Close,Volume,Change
2023-03-30,7890,9910,7628,8433,48560064,
2023-03-31,8452,9201,7610,7637,15270267,-0.09439108265148821
2023-04-03,7726,7982,7090,7766,6392786,0.016891449522063562
2023-04-04,7603,9888,7378,9078,34733489,0.16894154004635586
2023-04-05,8702,10555,8577,9703,36001812,0.06884776382463098
2023-04-06,9867,10181,9347,9994,11652225,0.029990724518190293
2023-04-07,9848,9993,9243,9349,5342284,-0.06453872323394039
2023-04-10,9410,10578,8786,10578,23942518,0.13145790993689155
2023-04-11,10577,11951,10411,10411,24604182,-0.015787483456229934
2023-04-12,10201,11306,9827,10328,11477429,-0.007972336951301506
2023-04-13,10598,11014,9994,10016,6012408,-0.030209140201394313
2023-04-14,10203,11015,9994,10037,7067016,0.0020966453674120533
2023-04-17,10764,10869,10077,10120,4608630,0.008269403208129855
2023-04-18,10264,10326,9076,9224,3934389,-0.08853754940711467
2023-04-19,9118,9763,8826,9369,3797136,0.015719861231569876
2023-04-20,9057,9161,8165,8192,3308959,-0.12562706799018042
2023-04-21,8061,8744,8049,8329,2604204,0.0167236328125
2023-04-24,8641,8891,8453,8496,1604893,0.02005042622163522
2023-04-25,8535,8931,8369,8641,1512201,0.017066854990583913
2023-04-26,8578,8578,8219,8246,850638,-0.04571230181691932
2023-04-27,8253,8703,7849,8454,1089116,0.025224351200582085
2023-04-28,8473,8849,8369,8704,1250637,0.029571800331204212
2023-05-02,8889,9306,8744,9266,1802913,0.06456801470588225
2023-05-03,9056,9243,8659,8807,914459,-0.04953593783725452
2023-05-04,8722,9327,8660,9161,1487843,0.04019529919382303
2023-05-08,9243,9993,9160,9453,3586421,0.03187424953607687
2023-05-09,9284,9930,9243,9827,2935576,0.03956415952607628
2023-05-10,9722,10202,9618,9953,1927775,0.012821817441742045
2023-05-11,9951,10097,9305,9369,1249135,-0.0586757761478951
2023-05-12,9305,9785,9305,9453,883972,0.008965738072366225
2023-05-15,9535,9702,8910,8995,942893,-0.04845022744102401
2023-05-16,8993,9202,8890,9120,517046,0.013896609227348478
2023-05-17,9077,9640,8973,9474,679347,0.03881578947368425
2023-05-18,9598,9640,9223,9266,480025,-0.021954823728097983
2023-05-19,9202,9493,9056,9453,553445,0.020181308007770404
2023-05-22,9494,9661,9287,9287,539904,-0.017560562784301292
2023-05-23,9472,9951,9430,9869,2243550,0.06266824593517817
2023-05-24,9702,10141,9640,10141,1479515,0.027561049751748
2023-05-25,10161,10182,9744,10037,1013911,-0.010255398875850474
2023-05-26,9972,10117,9598,9598,862910,-0.043738168775530495
2023-05-30,9618,9764,9368,9640,745259,0.004375911648260011
2023-05-31,9848,9994,9494,9537,1756932,-0.010684647302904526
2023-06-01,9430,10285,9410,10161,2445170,0.06542938030827306
2023-06-02,10221,10555,10076,10348,2111570,0.01840370042318673
2023-06-05,10431,10452,9868,10182,1088399,-0.016041747197526046
2023-06-07,10119,10181,9745,9745,855180,-0.04291887644863479
2023-06-08,9744,9889,9287,9287,1277770,-0.04699846074910208
2023-06-09,9369,9535,8973,9224,1478432,-0.006783676106385306
2023-06-12,9244,9285,8910,8974,680694,-0.027103209019948005
2023-06-13,9119,9265,8973,8995,460818,0.002340093603744098
2023-06-14,9098,9119,8535,8620,731986,-0.041689827682045544
2023-06-15,8703,8724,8432,8496,447833,-0.014385150812064929
2023-06-16,8598,8828,8323,8329,645887,-0.019656308851224158
2023-06-19,8327,8849,8165,8683,593944,0.042502101092568134
2023-06-20,8681,8681,8391,8391,321208,-0.033628930093285714
2023-06-21,8370,8453,8019,8246,636348,-0.017280419497080257
2023-06-22,8099,8391,8070,8113,307642,-0.016129032258064502
2023-06-23,8099,8203,7919,7933,327778,-0.02218661407617406
2023-06-26,7952,8298,7869,8137,405132,0.02571536619185677
2023-06-27,8094,8557,8069,8433,578761,0.03637704313629109
2023-06-28,8370,8495,8020,8021,537636,-0.04885568599549395
2023-06-29,8040,8090,7920,7920,184514,-0.012591946141378929
2023-06-30,7919,7991,7769,7954,249344,0.004292929292929237
2023-07-03,8111,8161,7702,7883,308803,-0.008926326376665794
2023-07-04,7911,7923,7497,7537,634077,-0.04389191932005576
2023-07-05,7514,7733,7477,7575,302027,0.005041793817168738
2023-07-06,7573,7573,7098,7133,650891,-0.05834983498349833
2023-07-07,7040,7148,6728,6929,618564,-0.02859946726482543
