Date,Open,High,Low,Close,Volume,Change
2022-01-03,29650,31350,29200,30950,333984,0.05993150684931514
2022-01-04,31000,31250,29950,30700,248939,-0.008077544426494332
2022-01-05,30750,31200,29200,29650,211216,-0.03420195439739415
2022-01-06,28850,29650,27500,28000,232945,-0.05564924114671166
2022-01-07,28050,29150,27850,28550,168352,0.019642857142857073
2022-01-10,28300,28900,27200,28600,190620,0.0017513134851139256
2022-01-11,28500,28750,27600,28750,153190,0.005244755244755206
2022-01-12,28750,30200,28400,30100,288001,0.04695652173913034
2022-01-13,30200,30300,28800,29200,219213,-0.029900332225913595
2022-01-14,28550,28800,28000,28000,153680,-0.04109589041095896
2022-01-17,28300,29400,27150,27200,220934,-0.02857142857142858
2022-01-18,27200,27450,25700,25800,217253,-0.05147058823529416
2022-01-19,25350,26200,25100,25800,124535,0.0
2022-01-20,25600,26750,25600,26600,113558,0.03100775193798455
2022-01-21,26050,27500,26050,26750,160918,0.005639097744360999
2022-01-24,26600,26650,24500,24600,194994,-0.0803738317757009
2022-01-25,24600,25550,22800,23300,202101,-0.05284552845528456
2022-01-26,23150,23800,22800,23300,140111,0.0
2022-01-27,23800,23800,20950,21450,252818,-0.07939914163090134
2022-01-28,21500,22400,20550,22400,163267,0.04428904428904423
2022-02-03,22500,23200,22000,22700,161209,0.013392857142857206
2022-02-04,22450,24350,22350,23950,168208,0.05506607929515428
2022-02-07,23850,24700,22750,23300,264691,-0.02713987473903967
2022-02-08,23700,24050,22800,23050,134156,-0.010729613733905574
2022-02-09,23250,24900,23250,24150,241241,0.04772234273318876
2022-02-10,24250,24650,23000,24400,170165,0.010351966873705987
2022-02-11,23800,24150,23300,23350,117263,-0.04303278688524592
2022-02-14,22800,23100,21700,21750,108450,-0.06852248394004279
2022-02-15,21750,22100,20800,21700,106767,-0.0022988505747126853
2022-02-16,22500,23650,22250,23400,200378,0.07834101382488479
2022-02-17,23500,25250,23000,24000,343416,0.02564102564102555
2022-02-18,23450,24550,23450,23950,107861,-0.002083333333333326
2022-02-21,23700,24550,23000,23850,117740,-0.0041753653444676075
2022-02-22,23400,24600,23150,23200,150866,-0.027253668763102756
2022-02-23,23450,23550,22850,23300,86940,0.004310344827586299
2022-02-24,22800,23650,22100,22100,154179,-0.05150214592274682
2022-02-25,22600,26750,22500,25250,1005709,0.14253393665158365
2022-02-28,25650,27050,25400,25600,459307,0.013861386138613874
2022-03-02,26150,26850,25700,26700,202996,0.04296875
2022-03-03,26700,26800,25800,26800,145171,0.0037453183520599342
2022-03-04,26650,26700,25900,26450,112766,-0.013059701492537323
2022-03-07,25800,26100,25150,25250,109788,-0.04536862003780717
2022-03-08,24500,27000,24500,26900,371094,0.0653465346534654
2022-03-10,27400,27400,26150,26900,195016,0.0
2022-03-11,27100,27900,26800,27100,226918,0.0074349442379182396
2022-03-14,27400,27950,26900,27300,180787,0.007380073800737907
