Date,Open,High,Low,Close,Volume,Change
2022-11-18,9000,11600,9000,10850,10362890,
2022-11-21,11200,13350,11000,11200,6667454,0.032258064516129004
2022-11-22,10950,11100,10050,10200,908757,-0.0892857142857143
2022-11-23,10350,11850,10100,10550,2098193,0.03431372549019618
2022-11-24,10400,13700,10400,13700,2690019,0.2985781990521328
2022-11-25,14950,15950,13300,13950,4842310,0.018248175182481674
2022-11-28,14350,15600,12700,13500,2398324,-0.032258064516129004
2022-11-29,14150,14350,12150,12600,1693564,-0.06666666666666665
2022-11-30,12550,12900,11900,12600,681242,0.0
2022-12-01,12600,13000,12000,12200,889885,-0.031746031746031744
2022-12-02,12400,12950,11300,11300,1519689,-0.07377049180327866
2022-12-05,11450,11650,10950,11300,402463,0.0
2022-12-06,11050,11650,10950,11650,293091,0.030973451327433565
2022-12-07,11350,11900,11150,11800,230103,0.012875536480686733
2022-12-08,11600,12000,11200,11200,177577,-0.05084745762711862
2022-12-09,11300,11450,10950,11350,116221,0.013392857142857206
2022-12-12,11300,11300,10550,10700,140771,-0.05726872246696035
2022-12-13,10800,10800,10300,10300,101690,-0.03738317757009346
2022-12-14,10350,10450,10050,10300,111997,0.0
2022-12-15,10200,11550,10150,10900,587671,0.058252427184465994
2022-12-16,10600,11450,10600,11150,188029,0.022935779816513735
2022-12-19,11300,11450,10550,10950,152230,-0.017937219730941756
2022-12-20,10800,10950,10400,10500,92768,-0.04109589041095896
2022-12-21,10800,11850,10650,11600,458920,0.10476190476190483
2022-12-22,11500,11950,11300,11550,205035,-0.004310344827586188
2022-12-23,11400,11400,10600,10600,199692,-0.08225108225108224
2022-12-26,10600,11400,10300,11050,184951,0.04245283018867929
2022-12-27,10850,12200,10850,11500,639343,0.040723981900452566
2022-12-28,11450,12750,11350,12450,581058,0.08260869565217388
2022-12-29,12200,12600,11700,12600,138378,0.012048192771084265
2023-01-02,12900,13250,12400,12550,316245,-0.003968253968253954
2023-01-03,12350,13200,12350,12900,171547,0.027888446215139417
2023-01-04,12900,13250,12500,13000,105564,0.007751937984496138
2023-01-05,13050,13600,12800,12900,131066,-0.007692307692307665
2023-01-06,12900,13650,12650,12850,225368,-0.003875968992248069
2023-01-09,13000,13100,12600,12750,139107,-0.0077821011673151474
2023-01-10,12750,13300,12500,13300,129271,0.04313725490196085
2023-01-11,13850,14450,13550,14100,666836,0.06015037593984962
2023-01-12,13950,14350,13650,13700,200532,-0.028368794326241176
2023-01-13,13800,15150,13500,14300,542684,0.04379562043795615
2023-01-16,14350,15850,14150,14750,919165,0.03146853146853146
2023-01-17,14750,15450,14350,14950,325930,0.013559322033898313
2023-01-18,14950,14950,14150,14600,240193,-0.02341137123745818
2023-01-19,14300,14650,14050,14500,139659,-0.006849315068493178
2023-01-20,14350,14800,13900,14400,171203,-0.006896551724137945
2023-01-25,14520,15260,14200,15150,179124,0.05208333333333326
2023-01-26,15150,15330,14780,14910,161193,-0.015841584158415856
2023-01-27,14900,14900,13960,14250,172553,-0.044265593561368166
2023-01-30,14250,14250,13540,13900,157680,-0.024561403508771895
2023-01-31,13720,13890,13450,13600,83459,-0.021582733812949617
2023-02-01,13800,14880,13800,14540,333669,0.0691176470588235
2023-02-02,14600,14770,14160,14170,122644,-0.025447042640990403
2023-02-03,14210,14850,13930,13980,132145,-0.013408609738884913
2023-02-06,13900,14110,13690,13980,53903,0.0
2023-02-07,14180,14330,13810,14000,61906,0.0014306151645206988
2023-02-08,14340,15030,14100,14800,305507,0.05714285714285716
2023-02-09,14820,16140,14720,15320,442360,0.03513513513513522
2023-02-10,15250,15700,14790,15070,196477,-0.01631853785900783
2023-02-13,15070,16550,14850,16000,357100,0.06171201061712006
2023-02-14,16000,16470,15680,16300,214589,0.018750000000000044
2023-02-15,16150,16550,15300,15800,186222,-0.030674846625766916
2023-02-16,15800,15880,15360,15600,106975,-0.012658227848101222
2023-02-17,15310,15950,15130,15510,76005,-0.005769230769230749
2023-02-20,15250,15900,15000,15290,237535,-0.014184397163120588
2023-02-21,15110,15420,14910,15400,152119,0.007194244604316502
2023-02-22,15030,16310,15010,15720,260638,0.020779220779220786
2023-02-23,15720,16500,15460,15770,176790,0.0031806615776082126
2023-02-24,15920,16250,15430,15500,100526,-0.017121116043119833
2023-02-27,15320,15990,15170,15860,95522,0.023225806451612874
2023-02-28,15970,16590,15740,16190,203342,0.02080706179066838
2023-03-02,16180,16180,15590,15750,128157,-0.027177269919703484
2023-03-03,15900,16320,15610,16000,153374,0.015873015873015817
2023-03-06,16230,16380,15750,16000,149566,0.0
2023-03-07,16000,17600,15800,16370,660075,0.023125000000000062
2023-03-08,16300,17350,16200,17010,318175,0.039095907147220554
2023-03-09,17020,17420,16660,16950,198128,-0.003527336860670194
2023-03-10,16700,16900,15960,16200,286147,-0.04424778761061943
2023-03-13,16350,17200,14870,15050,7878942,-0.07098765432098764
2023-03-14,15050,15370,13400,13900,752676,-0.07641196013289031
2023-03-15,14500,15150,14420,14720,227205,0.05899280575539567
2023-03-16,14970,14970,14130,14560,129545,-0.010869565217391353
2023-03-17,14800,15500,14470,15390,153645,0.057005494505494525
2023-03-20,15490,16020,15000,15750,218916,0.023391812865497075
2023-03-21,16010,16700,15890,16650,269129,0.05714285714285716
2023-03-22,16830,17220,16390,16690,196004,0.002402402402402304
2023-03-23,16870,19480,16640,18340,916872,0.09886159376872383
2023-03-24,18400,18420,17580,18380,268538,0.0021810250817884125
