Date,Open,High,Low,Close,Volume,Change
2022-01-03,13450,13850,13350,13550,643551,0.014981273408239737
2022-01-04,13650,13700,13400,13550,398890,0.0
2022-01-05,13650,13850,13300,13450,716421,-0.0073800738007380184
2022-01-06,13250,13600,13200,13200,840022,-0.018587360594795488
2022-01-07,13350,13550,13300,13400,475890,0.015151515151515138
2022-01-10,13350,13400,12950,13050,524082,-0.026119402985074647
2022-01-11,13050,13150,12900,13050,304673,0.0
2022-01-12,13150,13250,13050,13200,352834,0.011494252873563315
2022-01-13,13200,13200,13000,13100,290613,-0.007575757575757569
2022-01-14,12950,13150,12900,13150,284335,0.003816793893129722
2022-01-17,13200,13250,13000,13050,256866,-0.0076045627376425395
2022-01-18,13050,13300,12700,12900,457010,-0.011494252873563204
2022-01-19,12600,12850,12500,12600,405724,-0.023255813953488413
2022-01-20,12650,12850,12450,12800,273996,0.015873015873015817
2022-01-21,12600,12750,12300,12350,420172,-0.03515625
2022-01-24,12250,12500,12200,12350,322326,0.0
2022-01-25,12350,12500,12050,12150,466389,-0.01619433198380571
2022-01-26,12150,12300,11950,12000,300872,-0.012345679012345734
2022-01-27,12050,12050,11450,11600,499199,-0.033333333333333326
2022-01-28,11500,12000,11400,12000,583018,0.034482758620689724
2022-02-03,12300,12350,11900,11950,356740,-0.004166666666666652
2022-02-04,11850,12200,11750,12000,259213,0.004184100418409997
2022-02-07,12100,12100,11650,11700,266521,-0.025000000000000022
2022-02-08,11700,11800,11400,11450,336240,-0.021367521367521403
2022-02-09,11650,11700,11500,11650,238317,0.017467248908296984
2022-02-10,11750,11850,11500,11600,198901,-0.0042918454935622075
2022-02-11,11450,11550,11350,11350,254347,-0.02155172413793105
2022-02-14,11100,11150,10500,10600,657273,-0.06607929515418498
2022-02-15,10550,11000,10450,10650,353967,0.004716981132075526
2022-02-16,10950,11200,10850,11200,240680,0.05164319248826299
2022-02-17,11150,11350,10950,11050,241998,-0.013392857142857095
2022-02-18,10900,11200,10850,11100,182249,0.004524886877828038
2022-02-21,10850,11050,10700,11000,137832,-0.009009009009009028
2022-02-22,10700,11150,10700,10950,310380,-0.004545454545454519
