Date,Open,High,Low,Close,Volume,Change
2022-01-03,5074,5086,4799,4837,608020,-0.03491620111731841
2022-01-04,4837,5050,4775,4925,673008,0.01819309489352894
2022-01-05,4912,5000,4700,4925,776908,0.0
2022-01-06,4762,4925,4587,4600,827176,-0.06598984771573602
2022-01-07,4625,4750,4525,4650,387048,0.010869565217391353
2022-01-10,4612,4625,4300,4325,743808,-0.06989247311827962
2022-01-11,4324,4524,4112,4187,932472,-0.031907514450867036
2022-01-12,4250,4575,4225,4525,612920,0.08072605684260803
2022-01-13,4575,4637,4400,4400,387160,-0.027624309392265234
2022-01-14,4499,4786,4337,4687,536488,0.06522727272727269
2022-01-17,4774,4961,4637,4687,512156,0.0
2022-01-18,4687,4912,4662,4825,414508,0.029443140601664197
2022-01-19,4762,4887,4625,4725,337656,-0.020725388601036232
2022-01-20,4699,4924,4637,4812,457452,0.018412698412698436
2022-01-21,4762,4862,4400,4425,727524,-0.08042394014962595
2022-01-24,4424,4549,4287,4462,482272,0.008361581920903971
2022-01-25,4462,4862,4437,4650,1436508,0.042133572389063234
2022-01-26,4612,5299,4587,5237,2123772,0.12623655913978493
2022-01-27,5275,5450,4887,5200,1602700,-0.007065113614664886
2022-01-28,5186,5311,4974,5112,842584,-0.01692307692307693
2022-02-03,5149,5399,4874,5012,1560844,-0.019561815336463173
2022-02-04,5049,5186,4812,4937,1101608,-0.014964086193136494
2022-02-07,5037,5125,4787,4875,871280,-0.012558233745189384
2022-02-08,4874,4911,4612,4712,701168,-0.03343589743589748
2022-02-09,4712,5025,4675,4950,552076,0.050509337860781045
2022-02-10,4937,5075,4862,4900,432284,-0.010101010101010055
2022-02-11,4812,5036,4687,4912,745008,0.002448979591836764
2022-02-14,4875,5000,4725,4775,477924,-0.0278908794788274
2022-02-15,4775,4812,4475,4550,511288,-0.04712041884816753
2022-02-16,4674,4749,4549,4587,451136,0.008131868131868059
2022-02-17,4611,4711,4462,4562,315444,-0.00545018530630037
2022-02-18,4499,4524,4374,4487,485452,-0.01644015782551511
2022-02-21,4450,4550,4375,4525,146068,0.008468910184978862
2022-02-22,4437,4487,4300,4300,338640,-0.04972375690607733
2022-02-23,4375,4662,4312,4625,303800,0.07558139534883712
2022-02-24,4599,4599,4362,4487,329016,-0.02983783783783789
2022-02-25,4512,4837,4450,4775,550644,0.06418542455983944
2022-02-28,4762,4899,4687,4862,294596,0.0182198952879582
2022-03-02,4800,4875,4712,4750,269496,-0.023035787741670144
2022-03-03,4787,4850,4725,4775,210080,0.0052631578947368585
2022-03-04,4712,4762,4575,4675,241332,-0.020942408376963373
2022-03-07,4574,4599,4462,4512,229544,-0.03486631016042785
2022-03-08,4399,4536,4399,4462,157652,-0.011081560283687897
2022-03-10,4537,4587,4400,4500,125336,0.008516360376512822
2022-03-11,4474,4549,4399,4412,159848,-0.019555555555555548
2022-03-14,4461,4461,4299,4337,156148,-0.01699909338168626
2022-03-15,4337,4486,4287,4337,268908,0.0
2022-03-16,4425,4450,4337,4425,59116,0.020290523403274197
2022-03-17,4525,4587,4450,4525,156684,0.02259887005649719
2022-03-18,4524,4674,4487,4562,94016,0.008176795580110419
2022-03-21,4587,4662,4487,4625,120828,0.013809732573432765
2022-03-22,4661,4686,4574,4637,171484,0.002594594594594657
2022-03-23,4624,4649,4537,4537,125584,-0.021565667457407844
2022-03-24,4537,4600,4512,4600,55380,0.013885827639409376
2022-03-25,4612,4686,4574,4662,152372,0.013478260869565162
2022-03-28,4649,4674,4512,4537,144784,-0.02681252681252677
2022-03-29,4536,4574,4449,4487,179008,-0.011020498126515288
2022-03-30,4550,4612,4475,4600,154444,0.025183864497437147
2022-03-31,4575,4762,4550,4675,367512,0.016304347826086918
2022-04-01,4637,4650,4512,4550,195192,-0.0267379679144385
2022-04-04,4549,4586,4387,4462,190904,-0.019340659340659316
2022-04-05,4487,4487,4400,4425,136184,-0.008292245629762385
2022-04-06,4412,4412,4200,4225,462588,-0.04519774011299438
2022-04-07,4236,4236,3999,4012,505008,-0.050414201183431984
2022-04-08,4024,4224,4024,4162,280000,0.03738783649052846
2022-04-11,4149,4261,4099,4112,163964,-0.012013455069677992
2022-04-12,4111,4136,4037,4062,151412,-0.012159533073929918
2022-04-13,4074,4174,4074,4162,136756,0.02461841457410152
2022-04-14,4162,4175,4087,4150,723652,-0.0028832292167226825
2022-04-15,4150,4225,4062,4075,135624,-0.01807228915662651
2022-04-18,4111,4124,3999,4012,183368,-0.015460122699386458
2022-04-19,4012,4137,4000,4100,87936,0.02193419740777669
2022-04-20,4099,4149,4087,4112,70788,0.0029268292682926855
2022-04-21,4075,4200,4075,4125,157820,0.0031614785992217787
2022-04-22,4099,4161,4049,4137,124212,0.0029090909090909722
2022-04-25,4050,4075,3962,3975,168772,-0.039158810732414784
2022-04-26,3987,4037,3950,3975,95352,0.0
2022-04-27,3887,4012,3837,4000,136724,0.0062893081761006275
2022-04-28,4025,4112,3975,4050,103788,0.012499999999999956
2022-04-29,4062,4274,4037,4212,276452,0.040000000000000036
2022-05-02,4187,4250,4162,4225,85776,0.0030864197530864335
2022-05-03,4200,4225,4162,4175,95380,-0.011834319526627168
2022-05-04,4137,4212,4100,4125,53544,-0.0119760479041916
2022-05-06,4100,4100,3875,3925,161888,-0.048484848484848464
2022-05-09,3861,3899,3649,3662,275560,-0.06700636942675164
2022-05-10,3575,3650,3412,3575,204096,-0.023757509557618794
2022-05-11,3612,3612,3500,3550,89520,-0.006993006993006978
2022-05-12,3487,3525,3387,3525,234784,-0.007042253521126751
2022-05-13,3524,3612,3499,3612,58228,0.02468085106382989
2022-05-16,3637,3637,3450,3475,119392,-0.0379291251384275
2022-05-17,3474,3486,3424,3437,46776,-0.01093525179856114
2022-05-18,3487,3787,3475,3550,138308,0.03287750945592083
2022-05-19,3462,3574,3437,3512,138828,-0.010704225352112684
2022-05-20,3575,3575,3487,3525,68320,0.0037015945330296507
2022-05-23,3549,3649,3499,3637,122672,0.03177304964539007
2022-05-24,3624,3649,3537,3537,77308,-0.027495188342040122
2022-05-25,3462,3536,3462,3487,88148,-0.014136273678258426
2022-05-26,3499,3549,3424,3462,103924,-0.0071694866647548094
2022-05-27,3474,3511,3449,3487,52288,0.007221259387637291
2022-05-30,3487,3562,3474,3562,55036,0.021508459994264317
2022-05-31,3562,3562,3500,3550,50348,-0.003368893879842738
2022-06-02,3550,3575,3487,3525,95680,-0.007042253521126751
2022-06-03,3525,3650,3525,3575,84204,0.014184397163120588
2022-06-07,3549,3624,3499,3537,112984,-0.010629370629370638
2022-06-08,3537,4075,3525,3775,944824,0.06728866270851008
2022-06-09,3775,3887,3700,3800,169360,0.0066225165562914245
2022-06-10,3737,3899,3712,3812,144956,0.0031578947368420263
2022-06-13,3712,3737,3587,3625,150716,-0.04905561385099688
2022-06-14,3475,3600,3350,3450,217224,-0.0482758620689655
2022-06-15,3450,3450,3250,3275,248492,-0.050724637681159424
2022-06-16,3312,3400,3250,3250,103160,-0.007633587786259555
2022-06-17,3149,3361,3099,3337,171188,0.02676923076923088
2022-06-20,3286,3299,3087,3112,160928,-0.06742583158525617
2022-06-21,3100,3187,3025,3125,60388,0.004177377892030876
2022-06-22,3100,3125,2887,2925,208000,-0.06399999999999995
2022-06-23,2925,2937,2675,2725,427668,-0.06837606837606836
2022-06-24,2687,2874,2687,2837,211800,0.04110091743119271
2022-06-27,2837,2949,2824,2937,109016,0.03524850193866769
2022-06-28,2950,3075,2925,3025,85856,0.029962546816479474
2022-06-29,2937,3024,2937,3012,45264,-0.004297520661157073
2022-06-30,2974,2986,2874,2912,66284,-0.033200531208499307
2022-07-01,2874,2936,2774,2787,75780,-0.042925824175824134
2022-07-04,2774,2799,2699,2787,97644,0.0
2022-07-05,2749,2899,2749,2887,75860,0.03588087549336194
2022-07-06,2886,2949,2812,2837,95264,-0.01731901627987531
2022-07-07,2937,2974,2874,2937,82612,0.03524850193866769
2022-07-08,2986,2999,2912,2912,87116,-0.008512087163772608
2022-07-11,2987,2987,2900,2975,86712,0.02163461538461542
2022-07-12,2924,2924,2824,2862,83820,-0.03798319327731092
2022-07-13,2849,2862,2762,2862,82980,0.0
2022-07-14,2862,2950,2825,2900,67344,0.01327742837176804
2022-07-15,2937,2937,2775,2875,93904,-0.008620689655172376
2022-07-18,2862,2962,2862,2950,94776,0.026086956521739202
2022-07-19,2925,3050,2912,3050,117416,0.03389830508474567
2022-07-20,3075,3087,3000,3025,145956,-0.008196721311475419
2022-07-21,3049,3049,2949,2962,188852,-0.02082644628099173
2022-07-22,2974,3011,2962,2987,102740,0.008440243079000709
2022-07-25,2999,3162,2987,3162,276808,0.058587211248744664
2022-07-26,3200,3200,3087,3100,117648,-0.019607843137254943
2022-07-27,3087,3137,3049,3137,85860,0.011935483870967767
2022-07-28,3174,3174,3074,3087,98116,-0.015938795027095942
2022-07-29,3125,3162,3087,3125,100884,0.012309685779073432
2022-08-01,3125,3125,2987,3100,85308,-0.008000000000000007
2022-08-02,3087,3087,2987,3025,150096,-0.024193548387096753
2022-08-03,3024,3099,2999,3062,68840,0.012231404958677583
2022-08-04,3087,3136,3062,3112,118904,0.016329196603527052
2022-08-05,3112,3124,3074,3112,74544,0.0
2022-08-08,3136,3136,3074,3112,80008,0.0
2022-08-09,3087,3125,3050,3100,68768,-0.003856041131105381
2022-08-10,3100,3100,2937,2950,247620,-0.048387096774193505
2022-08-11,3012,3136,2999,3112,228912,0.05491525423728816
2022-08-12,3112,3475,3100,3375,1251648,0.08451156812339322
2022-08-16,3424,3449,3312,3387,286208,0.003555555555555534
2022-08-17,3349,3536,3349,3412,243244,0.007381163271331648
2022-08-18,3387,3475,3337,3400,129504,-0.003516998827667095
2022-08-19,3399,3624,3399,3612,437000,0.0623529411764705
2022-08-22,3586,3599,3412,3437,245340,-0.04844961240310075
2022-08-23,3387,3437,3300,3300,168896,-0.03986034332266508
2022-08-24,3299,3374,3237,3312,113052,0.0036363636363636598
2022-08-25,3312,3425,3287,3425,109708,0.03411835748792269
2022-08-26,3424,3511,3349,3462,358964,0.010802919708029268
2022-08-29,3337,3449,3262,3437,213700,-0.00722125938763718
2022-08-30,3437,3550,3375,3450,177896,0.00378236834448642
2022-08-31,3424,3474,3399,3437,81076,-0.003768115942028971
2022-09-01,3400,3412,3275,3275,189128,-0.047134128600523684
2022-09-02,3299,3324,3212,3212,84372,-0.01923664122137403
2022-09-05,3211,3236,3112,3137,116304,-0.02334993773349936
2022-09-06,3124,3199,3099,3112,133044,-0.007969397513547971
2022-09-07,3111,3111,2987,3037,115232,-0.02410025706940877
2022-09-08,3037,3587,3012,3325,1453188,0.09483042476127768
2022-09-13,3412,3537,3362,3537,443808,0.06375939849624057
2022-09-14,3387,3649,3374,3637,460372,0.028272547356516853
2022-09-15,3637,3861,3587,3737,620204,0.027495188342040233
2022-09-16,3886,4011,3749,3812,1248996,0.020069574525020117
2022-09-19,3861,3861,3524,3762,576640,-0.013116474291710367
2022-09-20,3787,3787,3650,3675,221924,-0.023125996810207328
2022-09-21,3612,3774,3562,3737,256200,0.016870748299319782
2022-09-22,3637,3700,3537,3625,201784,-0.029970564624029916
2022-09-23,3575,3587,3425,3425,214692,-0.05517241379310345
2022-09-26,3337,3387,3200,3300,201496,-0.03649635036496346
2022-09-27,3237,3624,3237,3437,546244,0.041515151515151505
2022-09-28,3475,3475,3250,3250,266804,-0.054407913878382286
2022-09-29,3312,3325,3112,3125,188912,-0.038461538461538436
2022-09-30,3112,3175,3025,3100,186360,-0.008000000000000007
2022-10-04,3137,3225,3125,3200,122660,0.032258064516129004
