Date,Open,High,Low,Close,Volume,Change
2022-01-03,2990,3085,2970,3030,216112,0.021922428330522825
2022-01-04,3045,3060,2975,3030,140245,0.0
2022-01-05,3045,3100,3000,3055,191907,0.008250825082508184
2022-01-06,3020,3150,2975,3125,503455,0.022913256955810146
2022-01-07,3155,3180,3070,3150,380563,0.008000000000000007
2022-01-10,3145,3145,3060,3085,228330,-0.020634920634920673
2022-01-11,3085,3085,2985,2990,223696,-0.030794165316045397
2022-01-12,3045,3045,2975,3030,92844,0.013377926421404673
2022-01-13,3050,3050,2985,3010,120442,-0.0066006600660065695
2022-01-14,3010,3030,2975,3010,118160,0.0
2022-01-17,3005,3025,2895,2930,162975,-0.02657807308970095
2022-01-18,2880,2950,2860,2860,134120,-0.023890784982935176
2022-01-19,2840,2930,2780,2800,155959,-0.020979020979020935
2022-01-20,2800,2845,2790,2845,82358,0.016071428571428514
2022-01-21,2845,2875,2815,2825,101232,-0.007029876977152849
2022-01-24,2810,2840,2775,2795,112482,-0.010619469026548645
2022-01-25,2795,2800,2515,2545,488337,-0.08944543828264762
2022-01-26,2540,2615,2535,2565,160280,0.007858546168958647
2022-01-27,2590,2595,2445,2450,190100,-0.04483430799220278
2022-01-28,2405,2545,2395,2545,204382,0.038775510204081653
2022-02-03,2585,2670,2585,2660,119501,0.04518664047151266
2022-02-04,2615,2725,2615,2685,169525,0.009398496240601517
2022-02-07,2710,2750,2680,2705,82376,0.007448789571694592
2022-02-08,2705,2735,2675,2680,52374,-0.009242144177449174
2022-02-09,2730,2745,2690,2730,62728,0.018656716417910557
2022-02-10,2720,2750,2700,2725,67917,-0.001831501831501825
2022-02-11,2720,2740,2685,2690,83399,-0.012844036697247652
2022-02-14,2660,2660,2545,2560,197245,-0.048327137546468446
2022-02-15,2560,2575,2480,2535,86018,-0.009765625
2022-02-16,2560,2595,2550,2590,69502,0.021696252465483346
2022-02-17,2625,2675,2580,2630,151734,0.015444015444015413
2022-02-18,2570,2695,2570,2680,100841,0.019011406844106515
2022-02-21,2650,2705,2630,2690,70847,0.003731343283582156
2022-02-22,2685,2695,2580,2590,110609,-0.03717472118959109
2022-02-23,2550,2645,2550,2625,68642,0.013513513513513598
2022-02-24,2630,2635,2485,2520,180785,-0.040000000000000036
2022-02-25,2545,2600,2530,2545,88356,0.009920634920634885
2022-02-28,2575,2600,2545,2595,51953,0.01964636542239684
2022-03-02,2570,2660,2570,2645,106005,0.019267822736030782
2022-03-03,2645,2670,2620,2655,123801,0.003780718336483968
2022-03-04,2655,2690,2610,2630,94481,-0.00941619585687381
2022-03-07,2630,2640,2570,2585,102584,-0.017110266159695797
2022-03-08,2545,2565,2505,2540,124867,-0.01740812379110257
2022-03-10,2505,2525,2475,2490,214960,-0.019685039370078705
2022-03-11,2500,2550,2495,2545,104357,0.02208835341365467
2022-03-14,2525,2575,2475,2500,180505,-0.017681728880157177
2022-03-15,2455,2510,2455,2510,156760,0.0040000000000000036
2022-03-16,2520,2570,2520,2570,129189,0.0239043824701195
2022-03-17,2585,2615,2570,2585,115050,0.005836575875486361
2022-03-18,2585,2645,2570,2625,173627,0.015473887814313247
2022-03-21,2710,2810,2635,2645,456850,0.007619047619047636
2022-03-22,2645,2675,2640,2650,96652,0.001890359168241984
2022-03-23,2645,2670,2620,2630,135439,-0.007547169811320753
2022-03-24,2630,2645,2610,2630,106505,0.0
2022-03-25,2655,2715,2620,2700,245293,0.026615969581748944
2022-03-28,2700,2785,2650,2720,238843,0.007407407407407307
2022-03-29,2720,2735,2615,2685,111811,-0.012867647058823484
2022-03-30,2690,2730,2685,2710,104357,0.009310986964618184
2022-03-31,2710,2740,2655,2740,385703,0.011070110701107083
2022-04-01,3320,3555,3060,3550,18055115,0.2956204379562044
