Date,Open,High,Low,Close,Volume,Change
2022-01-03,16650,16650,16150,16400,154911,-0.003039513677811523
2022-01-04,16550,16900,16100,16200,360926,-0.012195121951219523
2022-01-05,16150,16950,15800,16750,485309,0.033950617283950546
2022-01-06,16200,16650,15700,15700,195868,-0.06268656716417909
2022-01-07,16400,17450,16200,17400,1058450,0.10828025477707004
2022-01-10,17050,17350,16600,16600,373439,-0.04597701149425293
2022-01-11,16650,16750,15700,16100,311850,-0.030120481927710885
2022-01-12,16300,17250,16100,16950,718733,0.052795031055900665
2022-01-13,17100,17150,16500,16750,268700,-0.01179941002949858
2022-01-14,16350,17250,16350,16700,304932,-0.0029850746268657025
2022-01-17,16750,16800,15700,16000,205873,-0.041916167664670656
2022-01-18,16000,16150,15000,15050,250169,-0.059374999999999956
2022-01-19,14750,15200,14300,14450,149043,-0.039867109634551534
2022-01-20,14350,14900,14000,14800,125189,0.02422145328719716
2022-01-21,14500,14650,14100,14200,114604,-0.04054054054054057
2022-01-24,14000,14200,13550,13750,94545,-0.03169014084507038
2022-01-25,13850,14000,13000,13100,133821,-0.047272727272727244
2022-01-26,13100,13550,12900,13150,67841,0.003816793893129722
2022-01-27,13250,13600,12800,13000,102713,-0.011406844106463865
2022-01-28,13100,15450,12550,13900,662893,0.0692307692307692
2022-02-03,14150,14250,13950,14050,101298,0.010791366906474753
2022-02-04,13950,14350,13850,14250,89242,0.014234875444839812
2022-02-07,14450,14450,14000,14250,45168,0.0
2022-02-08,14150,14550,14000,14150,99092,-0.007017543859649145
2022-02-09,14200,14350,14100,14200,40844,0.0035335689045936647
2022-02-10,14250,14350,14050,14050,50855,-0.010563380281690127
2022-02-11,13800,14900,13700,13700,314117,-0.02491103202846978
2022-02-14,13450,13550,13000,13100,106202,-0.04379562043795615
2022-02-15,13050,13300,12900,13100,55479,0.0
2022-02-16,13450,13700,13450,13650,43530,0.041984732824427384
2022-02-17,13750,14000,13300,13500,86196,-0.01098901098901095
2022-02-18,13300,13700,13250,13700,33248,0.014814814814814836
2022-02-21,13400,13800,13300,13800,35500,0.007299270072992803
2022-02-22,13450,14100,13450,13600,71119,-0.01449275362318836
2022-02-23,14000,14100,13700,13950,52731,0.025735294117646967
2022-02-24,13600,13950,13300,13300,62170,-0.04659498207885304
2022-02-25,13600,14000,13500,13700,53185,0.03007518796992481
2022-02-28,13600,13900,13500,13700,55473,0.0
2022-03-02,13550,13900,13450,13850,31477,0.010948905109489093
2022-03-03,14150,14150,13900,14050,38868,0.014440433212996373
2022-03-04,13900,14050,13700,13750,35759,-0.02135231316725983
2022-03-07,13600,13600,13200,13350,44009,-0.029090909090909056
2022-03-08,13150,13450,13050,13200,38631,-0.011235955056179803
2022-03-10,13450,13650,13400,13500,19566,0.022727272727272707
2022-03-11,13550,13550,13250,13400,23498,-0.007407407407407418
2022-03-14,13400,13450,12950,13100,46742,-0.02238805970149249
2022-03-15,13150,13150,12950,13050,23164,-0.003816793893129722
2022-03-16,13200,13400,13100,13350,35482,0.02298850574712641
2022-03-17,13500,13850,13500,13650,74942,0.022471910112359605
2022-03-18,13750,13900,13650,13750,61256,0.0073260073260073
2022-03-21,13850,13900,13450,13550,51825,-0.014545454545454528
2022-03-22,13550,13750,13400,13750,24375,0.014760147601476037
2022-03-23,13900,13900,13450,13500,45679,-0.018181818181818188
2022-03-24,13450,13600,13300,13600,24683,0.007407407407407307
2022-03-25,13650,13800,13500,13750,33527,0.011029411764705843
2022-03-28,13850,13900,13650,13900,51289,0.01090909090909098
2022-03-29,13950,13950,13600,13700,53269,-0.014388489208633115
2022-03-30,13800,13950,13650,13750,64072,0.0036496350364962904
2022-03-31,13700,14150,13650,13850,80305,0.0072727272727273196
2022-04-01,13850,14100,13750,13950,45171,0.0072202166064982976
2022-04-04,13950,14100,13700,14050,51746,0.007168458781362075
2022-04-05,13950,14050,13900,13900,29731,-0.010676156583629859
2022-04-06,13700,13900,13650,13750,35832,-0.010791366906474864
2022-04-07,13600,13750,13250,13300,51172,-0.032727272727272716
2022-04-08,13350,13700,13250,13500,37536,0.015037593984962516
