Date,Open,High,Low,Close,Volume,Change
2022-01-03,2675,2765,2675,2740,73745,0.024299065420560817
2022-01-04,2740,2770,2690,2725,140299,-0.005474452554744547
2022-01-05,2720,2770,2710,2735,118578,0.003669724770642091
2022-01-06,2710,2810,2710,2795,52420,0.021937842778793515
2022-01-07,2795,2815,2775,2815,45818,0.007155635062611854
2022-01-10,2815,2970,2800,2940,212187,0.04440497335701599
2022-01-11,2920,3065,2865,3040,197190,0.03401360544217691
2022-01-12,3040,3150,3000,3130,173915,0.02960526315789469
2022-01-13,3130,3260,3125,3225,188588,0.030351437699680517
2022-01-14,3225,3225,3050,3100,181286,-0.03875968992248058
2022-01-17,3115,3115,2970,3000,58991,-0.032258064516129004
2022-01-18,2990,3030,2910,2925,38280,-0.025000000000000022
2022-01-19,2885,2950,2880,2895,28671,-0.01025641025641022
2022-01-20,2895,3030,2885,2990,80406,0.032815198618307395
2022-01-21,3005,3005,2955,2970,50396,-0.006688963210702337
2022-01-24,2945,2965,2880,2890,62765,-0.026936026936026924
2022-01-25,3015,3400,2950,3095,681687,0.07093425605536341
2022-01-26,3055,3280,2990,3205,355474,0.035541195476575194
2022-01-27,3125,3185,2955,3000,149675,-0.06396255850234012
2022-01-28,2995,3375,2960,3320,482973,0.10666666666666669
2022-02-03,3260,3360,3240,3315,171930,-0.001506024096385561
2022-02-04,3290,3290,3235,3260,135378,-0.016591251885369585
2022-02-07,3265,3280,3180,3200,89215,-0.018404907975460127
2022-02-08,3220,3220,3165,3200,48716,0.0
2022-02-09,3195,3300,3165,3280,116429,0.02499999999999991
2022-02-10,3270,3400,3235,3385,129777,0.03201219512195119
2022-02-11,3380,3440,3310,3385,87476,0.0
2022-02-14,3250,3290,3210,3240,55480,-0.04283604135893648
2022-02-15,3215,3300,3215,3245,58168,0.0015432098765431057
2022-02-16,3245,3300,3245,3300,72839,0.016949152542372836
2022-02-17,3325,3400,3200,3355,110525,0.016666666666666607
2022-02-18,3320,3460,3290,3430,145400,0.02235469448584193
2022-02-21,3385,3490,3320,3410,60204,-0.005830903790087438
2022-02-22,3450,3450,3310,3350,62754,-0.017595307917888547
2022-02-23,3320,3540,3320,3525,209318,0.052238805970149294
2022-02-24,3525,3570,3400,3500,161796,-0.007092198581560294
2022-02-25,3450,3540,3440,3445,71271,-0.01571428571428568
2022-02-28,3450,3450,3340,3375,73873,-0.020319303338171224
2022-03-02,3375,3440,3375,3395,33057,0.00592592592592589
2022-03-03,3430,3515,3390,3475,59019,0.02356406480117812
2022-03-04,3475,3595,3445,3510,73061,0.010071942446043147
2022-03-07,3510,3510,3370,3390,97847,-0.03418803418803418
2022-03-08,3390,3390,3295,3320,67240,-0.020648967551622377
2022-03-10,3320,3400,3320,3360,20197,0.012048192771084265
2022-03-11,3370,3550,3325,3540,184128,0.0535714285714286
2022-03-14,3600,3605,3470,3540,66952,0.0
2022-03-15,3540,3540,3490,3530,56623,-0.0028248587570621764
2022-03-16,3545,3580,3495,3535,118281,0.0014164305949009304
2022-03-17,3540,3575,3520,3545,67110,0.0028288543140029265
2022-03-18,3545,3700,3530,3600,264360,0.015514809590973178
2022-03-21,3685,3900,3680,3790,719682,0.05277777777777781
2022-03-22,3800,3875,3750,3850,236173,0.0158311345646438
2022-03-23,4030,4700,3875,4355,3604521,0.13116883116883127
2022-03-24,4355,4370,4020,4090,850463,-0.06084959816303104
2022-03-25,4115,4115,3945,3995,303228,-0.023227383863080653
2022-03-28,3950,4070,3920,4000,297674,0.0012515644555695093
2022-03-29,4000,4130,3990,4040,146496,0.010000000000000009
2022-03-30,4040,4040,3730,3950,181517,-0.022277227722772297
2022-03-31,3930,4090,3910,4050,132493,0.025316455696202445
2022-04-01,3990,4080,3965,3970,105945,-0.01975308641975304
2022-04-04,3930,4135,3870,4095,176579,0.03148614609571787
2022-04-05,4095,4145,4035,4125,120311,0.0073260073260073
2022-04-06,4185,4240,4100,4115,146850,-0.00242424242424244
2022-04-07,4115,4155,4035,4040,67065,-0.018226002430133614
2022-04-08,4040,4065,3990,4040,38503,0.0
2022-04-11,4035,4100,4000,4070,36834,0.007425742574257432
2022-04-12,4010,4030,3925,4010,97291,-0.014742014742014753
2022-04-13,4170,4285,4000,4015,373565,0.0012468827930174342
2022-04-14,4055,4235,4015,4200,312257,0.04607721046077207
2022-04-15,4265,4265,4065,4185,183003,-0.0035714285714285587
2022-04-18,4160,4180,4035,4150,103511,-0.008363201911589013
2022-04-19,4115,4230,4060,4230,137499,0.01927710843373487
2022-04-20,4295,5400,4210,4865,7320409,0.1501182033096926
2022-04-21,5040,5060,4580,4680,1505827,-0.03802672147995889
2022-04-22,4680,4855,4595,4680,702352,0.0
2022-04-25,4605,4710,4440,4525,530657,-0.03311965811965811
2022-04-26,4515,5600,4440,5180,6897384,0.1447513812154697
2022-04-27,5060,5260,4855,5010,977849,-0.032818532818532864
2022-04-28,4930,6300,4930,5430,8328543,0.08383233532934131
2022-04-29,5420,5480,5110,5350,930116,-0.014732965009208066
2022-05-02,5320,5570,5290,5520,542642,0.031775700934579376
