Date,Open,High,Low,Close,Volume,Change
2022-01-03,93000,93000,87700,88200,1171948,0.03764705882352937
2022-01-04,87400,88300,84000,84400,683700,-0.04308390022675734
2022-01-05,83500,83500,78100,78600,1112827,-0.06872037914691942
2022-01-06,76100,78500,75300,75300,596757,-0.041984732824427495
2022-01-07,76500,78400,76400,77300,336252,0.026560424966799445
2022-01-10,79200,84400,78200,78800,1311379,0.019404915912031084
2022-01-11,80000,80900,76500,77600,442047,-0.015228426395939132
2022-01-12,78500,80900,78100,79700,467631,0.027061855670102997
2022-01-13,78900,79200,77100,77200,306085,-0.031367628607277265
2022-01-14,75900,78000,75500,77000,291744,-0.002590673575129543
2022-01-17,76900,79600,76200,76900,357773,-0.0012987012987012436
2022-01-18,76900,77500,72500,73800,446333,-0.04031209362808841
2022-01-19,72200,76400,72200,74700,345651,0.012195121951219523
2022-01-20,74400,76400,74400,75800,209403,0.014725568942436373
2022-01-21,75000,77900,74100,75800,243737,0.0
2022-01-24,75100,75300,70300,71300,465618,-0.05936675461741425
2022-01-25,71400,73100,69600,70000,448098,-0.018232819074333828
2022-01-26,70100,76800,70100,72900,923695,0.04142857142857137
2022-01-27,72700,74300,70500,71700,409804,-0.016460905349794275
2022-01-28,72300,73100,67500,70600,530201,-0.015341701534170138
2022-02-03,72000,74900,71300,74100,396457,0.049575070821529676
2022-02-04,75500,78100,75200,77800,587503,0.04993252361673406
2022-02-07,80800,81700,77500,79000,624164,0.015424164524421524
2022-02-08,79400,81000,76100,77200,508761,-0.02278481012658229
2022-02-09,78000,79400,77000,78800,304414,0.020725388601036343
2022-02-10,80300,80400,76600,76700,283547,-0.026649746192893398
2022-02-11,76700,78500,75200,77300,263480,0.007822685788787531
2022-02-14,75000,76300,71000,71100,470030,-0.08020698576972829
2022-02-15,71000,72800,69000,69900,393319,-0.016877637130801704
2022-02-16,71900,75200,71600,74500,453621,0.06580829756795414
2022-02-17,74800,79800,73700,76900,605781,0.03221476510067123
2022-02-18,75600,87300,75300,87200,2085026,0.13394018205461644
2022-02-21,85100,87800,84400,87200,978336,0.0
2022-02-22,85400,88100,82100,82600,858747,-0.05275229357798161
2022-02-23,83500,85300,82400,83500,476628,0.010895883777239712
2022-02-24,82500,86500,82300,83500,976870,0.0
2022-02-25,85900,87800,84700,85400,971095,0.022754491017964007
2022-02-28,93700,94800,88200,89200,2504770,0.04449648711943799
2022-03-02,88200,90100,86600,87800,881504,-0.015695067264574036
2022-03-03,91600,97100,88400,92600,2181414,0.0546697038724373
2022-03-04,92600,93200,89300,92300,1032699,-0.003239740820734305
2022-03-07,91500,93500,90600,90700,582494,-0.017334777898158182
2022-03-08,89400,91900,86400,89000,943889,-0.018743109151047377
2022-03-10,93500,95000,87000,89500,1592902,0.00561797752808979
2022-03-11,89600,96500,89000,95200,1965370,0.06368715083798882
2022-03-14,95400,95600,91600,92900,887145,-0.024159663865546244
2022-03-15,92300,93700,88500,88900,758042,-0.04305705059203446
2022-03-16,89800,90400,87700,88100,443970,-0.008998875140607376
2022-03-17,88900,89400,87100,88300,561998,0.002270147559591429
2022-03-18,88500,89200,86900,87000,485145,-0.014722536806342057
2022-03-21,87500,87600,82600,82700,792549,-0.04942528735632179
2022-03-22,83800,84500,82500,83000,509941,0.0036275695284160303
2022-03-23,83200,85900,82200,84900,880346,0.02289156626506017
2022-03-24,85100,90700,84100,88700,1404080,0.0447585394581862
2022-03-25,89000,89200,86300,86600,493230,-0.02367531003382184
2022-03-28,86400,88000,85700,85800,307369,-0.009237875288683584
2022-03-29,85700,86200,83300,83400,383978,-0.027972027972028024
2022-03-30,83500,84300,82300,82500,287862,-0.010791366906474864
2022-03-31,82100,84100,82100,84100,242898,0.019393939393939297
2022-04-01,85600,86300,82800,82800,356644,-0.015457788347205681
2022-04-04,83000,85700,82700,83800,345288,0.012077294685990392
2022-04-05,84400,84900,82700,83000,223912,-0.009546539379474916
2022-04-06,82700,84100,82000,82100,201363,-0.010843373493975905
2022-04-07,81800,81800,78900,79300,357459,-0.03410475030450666
2022-04-08,80300,81000,78500,80400,252027,0.013871374527112179
2022-04-11,80100,80200,79000,79300,168185,-0.013681592039801016
2022-04-12,78600,80200,78300,78500,168523,-0.010088272383354302
2022-04-13,78900,79200,77700,78500,143312,0.0
2022-04-14,78600,80500,78300,78400,182967,-0.001273885350318471
2022-04-15,78400,78400,76800,76800,195243,-0.020408163265306145
2022-04-18,76400,78400,75900,76500,228190,-0.00390625
2022-04-19,76700,76900,74700,74900,312081,-0.0209150326797386
2022-04-20,75000,75800,73400,74800,231665,-0.001335113484646211
2022-04-21,76200,79100,76100,78800,673285,0.053475935828877
2022-04-22,77700,77800,75200,75200,288420,-0.045685279187817285
2022-04-25,73100,73700,71100,71700,392577,-0.046542553191489366
2022-04-26,72000,73200,71400,72100,156610,0.00557880055788007
2022-04-27,69500,74100,69500,73100,213812,0.01386962552011095
2022-04-28,73100,73900,72000,73900,120904,0.010943912448700521
2022-04-29,74500,75700,73500,73600,186063,-0.004059539918809252
2022-05-02,72200,73700,72100,73500,110096,-0.0013586956521739468
2022-05-03,73900,77000,73800,75800,344340,0.0312925170068028
2022-05-04,77800,84300,76600,83000,1673352,0.0949868073878628
2022-05-06,81800,86900,81100,85000,877349,0.024096385542168752
2022-05-09,85100,86300,83800,85100,505844,0.0011764705882353343
2022-05-10,84000,84700,80200,80500,549430,-0.05405405405405406
2022-05-11,79000,80200,76200,76200,490998,-0.05341614906832293
2022-05-12,76900,77800,72000,72000,467139,-0.055118110236220486
2022-05-13,72000,74900,71200,73300,262134,0.01805555555555549
2022-05-16,73900,76600,73600,75900,244467,0.03547066848567537
2022-05-17,75700,78400,75600,76400,223431,0.006587615283267567
2022-05-18,76500,76600,73000,74800,331794,-0.020942408376963373
2022-05-19,72600,74600,72500,74000,157867,-0.010695187165775444
2022-05-20,78300,80500,76900,78800,638203,0.06486486486486487
2022-05-23,80300,80400,74800,75200,486678,-0.045685279187817285
2022-05-24,75500,76200,73300,73400,219716,-0.02393617021276595
2022-05-25,73500,74100,72200,73000,153369,-0.00544959128065392
2022-05-26,73000,74300,72800,72900,154364,-0.00136986301369868
2022-05-27,73900,73900,72900,73200,130294,0.004115226337448652
2022-05-30,73900,74300,72800,73200,142039,0.0
2022-05-31,73500,75000,73200,74000,202119,0.010928961748633892
