Date,Open,High,Low,Close,Volume,Change
2024-05-23,16193,28991,16115,28365,65514249,
2024-05-24,25335,35416,25073,27529,27824187,-0.029472942005993263
2024-05-27,28364,29409,23062,23141,12569334,-0.15939554651458465
2024-05-28,22565,26379,22043,22801,12136968,-0.014692537055442711
2024-05-29,22826,23871,19562,19745,3626905,-0.13402920924520856
2024-05-30,19406,21417,18361,18518,4806178,-0.062142314510002516
2024-05-31,18987,22200,18386,19536,10744503,0.05497353925909931
2024-06-03,19666,21129,19327,19536,2845968,0.0
2024-06-04,19693,19954,17656,17656,1338571,-0.09623259623259628
2024-06-05,17655,18177,15696,15984,1457839,-0.09469868599909381
2024-06-07,15723,15906,14652,14783,901077,-0.07513763763763759
2024-06-10,14886,16062,14677,14913,1255784,0.008793884867753565
2024-06-11,14861,15174,13764,13895,1966033,-0.0682625896868504
2024-06-12,14104,14260,13816,14052,576247,0.011299028427491864
2024-06-13,13868,14234,13294,13477,689317,-0.040919442072302914
2024-06-14,13503,13503,12484,12589,771470,-0.06589003487423017
2024-06-17,12484,12484,11649,11649,634483,-0.07466836126777343
2024-06-18,11778,15122,11622,15122,9245064,0.2981371791570091
2024-06-19,14364,18674,14260,16820,15109295,0.11228673455892069
2024-06-20,16506,18883,15670,15723,5353330,-0.06521997621878717
2024-06-21,16585,18230,15880,16507,5019330,0.04986325764803157
2024-06-24,16271,16898,15174,15671,2848491,-0.050645180832374126
2024-06-25,15644,16088,14861,15253,1156182,-0.026673473294620664
2024-06-26,14887,15018,14103,14130,816048,-0.07362486068314433
2024-06-27,13633,13790,13059,13425,768945,-0.04989384288747345
2024-06-28,13319,14599,12745,12876,1906011,-0.0408938547486033
2024-07-01,13006,13215,12693,12693,318632,-0.014212488350419439
2024-07-02,12562,13790,12014,12197,1692391,-0.03907665642480107
2024-07-03,12275,13189,12170,12275,764894,0.006395015167664164
2024-07-04,12432,12771,12014,12171,504191,-0.008472505091649651
2024-07-05,12144,12275,11936,11936,401765,-0.019308191602990687
2024-07-08,11857,12536,11805,12249,439416,0.026223190348525494
2024-07-09,12275,12510,11700,11805,492039,-0.03624785696791577
2024-07-10,11883,11988,11387,11727,1171237,-0.006607369758576898
2024-07-11,11883,12405,11804,12066,513946,0.028907649015093462
2024-07-12,11961,11961,11569,11622,338648,-0.03679761312779717
2024-07-15,11648,11674,10969,11100,438512,-0.04491481672689723
2024-07-16,11047,11335,10969,11074,254694,-0.0023423423423423184
2024-07-17,10995,12118,10603,10656,3142567,-0.0377460718800795
2024-07-18,10447,10499,10013,10165,561865,-0.04607732732732728
2024-07-19,10034,10211,9872,9982,293038,-0.018002951303492387
2024-07-22,9819,10081,9564,9564,347100,-0.04187537567621724
2024-07-23,9585,9679,9459,9512,339473,-0.005437055625261422
2024-07-24,9512,9763,9455,9455,338558,-0.005992430613961264
2024-07-25,9193,9324,8932,9037,374540,-0.04420941300898995
