Date,Open,High,Low,Close,Volume,Change
2022-01-03,15856,16336,15816,16057,155235,0.01395554432937618
2022-01-04,16076,16216,15015,15616,414700,-0.027464657158871475
2022-01-05,15295,15475,14795,14915,150927,-0.044889856557377095
2022-01-06,14915,15075,14034,14495,228422,-0.028159570901776787
2022-01-07,14695,18539,14474,15516,1813119,0.07043808209727498
2022-01-10,15135,15155,13854,14415,555589,-0.07095901005413763
2022-01-11,14214,14394,13814,13974,205915,-0.030593132154006275
2022-01-12,13974,14955,13914,14515,248661,0.038714755975382875
2022-01-13,14514,14755,14374,14675,72790,0.011023079572855643
2022-01-14,14935,15095,14494,14675,94969,0.0
2022-01-17,14675,15015,14234,14535,81893,-0.00954003407155024
2022-01-18,14394,14514,13774,14355,148804,-0.012383900928792602
2022-01-19,13914,14655,13914,14455,97494,0.006966213862765525
2022-01-20,14514,14975,14274,14875,157428,0.029055690072639306
2022-01-21,14815,14815,14374,14535,68227,-0.02285714285714291
2022-01-24,14494,14494,13674,14095,117689,-0.030271757825937384
2022-01-25,14094,14154,13493,14095,92375,0.0
2022-01-26,13974,14354,13794,14095,63812,0.0
2022-01-27,13894,14474,13273,14435,153482,0.024122029088329278
2022-01-28,14575,15656,13934,15216,565172,0.054104606858330406
2022-02-03,15295,15996,15215,15676,290480,0.03023133543638279
2022-02-04,15656,16997,15616,16817,498858,0.07278642510844602
2022-02-07,16697,17017,16296,16777,155539,-0.002378545519414854
2022-02-08,16697,17117,15736,16417,213822,-0.02145794838171311
2022-02-09,16617,16617,15976,16157,84350,-0.01583724188341351
2022-02-10,16356,16356,15696,15836,97125,-0.019867549668874163
2022-02-11,15636,16036,15135,15936,180706,0.006314725940894217
2022-02-14,15495,16416,15215,16077,175109,0.008847891566265087
2022-02-15,15996,16196,15616,15736,84912,-0.02121042483050317
2022-02-16,15816,16156,15796,16117,53085,0.024211997966446352
2022-02-17,16176,16256,15415,16037,121560,-0.004963702922380131
2022-02-18,15656,16036,15636,15856,49814,-0.011286400199538527
2022-02-21,15616,15856,15475,15776,49524,-0.005045408678102881
2022-02-22,15455,16016,15095,15176,80315,-0.038032454361054735
2022-02-23,15175,15395,15015,15356,58442,0.011860832894043272
2022-02-24,15135,15355,14354,14815,109452,-0.035230528783537385
2022-02-25,15015,15716,14975,15436,93299,0.041916976037799536
2022-02-28,15135,15776,15135,15436,60390,0.0
2022-03-02,15375,15696,15275,15416,52431,-0.001295672454003638
2022-03-03,15576,15576,15375,15436,33068,0.0012973533990658925
2022-03-04,15315,15616,15095,15436,54154,0.0
2022-03-07,15255,15495,14695,14695,55533,-0.0480046644208344
2022-03-08,14334,14835,14214,14375,50543,-0.02177611432460025
2022-03-10,14514,15095,14514,14675,33675,0.02086956521739136
2022-03-11,14575,14775,14294,14735,48867,0.00408858603066431
2022-03-14,14755,14775,14114,14375,60158,-0.02443162538174415
2022-03-15,14194,14855,14194,14815,14353,0.030608695652173834
2022-03-16,15135,15135,14454,14855,16173,0.0026999662504219035
2022-03-17,15175,15676,14955,15576,157850,0.048535846516324366
2022-03-18,15696,15756,15415,15536,43021,-0.002568053415511029
2022-03-21,15495,16416,15275,15576,188153,0.002574665293511913
2022-03-22,15576,15836,15335,15576,154056,0.0
2022-03-23,15596,15796,15375,15696,65932,0.007704160246533087
2022-03-24,15676,15836,15495,15596,49841,-0.006371049949031593
2022-03-25,15776,16076,15636,15776,80782,0.011541420877148045
2022-03-28,15776,16156,15596,15776,92884,0.0
2022-03-29,15976,16316,15656,16277,127069,0.03175709939148064
2022-03-30,16216,16316,15796,16057,130865,-0.013516004177674068
2022-03-31,16036,16176,15856,16017,72028,-0.0024911253658840282
2022-04-01,15836,16296,15836,16237,48812,0.013735406130985783
2022-04-04,16416,18218,16316,17018,1275928,0.04810001847631962
2022-04-05,17217,17638,17057,17378,301189,0.021154072158890536
2022-04-06,17297,17638,17297,17618,149788,0.013810565082287951
2022-04-07,17618,19019,17377,18940,330459,0.07503689408559433
2022-04-08,19319,19640,18659,19620,240097,0.035902851108764455
2022-04-11,19760,20821,19299,19820,203560,0.010193679918450549
2022-04-12,19460,20260,19440,19941,100257,0.006104944500504583
2022-04-13,20220,20220,19520,19860,129082,-0.004061982849405732
2022-04-14,19720,19840,18999,19180,270813,-0.03423967774420944
2022-04-15,19039,19219,18579,18839,181900,-0.017778936392075062
2022-04-18,18659,19660,18659,19400,241706,0.029778650671479445
2022-04-19,21150,22000,19100,19700,263373,0.015463917525773141
2022-04-20,19700,19750,18900,19000,77998,-0.035532994923857864
2022-04-21,19000,19350,18600,19150,63378,0.007894736842105177
2022-04-22,18750,24400,18400,20150,422594,0.052219321148825104
2022-04-25,19950,20550,19500,19600,96816,-0.027295285359801524
2022-04-26,19750,20100,19450,19850,48127,0.012755102040816313
2022-04-27,19400,20300,19100,20150,36180,0.015113350125944613
2022-04-28,20150,20350,19800,20150,18742,0.0
2022-04-29,20300,20300,19850,20100,21869,-0.002481389578163795
2022-05-02,19950,20100,19900,20000,14274,-0.00497512437810943
2022-05-03,20000,20200,19800,20000,15363,0.0
2022-05-04,20000,21500,19800,20950,56946,0.0475000000000001
2022-05-06,20350,20950,19900,20950,26933,0.0
2022-05-09,20100,20150,18000,19300,199075,-0.07875894988066823
2022-05-10,18400,19000,17650,18650,74760,-0.033678756476683946
2022-05-11,17750,18850,17550,18400,179115,-0.013404825737265424
2022-05-12,18050,18050,16100,16100,304144,-0.125
2022-05-13,15950,17700,15600,16700,154336,0.037267080745341685
2022-05-16,17800,18400,17400,17850,106433,0.06886227544910173
