Date,Open,High,Low,Close,Volume,Change
2022-01-03,3445,3500,3420,3500,15698,0.0159651669085632
2022-01-04,3490,3530,3465,3530,20939,0.008571428571428674
2022-01-05,3485,3530,3460,3465,44558,-0.018413597733711096
2022-01-06,3465,3465,3385,3400,23509,-0.018759018759018753
2022-01-07,3385,3470,3380,3455,23231,0.016176470588235237
2022-01-10,3465,3465,3330,3380,28731,-0.02170767004341534
2022-01-11,3380,3380,3295,3350,25102,-0.00887573964497046
2022-01-12,3345,3365,3290,3355,23938,0.0014925373134329067
2022-01-13,3375,3405,3355,3380,18552,0.007451564828613977
2022-01-14,3380,3385,3290,3310,45630,-0.020710059171597628
2022-01-17,3310,3330,3260,3285,20379,-0.007552870090634434
2022-01-18,3250,3290,3200,3200,30009,-0.025875190258751957
2022-01-19,3150,3230,3150,3165,16341,-0.010937500000000044
2022-01-20,3130,3300,3125,3260,28935,0.03001579778830954
2022-01-21,3260,3320,3100,3155,83075,-0.03220858895705525
2022-01-24,3100,3130,3045,3085,30492,-0.022187004754358197
2022-01-25,3030,3070,2880,2910,58589,-0.05672609400324147
2022-01-26,2870,2955,2860,2860,39516,-0.01718213058419249
2022-01-27,2860,2995,2835,2920,39688,0.020979020979021046
2022-01-28,2920,3040,2875,2930,19905,0.003424657534246478
2022-02-03,2960,3075,2960,3060,19333,0.04436860068259385
2022-02-04,3090,3125,3060,3120,23276,0.019607843137254832
2022-02-07,3150,3250,3140,3185,14116,0.02083333333333326
2022-02-08,3195,3235,3150,3190,17036,0.0015698587127157548
2022-02-09,3155,3260,3140,3140,21022,-0.01567398119122254
2022-02-10,3165,3210,3150,3155,11803,0.004777070063694211
2022-02-11,3130,3155,3040,3065,18011,-0.02852614896988903
2022-02-14,3020,3020,2910,2970,13342,-0.030995106035889064
2022-02-15,2915,3100,2875,2940,35645,-0.010101010101010055
2022-02-16,2940,3070,2940,3050,23232,0.03741496598639449
2022-02-17,3080,3175,3055,3155,71039,0.03442622950819674
2022-02-18,3155,3155,3090,3140,22236,-0.004754358161648153
2022-02-21,3145,3150,3060,3140,13134,0.0
2022-02-22,3140,3145,2980,3060,16770,-0.02547770700636942
2022-02-23,3010,3030,2975,2990,16701,-0.022875816993464082
2022-02-24,2990,3000,2895,2925,30289,-0.021739130434782594
2022-02-25,2925,2965,2890,2920,20540,-0.0017094017094017033
2022-02-28,2925,2960,2925,2945,9914,0.008561643835616417
2022-03-02,2950,3000,2950,2980,18223,0.011884550084889645
2022-03-03,2990,3060,2985,3005,26758,0.008389261744966348
2022-03-04,3005,3045,2960,3030,41855,0.008319467554076532
2022-03-07,3030,3035,2915,2970,23543,-0.01980198019801982
2022-03-08,2870,2925,2865,2890,34310,-0.026936026936026924
2022-03-10,2875,2950,2850,2910,20673,0.006920415224913601
2022-03-11,2925,2945,2895,2930,18092,0.0068728522336769515
2022-03-14,2930,2985,2900,2925,21976,-0.0017064846416382506
2022-03-15,2895,2940,2895,2940,10581,0.00512820512820511
2022-03-16,3000,3080,2970,2975,11803,0.011904761904761862
2022-03-17,3005,3020,2980,2985,14411,0.003361344537815114
2022-03-18,3020,3085,2995,3055,22338,0.02345058626465657
2022-03-21,3055,3090,3055,3060,20672,0.0016366612111293755
