Date,Open,High,Low,Close,Volume,Change
2025-07-28,21300,21850,16630,16660,11732705,
2025-07-29,16260,16600,15710,16200,1667790,-0.027611044417767072
2025-07-30,16110,16300,15470,15490,730967,-0.04382716049382718
2025-07-31,15370,15470,14330,14330,874250,-0.07488702388637836
2025-08-01,14270,15320,14230,14350,1178900,0.0013956734124214165
2025-08-04,14330,15150,14030,14620,661878,0.01881533101045285
2025-08-05,14730,15550,14440,14780,769297,0.010943912448700521
2025-08-06,14680,15310,14670,15080,421080,0.020297699594046037
2025-08-07,15800,16300,15130,15290,1590401,0.01392572944297088
2025-08-08,16140,16700,15570,16280,1811947,0.06474820143884896
2025-08-11,16630,16930,15140,15140,1455642,-0.07002457002457008
2025-08-12,15160,15780,14610,15000,704884,-0.009247027741083214
2025-08-13,14880,15150,14665,15010,238483,0.0006666666666665932
2025-08-14,15010,15280,14770,14820,253088,-0.012658227848101222
2025-08-18,14790,15050,14520,14830,161481,0.0006747638326585204
2025-08-19,14990,15280,14780,14880,236868,0.003371544167228624
2025-08-20,14890,15360,14600,14710,182060,-0.011424731182795744
2025-08-21,14660,14810,14050,14310,186647,-0.027192386131883017
2025-08-22,14300,14520,14190,14330,132532,0.0013976240391335715
2025-08-25,14480,14480,14110,14200,352110,-0.009071877180739651
2025-08-26,14200,14200,12950,13020,519890,-0.08309859154929577
2025-08-27,13060,13110,12640,12860,151327,-0.01228878648233489
2025-08-28,12860,13080,12250,12250,366030,-0.04743390357698285
2025-08-29,12250,12620,12090,12440,231541,0.015510204081632617
2025-09-01,12400,12400,11840,11870,152997,-0.04581993569131837
2025-09-02,11950,11970,11360,11770,360765,-0.008424599831508006
2025-09-03,11840,12240,11630,11850,225608,0.00679694137638065
2025-09-04,11930,12590,11880,12530,292663,0.05738396624472575
