Date,Open,High,Low,Close,Volume,Change
2022-01-03,3855,3915,3715,3725,410637,-0.007989347536617841
2022-01-04,3820,3820,3725,3770,225403,0.012080536912751683
2022-01-05,3780,3865,3670,3825,405887,0.01458885941644561
2022-01-06,3825,4185,3725,3975,1784538,0.03921568627450989
2022-01-07,3970,3985,3800,3855,323193,-0.030188679245283012
2022-01-10,3830,3850,3465,3560,438391,-0.0765239948119325
2022-01-11,3610,3660,3445,3515,284892,-0.012640449438202195
2022-01-12,3475,3540,3430,3460,210929,-0.015647226173541973
2022-01-13,3420,3555,3420,3490,164273,0.00867052023121384
2022-01-14,3450,3555,3440,3460,112599,-0.008595988538681931
2022-01-17,3460,3460,3250,3270,267975,-0.054913294797687806
2022-01-18,3270,3315,3060,3095,237447,-0.05351681957186549
2022-01-19,2990,3140,2910,2980,270869,-0.037156704361874016
2022-01-20,2985,3035,2870,2965,229875,-0.005033557046979831
2022-01-21,2950,3000,2870,2885,183253,-0.026981450252951067
2022-01-24,2815,2820,2550,2580,745449,-0.10571923743500866
2022-01-25,2595,2640,2310,2415,554099,-0.06395348837209303
2022-01-26,2415,2520,2320,2430,285972,0.006211180124223503
2022-01-27,2400,2470,2210,2335,374282,-0.039094650205761305
2022-01-28,2310,2535,2310,2495,329472,0.0685224839400429
2022-02-03,2480,2635,2470,2610,300531,0.04609218436873741
2022-02-04,2545,2690,2530,2595,227491,-0.005747126436781658
2022-02-07,2600,2610,2540,2570,140778,-0.009633911368015391
2022-02-08,2570,2690,2550,2565,216713,-0.0019455252918287869
2022-02-09,2580,2645,2580,2625,134589,0.023391812865497075
2022-02-10,2640,2665,2605,2630,170332,0.0019047619047618536
2022-02-11,2610,2610,2400,2535,210468,-0.03612167300380231
2022-02-14,2485,2485,2260,2300,477663,-0.09270216962524658
2022-02-15,2305,2375,2170,2235,302798,-0.02826086956521734
2022-02-16,2270,2360,2260,2360,201175,0.055928411633109576
2022-02-17,2410,2425,2270,2320,328544,-0.016949152542372836
2022-02-18,2270,2740,2190,2440,3094674,0.051724137931034475
2022-02-21,2440,2600,2435,2440,863816,0.0
2022-02-22,2390,2420,2295,2320,338550,-0.049180327868852514
2022-02-23,2325,2395,2320,2345,179002,0.010775862068965525
2022-02-24,2340,2380,2240,2240,333224,-0.04477611940298509
2022-02-25,2270,2330,2270,2315,201169,0.033482142857142794
2022-02-28,2340,2525,2325,2355,553749,0.017278617710583255
2022-03-02,2355,2390,2280,2375,304042,0.00849256900212314
2022-03-03,2235,2310,2100,2265,1251361,-0.0463157894736842
2022-03-04,2240,2295,2130,2145,853951,-0.052980132450331174
2022-03-07,2165,2240,2135,2190,1001170,0.020979020979021046
2022-03-08,2180,2185,2010,2020,1191484,-0.07762557077625576
2022-03-10,1730,1925,1620,1885,1732079,-0.06683168316831678
2022-03-11,1860,1920,1805,1845,408890,-0.021220159151193685
2022-03-14,1865,1865,1765,1810,322587,-0.01897018970189701
2022-03-15,1790,1795,1725,1785,313220,-0.013812154696132617
2022-03-16,1785,1910,1760,1910,413777,0.07002801120448177
2022-03-17,1955,1965,1890,1955,351159,0.023560209424083878
2022-03-18,1955,2060,1900,1925,598515,-0.01534526854219953
2022-03-21,1950,1950,1920,1945,118232,0.010389610389610393
2022-03-22,1955,1955,1895,1945,137403,0.0
2022-03-23,1950,2025,1920,2020,353278,0.03856041131105403
2022-03-24,2020,2135,1980,2060,414164,0.01980198019801982
2022-03-25,2060,2155,2030,2100,460138,0.01941747572815533
2022-03-28,2090,2120,2040,2040,163673,-0.02857142857142858
2022-03-29,2080,2110,2035,2070,207402,0.014705882352941124
2022-03-30,2100,2100,2030,2055,135868,-0.007246376811594235
2022-03-31,2050,2160,2045,2150,227386,0.04622871046228716
2022-04-01,2140,2180,2095,2145,167797,-0.0023255813953488857
2022-04-04,2180,2340,2140,2285,699401,0.06526806526806528
2022-04-05,2340,2355,2145,2280,306691,-0.002188183807439792
2022-04-06,2260,2315,2190,2200,206177,-0.03508771929824561
2022-04-07,2230,2230,2085,2120,184607,-0.036363636363636376
2022-04-08,2100,2170,2090,2110,81776,-0.004716981132075526
2022-04-11,2110,2140,2060,2075,60069,-0.016587677725118488
2022-04-12,2025,2070,2000,2025,117407,-0.02409638554216864
2022-04-13,2005,2075,2005,2065,79994,0.01975308641975304
2022-04-14,2080,2125,2040,2075,81033,0.004842615012106588
2022-04-15,2020,2160,2000,2130,230122,0.026506024096385472
2022-04-18,2130,2185,2120,2140,107397,0.0046948356807512415
2022-04-19,2120,2150,2085,2140,90270,0.0
2022-04-20,2150,2155,2100,2115,110194,-0.011682242990654235
2022-04-21,2100,2130,2070,2085,177507,-0.014184397163120588
2022-04-22,2090,2115,2010,2020,143769,-0.031175059952038398
2022-04-25,2015,2015,1935,1955,123694,-0.03217821782178221
2022-04-26,1955,1985,1910,1940,67836,-0.007672634271099765
2022-04-27,1930,1930,1845,1920,107585,-0.010309278350515427
2022-04-28,1900,1950,1850,1880,144249,-0.02083333333333337
2022-04-29,1915,2020,1900,1995,188006,0.061170212765957466
2022-05-02,1995,2040,1965,2000,148589,0.0025062656641603454
2022-05-03,2005,2090,2000,2050,150978,0.02499999999999991
2022-05-04,2090,2120,1970,1975,168123,-0.03658536585365857
2022-05-06,1960,2430,1945,2120,3532374,0.07341772151898729
2022-05-09,2135,2400,2115,2380,4529489,0.12264150943396235
2022-05-10,2240,2320,2190,2320,900774,-0.025210084033613467
2022-05-11,2315,2315,2150,2175,668667,-0.0625
2022-05-12,2135,2275,2095,2110,557799,-0.029885057471264354
2022-05-13,2120,2150,2010,2070,271409,-0.018957345971563955
2022-05-16,2080,2110,2010,2065,194622,-0.0024154589371980784
2022-05-17,2065,2095,2010,2065,181879,0.0
2022-05-18,2060,2080,1985,2000,320993,-0.03147699757869249
2022-05-19,1925,1970,1895,1930,275918,-0.03500000000000003
2022-05-20,1935,1955,1915,1930,195162,0.0
2022-05-23,1930,1940,1850,1885,321685,-0.023316062176165775
2022-05-24,1895,1895,1800,1810,216028,-0.03978779840848812
2022-05-25,1820,1860,1810,1825,98554,0.008287292817679592
2022-05-26,1830,1880,1820,1830,122306,0.00273972602739736
2022-05-27,1830,1860,1815,1830,119472,0.0
2022-05-30,1860,1890,1830,1870,147432,0.021857923497267784
2022-05-31,1875,1970,1850,1950,295539,0.04278074866310155
2022-06-02,1945,1965,1890,1910,137040,-0.02051282051282055
2022-06-03,1905,1945,1905,1920,93396,0.005235602094240788
2022-06-07,1920,1950,1875,1925,130704,0.0026041666666667407
2022-06-08,1920,1940,1900,1930,65858,0.0025974025974024872
