Date,Open,High,Low,Close,Volume,Change
2022-01-03,693,699,681,687,455783,-0.0199714693295292
2022-01-04,690,696,687,694,282976,0.010189228529839944
2022-01-05,692,705,682,697,477784,0.004322766570605152
2022-01-06,697,709,685,693,525572,-0.0057388809182209455
2022-01-07,684,708,684,701,517331,0.011544011544011523
2022-01-10,701,706,691,705,365378,0.005706134094151105
2022-01-11,700,705,676,683,597540,-0.031205673758865293
2022-01-12,683,693,681,686,202090,0.004392386530014614
2022-01-13,693,693,679,679,221760,-0.010204081632653073
2022-01-14,677,697,672,692,334118,0.019145802650957222
2022-01-17,698,702,686,686,375707,-0.00867052023121384
2022-01-18,687,699,656,665,597576,-0.030612244897959218
2022-01-19,655,668,635,638,694639,-0.04060150375939853
2022-01-20,628,660,628,641,382113,0.004702194357366851
2022-01-21,641,651,635,636,146851,-0.007800312012480548
2022-01-24,635,635,611,615,362510,-0.03301886792452835
2022-01-25,620,621,583,591,584368,-0.039024390243902474
2022-01-26,582,608,582,591,283609,0.0
2022-01-27,584,594,560,565,591853,-0.04399323181049064
2022-01-28,561,585,550,584,356486,0.03362831858407089
2022-02-03,597,623,593,623,533293,0.06678082191780832
2022-02-04,623,628,606,622,317239,-0.0016051364365970988
2022-02-07,617,625,608,619,177196,-0.004823151125401881
2022-02-08,620,620,611,614,157759,-0.008077544426494332
2022-02-09,616,623,613,619,83315,0.008143322475570036
2022-02-10,620,626,616,623,147076,0.00646203554119551
2022-02-11,615,625,613,620,238641,-0.0048154093097912964
2022-02-14,614,614,597,598,274051,-0.03548387096774197
2022-02-15,598,650,592,592,270600,-0.010033444816053505
2022-02-16,593,622,593,619,159335,0.045608108108108114
2022-02-17,621,627,610,618,239401,-0.001615508885298822
2022-02-18,610,619,602,616,84754,-0.003236245954692518
2022-02-21,608,619,591,609,149294,-0.011363636363636354
2022-02-22,600,616,599,600,135635,-0.014778325123152691
2022-02-23,605,605,598,599,99942,-0.0016666666666667052
2022-02-24,595,600,571,574,234706,-0.04173622704507518
2022-02-25,578,594,578,591,210476,0.029616724738676048
2022-02-28,590,642,588,600,563916,0.015228426395939021
2022-03-02,600,615,600,606,126801,0.010000000000000009
2022-03-03,603,610,599,604,130379,-0.0033003300330033403
2022-03-04,607,607,593,598,134825,-0.009933774834437137
2022-03-07,595,595,585,591,125688,-0.01170568561872909
2022-03-08,580,587,572,578,172275,-0.021996615905245376
2022-03-10,579,588,578,583,146884,0.00865051903114189
2022-03-11,583,613,583,598,596902,0.02572898799313883
2022-03-14,599,610,596,603,198511,0.008361204013378032
2022-03-15,603,616,600,605,226325,0.0033167495854062867
2022-03-16,602,617,602,613,150044,0.013223140495867813
2022-03-17,615,623,612,617,315291,0.006525285481239873
2022-03-18,617,619,607,616,263491,-0.0016207455429497752
2022-03-21,615,618,611,618,85456,0.0032467532467532756
2022-03-22,617,621,614,617,154146,-0.0016181229773463146
2022-03-23,615,617,601,608,402992,-0.014586709886547866
2022-03-24,608,614,600,601,156292,-0.011513157894736836
2022-03-25,601,605,594,602,391217,0.0016638935108153063
2022-03-28,601,602,592,597,311800,-0.00830564784053156
2022-03-29,597,602,594,599,116800,0.003350083752093891
2022-03-30,599,606,593,605,162175,0.01001669449081799
2022-03-31,608,618,605,615,228412,0.016528925619834656
2022-04-01,610,620,607,616,191025,0.001626016260162677
2022-04-04,616,677,615,665,2360285,0.07954545454545459
2022-04-05,652,659,641,654,659916,-0.016541353383458635
2022-04-06,666,669,636,639,707270,-0.022935779816513735
2022-04-07,637,656,636,639,507563,0.0
2022-04-08,720,740,643,646,5896228,0.010954616588419341
2022-04-11,640,650,631,637,484365,-0.01393188854489169
2022-04-12,628,637,618,625,502168,-0.01883830455259028
2022-04-13,620,717,620,670,10800429,0.07200000000000006
2022-04-14,666,686,661,666,1424986,-0.005970149253731294
2022-04-15,663,670,646,651,788246,-0.022522522522522515
2022-04-18,648,660,644,658,293909,0.010752688172043001
2022-04-19,649,667,649,664,354707,0.00911854103343468
2022-04-20,665,682,661,667,371538,0.004518072289156683
2022-04-21,669,679,664,670,406487,0.004497751124437732
2022-04-22,669,674,658,671,276582,0.0014925373134329067
2022-04-25,671,671,652,655,298497,-0.023845007451564815
2022-04-26,655,665,653,653,153751,-0.003053435114503844
2022-04-27,645,653,635,636,394010,-0.026033690658499253
2022-04-28,634,639,617,624,304692,-0.018867924528301883
2022-04-29,621,628,621,628,149438,0.0064102564102563875
2022-05-02,624,624,608,616,471572,-0.019108280254777066
2022-05-03,616,625,611,613,248607,-0.004870129870129913
2022-05-04,613,638,610,610,406695,-0.004893964110929905
2022-05-06,605,611,603,606,213751,-0.006557377049180357
2022-05-09,601,605,591,594,297401,-0.01980198019801982
2022-05-10,592,593,572,591,230093,-0.005050505050505083
2022-05-11,588,602,581,585,502453,-0.010152284263959421
2022-05-12,586,586,571,572,215913,-0.022222222222222254
2022-05-13,572,586,565,582,201314,0.0174825174825175
2022-05-16,588,594,584,588,140393,0.010309278350515427
2022-05-17,584,596,584,590,114456,0.00340136054421758
2022-05-18,595,595,583,585,116239,-0.008474576271186418
2022-05-19,578,589,570,585,102846,0.0
2022-05-20,581,593,566,571,870777,-0.023931623931623958
2022-05-23,578,599,569,586,449234,0.02626970227670755
2022-05-24,586,586,574,576,247958,-0.017064846416382284
2022-05-25,566,583,566,575,291574,-0.0017361111111111605
2022-05-26,575,590,572,574,238327,-0.0017391304347825765
2022-05-27,601,619,580,607,941054,0.057491289198606355
2022-05-30,608,610,595,599,311221,-0.01317957166392092
2022-05-31,601,604,594,600,209995,0.0016694490818029983
2022-06-02,601,606,595,600,194560,0.0
2022-06-03,600,608,600,601,69694,0.0016666666666667052
2022-06-07,605,605,597,602,148505,0.0016638935108153063
2022-06-08,599,614,597,600,246653,-0.0033222591362126463
2022-06-09,598,599,593,597,72290,-0.0050000000000000044
2022-06-10,597,612,592,611,233599,0.02345058626465657
2022-06-13,608,608,574,580,259637,-0.0507364975450082
2022-06-14,561,754,560,615,31321724,0.06034482758620685
2022-06-15,627,659,595,602,8581496,-0.021138211382113803
2022-06-16,620,620,584,591,1240943,-0.01827242524916939
2022-06-17,580,598,568,576,810662,-0.025380710659898442
2022-06-20,579,584,542,546,813222,-0.05208333333333337
2022-06-21,547,554,535,548,412980,0.00366300366300365
2022-06-22,544,567,509,514,582790,-0.062043795620437936
2022-06-23,531,531,476,476,666231,-0.07392996108949412
2022-06-24,470,502,470,497,433988,0.044117647058823595
2022-06-27,497,520,497,515,347420,0.03621730382293764
2022-06-28,515,525,508,519,259526,0.007766990291262044
2022-06-29,504,526,504,520,163564,0.0019267822736031004
2022-06-30,527,547,505,525,426472,0.009615384615384581
2022-07-01,521,539,518,524,284577,-0.0019047619047618536
2022-07-04,523,530,490,507,232510,-0.03244274809160308
2022-07-05,514,524,507,519,65873,0.023668639053254337
2022-07-06,504,519,504,510,301848,-0.017341040462427793
2022-07-07,513,520,513,516,110082,0.0117647058823529
2022-07-08,523,524,513,518,181090,0.003875968992248069
2022-07-11,524,549,516,528,117621,0.019305019305019266
2022-07-12,528,528,507,513,155836,-0.02840909090909094
2022-07-13,516,525,511,519,113727,0.011695906432748648
2022-07-14,530,540,516,525,158759,0.011560693641618602
2022-07-15,525,540,513,517,207148,-0.015238095238095273
2022-07-18,518,537,518,528,93573,0.02127659574468077
2022-07-19,534,535,502,530,107917,0.0037878787878788955
2022-07-20,535,542,530,536,146081,0.01132075471698113
2022-07-21,536,545,523,536,87628,0.0
2022-07-22,536,548,533,535,113700,-0.001865671641791078
2022-07-25,537,540,533,538,49389,0.005607476635514086
2022-07-26,538,543,534,537,56252,-0.0018587360594795044
2022-07-27,539,543,531,538,60286,0.0018621973929235924
2022-07-28,545,545,531,537,79549,-0.0018587360594795044
2022-07-29,542,542,534,536,122241,-0.0018621973929237035
2022-08-01,543,550,534,544,156429,0.014925373134328401
2022-08-02,550,550,535,543,78319,-0.0018382352941176405
2022-08-03,536,549,536,544,137231,0.0018416206261511192
2022-08-04,551,551,541,541,154052,-0.005514705882352922
2022-08-05,541,546,529,540,276885,-0.001848428835489857
2022-08-08,549,549,537,541,54992,0.0018518518518517713
2022-08-09,536,542,534,540,132990,-0.001848428835489857
2022-08-10,538,538,519,526,288231,-0.025925925925925908
2022-08-11,527,537,527,528,66880,0.0038022813688212143
2022-08-12,534,535,526,526,55562,-0.0037878787878787845
2022-08-16,528,593,523,532,2906044,0.011406844106463865
2022-08-17,532,532,522,526,369360,-0.011278195488721776
2022-08-18,527,544,520,527,553423,0.0019011406844107182
2022-08-19,526,531,523,523,147253,-0.007590132827324458
2022-08-22,521,521,506,506,353210,-0.0325047801147228
2022-08-23,502,506,495,502,146122,-0.007905138339920903
2022-08-24,496,504,496,502,224984,0.0
2022-08-25,513,513,502,510,60848,0.015936254980079667
2022-08-26,514,519,505,513,78143,0.00588235294117645
2022-08-29,501,504,494,500,59717,-0.025341130604288553
2022-08-30,500,509,500,505,52412,0.010000000000000009
2022-08-31,505,513,503,507,17607,0.003960396039603964
2022-09-01,505,510,499,501,60407,-0.011834319526627168
2022-09-02,502,507,493,495,113910,-0.0119760479041916
2022-09-05,491,498,485,488,87988,-0.014141414141414121
2022-09-06,496,498,483,491,98906,0.006147540983606481
2022-09-07,492,493,471,475,209799,-0.03258655804480648
2022-09-08,479,494,470,470,128813,-0.010526315789473717
2022-09-13,470,487,469,478,188748,0.017021276595744705
2022-09-14,470,476,460,474,105712,-0.008368200836820106
2022-09-15,486,486,461,461,149597,-0.02742616033755274
2022-09-16,460,461,438,448,221166,-0.02819956616052066
2022-09-19,448,448,427,433,192899,-0.033482142857142905
2022-09-20,429,450,428,434,137830,0.002309468822170979
2022-09-21,434,434,420,430,102284,-0.009216589861751112
2022-09-22,427,427,415,422,141032,-0.018604651162790753
2022-09-23,422,422,404,410,245109,-0.028436018957345932
2022-09-26,406,409,378,383,355141,-0.06585365853658531
2022-09-27,386,400,374,383,241213,0.0
2022-09-28,383,390,358,369,177389,-0.036553524804177506
2022-09-29,370,389,369,370,254152,0.0027100271002709064
2022-09-30,357,375,357,370,149503,0.0
2022-10-04,380,449,374,394,8076247,0.06486486486486487
2022-10-05,453,498,394,394,4373445,0.0
2022-10-06,395,432,388,405,1077793,0.027918781725888353
2022-10-07,406,415,399,403,387130,-0.004938271604938316
2022-10-11,400,400,384,385,234023,-0.04466501240694787
2022-10-12,385,388,374,383,267946,-0.0051948051948051965
2022-10-13,378,379,350,358,491634,-0.06527415143603132
2022-10-14,358,390,358,381,448879,0.06424581005586583
2022-10-17,375,390,371,383,120432,0.005249343832020914
2022-10-18,391,395,379,391,420485,0.02088772845953013
2022-10-19,391,398,385,390,142825,-0.002557544757033292
2022-10-20,397,470,383,397,8601899,0.017948717948717885
2022-10-21,400,400,383,386,519039,-0.027707808564231717
2022-10-24,389,395,382,383,257231,-0.007772020725388629
2022-10-25,383,405,383,396,482536,0.03394255874673635
2022-10-26,406,467,394,404,7346655,0.02020202020202011
2022-10-27,402,415,402,406,584964,0.004950495049504955
2022-10-28,406,428,395,415,851192,0.022167487684729092
2022-10-31,419,419,405,410,228850,-0.012048192771084376
2022-11-01,414,420,408,409,354617,-0.0024390243902439046
2022-11-02,416,419,405,405,196340,-0.009779951100244544
2022-11-03,405,415,400,410,222165,0.012345679012345734
2022-11-04,408,415,406,410,195676,0.0
2022-11-07,416,416,407,407,107202,-0.007317073170731714
2022-11-08,412,413,405,412,96060,0.01228501228501222
2022-11-09,412,424,410,412,191926,0.0
2022-11-10,409,415,403,414,195193,0.004854368932038833
2022-11-11,420,421,411,411,259969,-0.007246376811594235
2022-11-14,411,417,408,410,150055,-0.0024330900243308973
2022-11-15,405,409,348,384,3206048,-0.06341463414634141
2022-11-16,382,387,374,381,483706,-0.0078125
2022-11-17,380,385,377,382,218513,0.002624671916010568
2022-11-18,382,404,379,380,311707,-0.005235602094240788
2022-11-21,380,387,377,377,83065,-0.007894736842105288
2022-11-22,372,379,372,379,148568,0.0053050397877985045
2022-11-23,375,382,370,373,249355,-0.0158311345646438
2022-11-24,379,385,376,378,190613,0.013404825737265424
2022-11-25,386,388,378,380,181360,0.005291005291005346
2022-11-28,381,384,374,375,183057,-0.013157894736842146
2022-11-29,372,383,372,377,236266,0.005333333333333412
2022-11-30,383,393,375,385,256342,0.021220159151193574
2022-12-01,386,391,381,384,351891,-0.0025974025974025983
2022-12-02,384,391,372,391,252185,0.01822916666666674
2022-12-05,391,393,378,384,266208,-0.01790281329923271
2022-12-06,379,389,378,386,122282,0.005208333333333259
2022-12-07,379,393,377,388,204246,0.005181347150259086
2022-12-08,390,391,378,383,108685,-0.012886597938144284
2022-12-09,390,390,381,386,111630,0.007832898172323688
2022-12-12,388,409,386,402,750638,0.041450777202072464
2022-12-13,401,404,395,398,269816,-0.00995024875621886
2022-12-14,398,454,397,413,4443565,0.03768844221105527
2022-12-15,413,413,400,403,728852,-0.02421307506053272
2022-12-16,400,400,380,392,217163,-0.027295285359801524
2022-12-19,386,403,386,396,253772,0.010204081632652962
2022-12-20,392,394,380,381,316788,-0.037878787878787845
2022-12-21,381,391,381,382,105161,0.002624671916010568
2022-12-22,384,390,379,383,328493,0.002617801047120505
2022-12-23,383,386,376,381,247596,-0.005221932114882533
2022-12-26,379,382,369,372,378075,-0.023622047244094446
2022-12-27,372,379,369,374,185265,0.005376344086021501
2022-12-28,378,378,368,375,131353,0.002673796791443861
2022-12-29,373,376,361,375,190814,0.0
2023-01-02,370,387,368,379,93477,0.010666666666666602
2023-01-03,371,378,337,374,252475,-0.01319261213720313
2023-01-04,376,378,365,371,141767,-0.008021390374331583
2023-01-05,372,375,367,371,160589,0.0
2023-01-06,367,375,365,367,165707,-0.010781671159029615
2023-01-09,365,373,365,372,174388,0.013623978201634968
2023-01-10,292,310,280,287,10116929,-0.228494623655914
2023-01-11,291,292,281,287,2369925,0.0
2023-01-12,288,292,285,291,1395739,0.013937282229965264
2023-01-13,294,298,291,296,1103691,0.01718213058419238
2023-01-16,298,300,296,299,813517,0.010135135135135087
2023-01-17,299,299,289,291,863868,-0.026755852842809347
2023-01-18,290,299,288,299,566076,0.027491408934707806
2023-01-19,297,297,286,289,796795,-0.03344481605351168
2023-01-20,289,313,287,294,4003334,0.01730103806228378
2023-01-25,294,297,288,290,703719,-0.013605442176870763
2023-01-26,290,294,289,290,440789,0.0
2023-01-27,290,295,290,292,488955,0.006896551724137945
2023-01-30,293,295,287,288,1078045,-0.013698630136986356
