Date,Open,High,Low,Close,Volume,Change
2022-01-03,3320,3355,3285,3345,492041,0.006015037593984918
2022-01-04,3345,3350,3235,3335,127660,-0.002989536621823663
2022-01-05,3335,3335,3245,3280,123223,-0.016491754122938573
2022-01-06,3230,3280,3205,3215,81187,-0.01981707317073167
2022-01-07,3215,3240,3180,3195,182843,-0.0062208398133748455
2022-01-10,3180,3200,3080,3115,155810,-0.025039123630672955
2022-01-11,3125,3125,3025,3045,142344,-0.022471910112359605
2022-01-12,3065,3140,3065,3125,107129,0.026272577996715896
2022-01-13,3160,3160,3100,3120,46090,-0.0016000000000000458
2022-01-14,3090,3120,3065,3115,81635,-0.0016025641025640969
2022-01-17,3115,3135,3065,3100,47076,-0.0048154093097912964
2022-01-18,3065,3120,3015,3020,120491,-0.02580645161290318
2022-01-19,3005,3040,2975,3015,145018,-0.0016556291390728006
2022-01-20,2985,3070,2970,3055,117863,0.013266998341625147
2022-01-21,3070,3070,2990,3025,136861,-0.009819967266775809
2022-01-24,3020,3025,2945,2990,114007,-0.011570247933884281
2022-01-25,2980,2990,2900,2945,167282,-0.015050167224080258
2022-01-26,2905,2995,2905,2945,43017,0.0
2022-01-27,2920,2970,2885,2905,98749,-0.01358234295415961
2022-01-28,2870,3015,2830,3010,77292,0.03614457831325302
2022-02-03,3015,3055,2990,3015,39627,0.0016611295681063787
2022-02-04,3015,3040,2985,3030,50822,0.004975124378109541
2022-02-07,3005,3045,2965,3015,55886,-0.004950495049504955
2022-02-08,3015,3045,2995,3005,44395,-0.0033167495854062867
2022-02-09,3055,3055,2990,2995,31081,-0.0033277870216306127
2022-02-10,3010,3030,2960,2985,115740,-0.0033388981636059967
2022-02-11,2960,3030,2955,2995,50835,0.003350083752093891
2022-02-14,2995,3010,2760,2885,81938,-0.036727879799666074
2022-02-15,2955,3000,2870,2875,56580,-0.0034662045060658286
2022-02-16,2890,3040,2890,2970,27253,0.03304347826086951
2022-02-17,2955,3000,2945,2985,46025,0.005050505050504972
2022-02-18,2940,3015,2940,3005,32074,0.00670016750418756
2022-02-21,2990,3015,2960,2995,39274,-0.0033277870216306127
2022-02-22,2970,2995,2935,2995,37389,0.0
2022-02-23,3000,3005,2960,2990,29210,-0.0016694490818029983
2022-02-24,2955,2980,2905,2915,39276,-0.025083612040133763
