Date,Open,High,Low,Close,Volume,Change
2022-01-03,22300,22350,21350,21900,339889,-0.011286681715575675
2022-01-04,22150,22150,20400,20500,670975,-0.0639269406392694
2022-01-05,20500,20600,19800,19800,342815,-0.034146341463414664
2022-01-06,19200,19800,18700,18750,540383,-0.05303030303030298
2022-01-07,19000,20000,18750,19700,288348,0.05066666666666664
2022-01-10,19900,20300,19650,19950,331432,0.012690355329949332
2022-01-11,19950,20400,19750,20300,213773,0.01754385964912286
2022-01-12,20450,21150,20400,20850,298581,0.027093596059113212
2022-01-13,20950,21100,20550,21000,234008,0.007194244604316502
2022-01-14,20600,21200,20350,21100,231761,0.004761904761904745
2022-01-17,21300,21300,20650,20800,152349,-0.014218009478673022
2022-01-18,20900,20900,19950,20100,189299,-0.033653846153846145
2022-01-19,19350,20500,19350,19950,208342,-0.007462686567164201
2022-01-20,19950,20800,19850,20650,148730,0.03508771929824572
2022-01-21,20300,20450,19600,19800,219633,-0.041162227602905554
2022-01-24,19500,19700,19000,19250,195269,-0.02777777777777779
2022-01-25,19450,19850,18950,19200,208463,-0.0025974025974025983
2022-01-26,19050,19300,18650,18650,110597,-0.02864583333333337
2022-01-27,18900,19300,18400,18700,200049,0.002680965147453085
2022-01-28,18750,19150,18000,19150,189234,0.02406417112299475
2022-02-03,19600,19650,19100,19100,151853,-0.0026109660574412663
2022-02-04,18900,19450,18900,19250,86256,0.007853403141361293
2022-02-07,19350,19350,18650,18800,100861,-0.023376623376623384
2022-02-08,18800,18950,18100,18100,157662,-0.037234042553191515
2022-02-09,18300,18600,18200,18400,61617,0.016574585635359185
2022-02-10,18650,18650,17950,18150,116242,-0.013586956521739135
2022-02-11,18100,18250,17150,17450,248404,-0.038567493112947604
2022-02-14,17000,17400,16600,17200,221931,-0.014326647564469885
2022-02-15,17100,17400,16450,16650,159772,-0.03197674418604646
2022-02-16,17200,17650,17000,17350,148345,0.04204204204204198
2022-02-17,17350,18000,17050,17400,186201,0.0028818443804035088
2022-02-18,17050,18600,17000,18400,192914,0.05747126436781613
2022-02-21,18100,18250,17750,18000,72856,-0.021739130434782594
2022-02-22,17600,18800,17600,18700,161966,0.03888888888888897
2022-02-23,18700,19300,18700,19100,122328,0.021390374331550888
2022-02-24,18850,19300,18450,18650,185157,-0.023560209424083767
2022-02-25,19200,19350,18850,18900,90098,0.013404825737265424
2022-02-28,18650,19300,18600,19050,73503,0.007936507936507908
2022-03-02,18800,19150,18500,18950,62516,-0.005249343832021025
2022-03-03,19200,19850,19050,19700,162675,0.0395778364116095
2022-03-04,19650,20750,19400,20450,347840,0.038071065989847774
2022-03-07,20200,20200,19500,19600,122001,-0.041564792176039145
2022-03-08,19100,19350,18850,19100,122306,-0.025510204081632626
2022-03-10,19800,20650,19550,20450,269978,0.07068062827225141
2022-03-11,20500,20800,20050,20500,204706,0.0024449877750611915
2022-03-14,20800,21400,19900,20500,301941,0.0
2022-03-15,20500,20600,19850,20000,123792,-0.024390243902439046
2022-03-16,20600,21200,20400,20950,372227,0.0475000000000001
2022-03-17,21500,23450,21300,23300,1251601,0.11217183770883055
2022-03-18,23400,23650,23100,23150,417916,-0.006437768240343367
2022-03-21,23450,23450,22500,22700,377400,-0.01943844492440605
2022-03-22,22600,24200,22500,23850,646503,0.05066079295154191
2022-03-23,23900,24000,23300,23600,284224,-0.010482180293501009
2022-03-24,23600,24800,22950,24800,435441,0.05084745762711873
2022-03-25,25050,25450,24250,24350,428004,-0.01814516129032262
2022-03-28,24650,25200,23550,23700,358830,-0.026694045174537995
2022-03-29,23700,23800,22400,22800,565141,-0.03797468354430378
2022-03-30,23150,23700,22750,23050,322966,0.010964912280701844
2022-03-31,22800,23650,22750,23450,159288,0.017353579175704903
2022-04-01,23050,23650,23000,23350,147124,-0.004264392324093813
2022-04-04,23300,23300,22550,23000,180963,-0.01498929336188437
2022-04-05,23250,23800,23100,23450,353223,0.019565217391304346
2022-04-06,23000,23150,22650,23150,189904,-0.01279317697228144
2022-04-07,22750,23000,22000,22150,314563,-0.043196544276457916
2022-04-08,22350,22500,21950,22150,137495,0.0
2022-04-11,21900,22550,21350,21800,176554,-0.015801354401805856
2022-04-12,21500,21900,21250,21650,149757,-0.006880733944954143
2022-04-13,21700,22500,21650,22300,259079,0.03002309468822162
2022-04-14,22150,22700,21450,21650,276430,-0.029147982062780242
2022-04-15,21500,21500,20950,21350,166851,-0.01385681293302543
2022-04-18,21100,21350,20550,21100,189255,-0.011709601873536313
2022-04-19,21150,22650,21150,22400,529065,0.06161137440758302
2022-04-20,22250,22450,22050,22050,158542,-0.015625
2022-04-21,22150,22450,21800,22250,162789,0.009070294784580435
2022-04-22,21800,22150,21300,22000,228638,-0.011235955056179803
2022-04-25,21350,21900,21000,21050,186898,-0.04318181818181821
2022-04-26,21400,21400,20900,21100,91933,0.002375296912114022
2022-04-27,20300,20700,20100,20700,199842,-0.018957345971563955
2022-04-28,20950,20950,20000,20300,218405,-0.019323671497584516
2022-04-29,20650,21150,20400,20900,173610,0.029556650246305383
2022-05-02,20450,20850,20300,20700,71665,-0.009569377990430672
2022-05-03,20900,21450,20750,20900,132912,0.009661835748792313
2022-05-04,21050,21300,20900,21100,85602,0.009569377990430672
2022-05-06,20700,20850,20300,20550,113653,-0.026066350710900466
2022-05-09,20200,20500,19550,19600,139290,-0.04622871046228716
2022-05-10,19200,19900,18600,19900,135353,0.015306122448979664
2022-05-11,19600,20300,19600,20150,61486,0.012562814070351758
2022-05-12,19650,19950,19350,19450,115649,-0.0347394540942928
2022-05-13,19500,20300,19500,20200,84140,0.03856041131105403
2022-05-16,20450,20500,19800,20000,59285,-0.00990099009900991
2022-05-17,19550,20300,19500,20000,144296,0.0
2022-05-18,20450,20600,19800,20050,66859,0.0024999999999999467
2022-05-19,19400,20050,19350,20000,61638,-0.0024937655860348684
2022-05-20,20000,20150,19800,20000,57268,0.0
2022-05-23,20200,20750,19950,20250,81951,0.012499999999999956
2022-05-24,20250,20250,19250,19500,96840,-0.03703703703703709
2022-05-25,19700,19750,19200,19600,46266,0.00512820512820511
2022-05-26,19600,20050,19550,19650,46693,0.0025510204081633514
2022-05-27,19950,19950,19450,19450,55691,-0.010178117048346036
2022-05-30,19800,20050,19650,19950,57802,0.02570694087403602
2022-05-31,20000,20200,19750,20050,57782,0.005012531328320913
2022-06-02,19950,20600,19950,20200,98274,0.007481296758104827
2022-06-03,20400,20400,20050,20250,39410,0.0024752475247524774
2022-06-07,20300,20300,19550,19650,83694,-0.029629629629629672
2022-06-08,19550,19900,19550,19600,38517,-0.0025445292620864812
2022-06-09,19550,19700,19200,19400,66256,-0.010204081632653073
2022-06-10,19200,19500,19050,19500,61580,0.005154639175257714
2022-06-13,18900,19000,17750,17750,291869,-0.08974358974358976
2022-06-14,17150,17750,16800,17450,285137,-0.016901408450704203
2022-06-15,17350,17500,16900,17000,124356,-0.025787965616045794
2022-06-16,17350,17500,16550,16550,138493,-0.026470588235294135
2022-06-17,16200,16350,15750,16150,112559,-0.024169184290030232
2022-06-20,16350,16350,15300,15450,129497,-0.04334365325077394
2022-06-21,15400,15700,15150,15350,110727,-0.006472491909385147
2022-06-22,15350,15550,14200,14650,229637,-0.0456026058631922
