Date,Open,High,Low,Close,Volume,Change
2022-01-03,35600,35900,34950,34950,2150,-0.023743016759776525
2022-01-04,35050,35050,34550,34800,906,-0.0042918454935622075
2022-01-05,34800,35050,34800,34800,1462,0.0
2022-01-06,34850,35700,34850,35150,1855,0.010057471264367734
2022-01-07,35300,35550,34800,34850,1013,-0.008534850640113834
2022-01-10,35200,35250,34850,34950,1478,0.0028694404591105283
2022-01-11,35100,35100,34300,34300,3428,-0.01859799713876964
2022-01-12,34600,34900,34350,34900,454,0.017492711370262315
2022-01-13,34900,35250,34900,35200,1427,0.008595988538681931
2022-01-14,35450,35450,34600,35150,859,-0.0014204545454545858
2022-01-17,35050,37050,34900,36200,12279,0.029871977240398362
2022-01-18,36200,36800,34650,34900,4047,-0.035911602209944715
2022-01-19,34900,36500,34900,35150,4029,0.007163323782235054
2022-01-20,35100,35250,34350,34850,1050,-0.008534850640113834
2022-01-21,34850,35200,34850,35100,1095,0.007173601147776099
2022-01-24,35050,35050,34300,34500,940,-0.017094017094017144
2022-01-25,34500,34950,34500,34950,2227,0.01304347826086949
2022-01-26,34950,37000,34950,35700,3407,0.02145922746781115
2022-01-27,35650,37250,34450,34450,4909,-0.03501400560224088
2022-01-28,34600,35200,34450,34950,2300,0.014513788098693858
2022-02-03,35050,37300,35050,35550,3249,0.01716738197424883
2022-02-04,35650,36250,35550,35600,1370,0.0014064697609001975
2022-02-07,35600,36300,35400,36300,1458,0.0196629213483146
2022-02-08,36350,36700,35900,36500,3079,0.005509641873278293
2022-02-09,36600,36600,35950,36050,1200,-0.012328767123287676
2022-02-10,36150,37200,36050,36600,1786,0.015256588072122046
2022-02-11,36950,36950,36050,36050,1122,-0.015027322404371546
2022-02-14,35900,35900,35300,35350,1857,-0.01941747572815533
2022-02-15,35500,36000,34900,34950,2417,-0.011315417256011262
2022-02-16,35300,36000,35000,35250,866,0.008583690987124415
2022-02-17,35850,35900,35100,35150,1323,-0.0028368794326241176
2022-02-18,35400,36000,35000,35700,1661,0.01564722617354186
2022-02-21,35700,36500,35700,36000,10565,0.008403361344537785
2022-02-22,36000,36500,36000,36000,2649,0.0
2022-02-23,36000,36200,35600,35700,738,-0.008333333333333304
2022-02-24,35700,35700,34750,35150,1483,-0.01540616246498594
2022-02-25,35250,36000,35250,35600,710,0.012802275960170695
2022-02-28,35700,36000,35150,35500,484,-0.002808988764044895
2022-03-02,35100,36150,35100,35650,867,0.004225352112676051
2022-03-03,35700,36300,35400,36100,2569,0.012622720897615736
2022-03-04,36500,36500,35950,36050,1018,-0.0013850415512465242
2022-03-07,36050,36200,35500,35950,1017,-0.00277392510402219
2022-03-08,35400,36000,35400,35950,1589,0.0
2022-03-10,36450,36700,35900,36100,1547,0.004172461752433909
2022-03-11,36450,36850,36100,36550,1575,0.012465373961218829
2022-03-14,37100,37100,36350,37100,1950,0.015047879616963078
2022-03-15,37100,37250,36400,36400,966,-0.018867924528301883
2022-03-16,36800,36800,35850,36600,661,0.005494505494505475
2022-03-17,36900,36900,36400,36750,354,0.004098360655737654
2022-03-18,36750,36950,36300,36450,728,-0.008163265306122436
2022-03-21,36750,36750,35200,36000,1434,-0.012345679012345734
2022-03-22,35600,35950,35550,35650,1133,-0.009722222222222188
2022-03-23,35550,35850,35300,35500,2105,-0.0042075736325385416
2022-03-24,35300,36350,35250,35900,3012,0.011267605633802802
2022-03-25,36350,36450,35750,36450,1211,0.01532033426183843
2022-03-28,37800,38350,36450,36600,5973,0.004115226337448652
2022-03-29,36750,37150,36250,36400,1272,-0.005464480874316946
2022-03-30,36600,37300,36000,36700,2447,0.008241758241758212
2022-03-31,36700,37200,36700,37050,948,0.0095367847411445
2022-04-01,37050,37100,36000,36750,1653,-0.0080971659919028
2022-04-04,36950,37200,36450,36850,1923,0.0027210884353741083
2022-04-05,37000,37100,36550,36900,790,0.0013568521031208647
2022-04-06,36650,37100,36100,36750,1173,-0.004065040650406471
2022-04-07,36900,37000,36100,36500,1732,-0.006802721088435382
2022-04-08,36500,36750,36150,36400,794,-0.002739726027397249
2022-04-11,36400,36450,35700,36350,2256,-0.0013736263736263687
2022-04-12,36350,36350,35700,35700,948,-0.017881705639614887
2022-04-13,35700,36250,35200,36150,1902,0.012605042016806678
2022-04-14,36150,36200,35500,35950,2202,-0.0055325034578146415
2022-04-15,35750,36200,35700,36000,663,0.0013908205841446364
2022-04-18,36000,36500,36000,36200,1061,0.005555555555555536
2022-04-19,36050,36600,36050,36500,1312,0.008287292817679592
2022-04-20,36650,36900,36500,36500,461,0.0
2022-04-21,36900,36900,36550,36600,410,0.00273972602739736
2022-04-22,36400,36500,36050,36200,602,-0.010928961748633892
2022-04-25,36400,36400,36000,36000,905,-0.0055248618784530246
2022-04-26,36000,36350,35850,36300,794,0.008333333333333304
2022-04-27,36300,36400,35900,36400,688,0.0027548209366390353
2022-04-28,36400,36450,36200,36300,655,-0.0027472527472527375
2022-04-29,36300,36800,36300,36500,944,0.005509641873278293
2022-05-02,36300,36700,36300,36600,321,0.00273972602739736
2022-05-03,36550,36750,35900,35950,1785,-0.01775956284153002
2022-05-04,35950,36250,35750,35900,1007,-0.0013908205841446364
2022-05-06,35550,35950,35550,35900,826,0.0
2022-05-09,35900,36000,35450,36000,1039,0.0027855153203342198
2022-05-10,35650,36100,35350,36050,1542,0.001388888888888884
2022-05-11,35700,36050,35600,35850,343,-0.00554785020804438
2022-05-12,35850,35900,35100,35100,1017,-0.02092050209205021
2022-05-13,35100,35300,33150,34200,9468,-0.02564102564102566
2022-05-16,34500,34600,33100,34000,1569,-0.005847953216374324
2022-05-17,33900,34850,33550,33600,1473,-0.0117647058823529
2022-05-18,34550,34550,33450,33950,599,0.01041666666666674
2022-05-19,33200,33900,33200,33800,609,-0.004418262150220897
2022-05-20,33350,33850,33350,33800,356,0.0
2022-05-23,33800,34300,33400,34200,801,0.01183431952662728
2022-05-24,34200,34200,33600,33850,982,-0.010233918128654929
2022-05-25,33800,33900,33600,33900,282,0.001477104874446189
2022-05-26,33400,33950,33400,33850,332,-0.001474926253687281
2022-05-27,33700,34800,33650,34650,1584,0.02363367799113747
2022-05-30,34600,34850,34450,34600,1253,-0.0014430014430014682
2022-05-31,34700,34700,34350,34600,845,0.0
2022-06-02,34600,34700,34250,34550,345,-0.0014450867052022698
2022-06-03,34500,34700,34300,34550,339,0.0
2022-06-07,34550,34700,33500,34000,1286,-0.01591895803183796
2022-06-08,33700,34000,33700,34000,469,0.0
2022-06-09,34000,34200,33750,34000,280,0.0
2022-06-10,34000,34300,33800,34200,162,0.00588235294117645
2022-06-13,33950,42900,33200,34700,130019,0.014619883040935644
2022-06-14,34450,34450,32900,33300,11392,-0.04034582132564846
2022-06-15,33200,33500,32200,32600,3419,-0.02102102102102099
2022-06-16,32600,33850,32600,32950,2308,0.010736196319018454
2022-06-17,32400,33850,32200,32750,1734,-0.006069802731411222
2022-06-20,33400,33400,32500,32500,4164,-0.007633587786259555
2022-06-21,32900,32900,32500,32900,1835,0.012307692307692353
2022-06-22,32900,32900,32150,32650,1260,-0.0075987841945288626
2022-06-23,32650,32650,31900,31900,2987,-0.02297090352220521
2022-06-24,31900,32900,31900,32300,2494,0.012539184952978122
2022-06-27,32300,32600,32100,32500,748,0.006191950464396356
2022-06-28,32400,32500,32000,32500,713,0.0
2022-06-29,32300,32450,31900,32200,2113,-0.009230769230769265
2022-06-30,32050,32200,31750,31800,619,-0.012422360248447228
2022-07-01,31800,33000,31200,31800,3607,0.0
2022-07-04,31800,32150,31800,31950,2400,0.004716981132075526
2022-07-05,31950,32350,31550,32200,2576,0.00782472613458518
2022-07-06,32200,32250,31850,32150,5542,-0.0015527950310558758
2022-07-07,32150,38000,32150,33500,88953,0.04199066874028001
2022-07-08,34550,34550,32700,32950,5914,-0.016417910447761197
2022-07-11,33000,34150,33000,33000,8467,0.0015174506828528056
2022-07-12,32900,33050,32100,32250,2413,-0.022727272727272707
2022-07-13,32250,32250,31850,32150,4110,-0.0031007751937984773
2022-07-14,32150,32250,31850,32150,3241,0.0
2022-07-15,32150,32300,31900,32300,2558,0.004665629860031162
2022-07-18,32000,32350,31950,32150,2520,-0.004643962848297267
2022-07-19,32150,32150,31000,31350,13315,-0.02488335925349927
2022-07-20,31400,31700,31350,31650,4794,0.009569377990430672
2022-07-21,31600,31850,31250,31550,2433,-0.003159557661927326
