Date,Open,High,Low,Close,Volume,Change
2022-01-03,1110,1120,1100,1110,210825,0.0
2022-01-04,1105,1115,1090,1110,301484,0.0
2022-01-05,1110,1130,1105,1120,414365,0.009009009009008917
2022-01-06,1115,1145,1110,1115,629108,-0.004464285714285698
2022-01-07,1110,1130,1110,1120,212981,0.004484304932735439
2022-01-10,1120,1130,1095,1105,388600,-0.013392857142857095
2022-01-11,1105,1105,1060,1070,599957,-0.03167420814479638
2022-01-12,1080,1100,1075,1085,657812,0.014018691588784993
2022-01-13,1085,1130,1085,1115,550206,0.02764976958525356
2022-01-14,1110,1120,1090,1090,215695,-0.022421524663677084
2022-01-17,1095,1105,1065,1070,371097,-0.01834862385321101
2022-01-18,1065,1080,1035,1050,697870,-0.01869158878504673
2022-01-19,1045,1050,1025,1025,389472,-0.023809523809523836
2022-01-20,1020,1050,1020,1045,285542,0.019512195121951237
2022-01-21,1040,1050,1025,1030,256698,-0.014354066985645897
2022-01-24,1030,1235,1030,1130,11819446,0.09708737864077666
2022-01-25,1145,1155,1060,1090,2971238,-0.03539823008849563
2022-01-26,1095,1205,1095,1140,9209250,0.04587155963302747
2022-01-27,1140,1140,1040,1050,3078708,-0.07894736842105265
2022-01-28,1055,1080,1035,1060,1223617,0.00952380952380949
2022-02-03,1065,1110,1065,1090,1428680,0.028301886792452935
2022-02-04,1100,1190,1095,1190,5240915,0.09174311926605494
2022-02-07,1190,1200,1160,1190,1951853,0.0
2022-02-08,1215,1335,1170,1185,10642201,-0.004201680672268893
2022-02-09,1190,1210,1180,1195,940276,0.00843881856540074
2022-02-10,1205,1210,1155,1175,1141506,-0.01673640167364021
2022-02-11,1150,1260,1150,1205,11960210,0.025531914893617058
2022-02-14,1245,1300,1135,1150,9470377,-0.0456431535269709
2022-02-15,1170,1365,1170,1300,71983955,0.13043478260869557
2022-02-16,1160,1205,1100,1195,9888106,-0.08076923076923082
2022-02-17,1195,1260,1170,1220,13310168,0.02092050209205021
2022-02-18,1245,1280,1200,1200,8598023,-0.016393442622950838
2022-02-21,1245,1265,1200,1205,5176943,0.004166666666666652
2022-02-22,1230,1325,1210,1285,26690922,0.06639004149377592
2022-02-23,1310,1330,1235,1250,12141172,-0.027237354085603127
2022-02-24,1275,1370,1270,1335,25221111,0.06800000000000006
2022-02-25,1260,1320,1210,1245,11838276,-0.0674157303370787
2022-02-28,1260,1275,1210,1220,3722777,-0.02008032128514059
2022-03-02,1250,1300,1250,1285,9048937,0.05327868852459017
2022-03-03,1280,1300,1255,1265,3827359,-0.015564202334630295
2022-03-04,1285,1430,1275,1330,38295606,0.05138339920948609
2022-03-07,1360,1440,1350,1425,19474864,0.0714285714285714
2022-03-08,1415,1455,1295,1305,10778381,-0.08421052631578951
2022-03-10,1260,1340,1220,1285,6234753,-0.01532567049808431
2022-03-11,1305,1315,1255,1260,2334724,-0.01945525291828798
2022-03-14,1270,1325,1270,1280,3551746,0.015873015873015817
2022-03-15,1300,1330,1245,1275,4903020,-0.00390625
2022-03-16,1290,1295,1250,1260,1962673,-0.0117647058823529
2022-03-17,1255,1255,1210,1230,2604909,-0.023809523809523836
2022-03-18,1235,1290,1230,1265,4935779,0.028455284552845628
2022-03-21,1280,1370,1265,1345,10081031,0.06324110671936767
2022-03-22,1360,1445,1355,1380,14613793,0.026022304832713727
2022-03-23,1385,1415,1350,1395,4924253,0.010869565217391353
2022-03-24,1430,1480,1355,1360,13278338,-0.02508960573476704
2022-03-25,1370,1380,1330,1330,2696954,-0.022058823529411797
