Date,Open,High,Low,Close,Volume,Change
2022-01-03,18950,19150,18900,19100,17364,0.0052631578947368585
2022-01-04,19100,19300,19000,19100,33751,0.0
2022-01-05,19100,19100,18850,19000,30850,-0.005235602094240788
2022-01-06,18900,19150,18800,18800,35554,-0.010526315789473717
2022-01-07,18950,19000,18850,18950,17088,0.007978723404255428
2022-01-10,19000,19000,18750,18800,30135,-0.0079155672823219
2022-01-11,18850,19050,18450,18600,36012,-0.010638297872340385
2022-01-12,18650,18850,18550,18700,24499,0.005376344086021501
2022-01-13,18700,18750,18550,18650,25287,-0.002673796791443861
2022-01-14,18650,18700,18400,18450,33402,-0.01072386058981234
2022-01-17,18450,18450,18000,18100,47172,-0.01897018970189701
2022-01-18,18100,18150,17750,17800,39285,-0.016574585635359074
2022-01-19,17500,17800,17300,17450,37833,-0.0196629213483146
2022-01-20,17350,17700,17350,17700,25076,0.014326647564469885
2022-01-21,17650,17750,17450,17500,45683,-0.011299435028248594
2022-01-24,17200,17350,16600,16750,61738,-0.042857142857142816
2022-01-25,16550,16800,16200,16300,61415,-0.0268656716417911
2022-01-26,16150,16500,16100,16300,31943,0.0
2022-01-27,16250,16300,15600,15600,71737,-0.042944785276073594
2022-01-28,15500,16050,15300,16050,52412,0.028846153846153744
2022-02-03,16150,16650,16100,16500,35577,0.028037383177569986
2022-02-04,16250,17150,16250,17000,46282,0.030303030303030276
2022-02-07,17000,17250,16750,17200,37748,0.0117647058823529
2022-02-08,17200,17700,17200,17450,47067,0.014534883720930258
2022-02-09,17500,18100,17450,17950,64387,0.02865329512893977
2022-02-10,17950,18100,17700,17800,29137,-0.00835654596100277
2022-02-11,17450,17750,17450,17550,25636,-0.014044943820224698
2022-02-14,17150,17300,16000,16850,45504,-0.03988603988603989
2022-02-15,16800,17800,16550,17200,35449,0.020771513353115667
2022-02-16,17250,17450,17200,17400,24192,0.011627906976744207
2022-02-17,17400,18500,17400,17900,108945,0.028735632183908066
2022-02-18,17900,19700,17700,19400,358144,0.08379888268156432
2022-02-21,19350,19550,18950,19100,123072,-0.015463917525773141
2022-02-22,18750,19050,18600,18650,66949,-0.023560209424083767
2022-02-23,18700,19450,18500,19050,92830,0.02144772117962468
2022-02-24,18800,18850,18150,18400,77325,-0.034120734908136496
2022-02-25,18500,18700,18400,18650,55005,0.013586956521739024
2022-02-28,18500,19000,18350,19000,83136,0.018766756032171594
2022-03-02,19050,19100,18700,18900,62154,-0.0052631578947368585
2022-03-03,19000,19150,18800,19050,48660,0.007936507936507908
2022-03-04,19000,19000,18700,18850,36173,-0.01049868766404205
2022-03-07,18950,19350,18900,19100,115984,0.013262599469495928
2022-03-08,18800,19000,18550,18550,51485,-0.028795811518324554
2022-03-10,18900,19050,18650,18700,44852,0.008086253369272267
