Date,Open,High,Low,Close,Volume,Change
2022-01-03,5780,5800,5690,5740,20132,-0.00692041522491349
2022-01-04,5710,5740,5620,5710,48635,-0.005226480836236891
2022-01-05,5690,5690,5550,5630,56907,-0.014010507880910628
2022-01-06,5530,5700,5520,5570,72106,-0.010657193605683846
2022-01-07,5570,5770,5550,5740,62014,0.030520646319569078
2022-01-10,5790,5870,5630,5680,32369,-0.010452961672473893
2022-01-11,5680,5700,5540,5560,50061,-0.021126760563380254
2022-01-12,5570,5760,5570,5740,45374,0.03237410071942448
2022-01-13,5790,5900,5750,5850,74529,0.019163763066202044
2022-01-14,5880,5930,5800,5890,82438,0.006837606837606813
2022-01-17,5930,5950,5780,5880,71506,-0.001697792869269965
2022-01-18,5850,6030,5810,5880,141547,0.0
2022-01-19,5820,5890,5650,5710,64722,-0.028911564625850317
2022-01-20,5660,5970,5650,5900,82629,0.03327495621716281
2022-01-21,5920,5970,5780,5830,63634,-0.011864406779661052
2022-01-24,5780,5780,5400,5410,80262,-0.07204116638078906
2022-01-25,5410,5460,5110,5120,69549,-0.05360443622920519
2022-01-26,5110,5290,5090,5220,31897,0.01953125
2022-01-27,5220,5220,4945,5030,47202,-0.036398467432950166
2022-01-28,5000,5180,4860,5100,44103,0.013916500994035852
2022-02-03,5190,5390,5190,5230,20862,0.025490196078431282
2022-02-04,5250,5420,5210,5370,32333,0.026768642447418722
2022-02-07,5360,5480,5320,5460,24705,0.016759776536312776
2022-02-08,5410,5530,5350,5370,34087,-0.016483516483516536
2022-02-09,5450,5490,5350,5420,9842,0.009310986964618184
2022-02-10,5420,5520,5240,5260,32707,-0.029520295202952074
2022-02-11,5200,5320,5150,5260,30786,0.0
2022-02-14,5200,5200,5000,5130,37375,-0.024714828897338448
2022-02-15,5080,5110,4925,4935,52563,-0.03801169590643272
2022-02-16,5000,5190,5000,5130,12799,0.03951367781155013
2022-02-17,5200,5200,4975,5060,39461,-0.013645224171540016
2022-02-18,5010,5120,4945,5110,15306,0.009881422924901129
2022-02-21,5110,5130,4980,5120,12630,0.001956947162426559
2022-02-22,5060,5080,4950,5000,45359,-0.0234375
2022-02-23,4975,5070,4965,5030,13753,0.006000000000000005
2022-02-24,5040,5040,4885,4910,33272,-0.02385685884691846
2022-02-25,4955,5070,4935,5010,32372,0.020366598778004175
2022-02-28,5020,5080,4985,5070,18405,0.011976047904191711
2022-03-02,5090,5260,5040,5080,17988,0.0019723865877712132
2022-03-03,5150,5250,5080,5250,37346,0.0334645669291338
2022-03-04,5190,5270,5110,5170,38473,-0.015238095238095273
2022-03-07,5100,5160,4980,4995,33839,-0.03384912959381048
2022-03-08,4945,5030,4880,4980,22514,-0.0030030030030030463
2022-03-10,4995,5100,4995,5050,10083,0.014056224899598346
2022-03-11,5090,5160,5040,5080,7354,0.005940594059405946
2022-03-14,5080,5080,4970,4990,16740,-0.017716535433070835
2022-03-15,4940,5040,4940,5010,14655,0.004008016032064132
2022-03-16,5020,5100,4995,5070,20839,0.011976047904191711
2022-03-17,5080,5180,5080,5180,16594,0.021696252465483346
2022-03-18,5210,5210,5120,5180,13115,0.0
2022-03-21,5180,5220,5120,5180,22767,0.0
2022-03-22,5180,5250,5080,5250,21595,0.013513513513513598
2022-03-23,5280,5350,5230,5350,20489,0.01904761904761898
2022-03-24,5320,5350,5240,5320,26638,-0.005607476635513975
2022-03-25,5300,5370,5260,5290,23531,-0.005639097744360888
2022-03-28,5290,5320,5210,5260,21146,-0.005671077504725952
2022-03-29,5270,5370,5260,5360,17445,0.019011406844106515
2022-03-30,5360,5380,5280,5360,18580,0.0
2022-03-31,5360,5360,5280,5320,15865,-0.007462686567164201
2022-04-01,5320,5360,5240,5350,36976,0.005639097744360999
2022-04-04,5350,5450,5340,5440,61580,0.016822429906542036
2022-04-05,5500,5500,5390,5460,28263,0.003676470588235281
2022-04-06,5460,5460,5310,5340,27340,-0.02197802197802201
2022-04-07,5330,5330,5150,5290,27510,-0.009363295880149836
2022-04-08,5260,5380,5230,5380,25584,0.017013232514177634
2022-04-11,5370,5390,5290,5320,20160,-0.01115241635687736
2022-04-12,5210,5320,5200,5320,19147,0.0
2022-04-13,5270,5450,5220,5320,17349,0.0
2022-04-14,5410,5410,5320,5350,17754,0.005639097744360999
2022-04-15,5360,5430,5290,5340,16626,-0.0018691588785046953
2022-04-18,5340,5340,5250,5280,19285,-0.011235955056179803
2022-04-19,5240,5320,5230,5280,25626,0.0
2022-04-20,5390,5390,5280,5320,16326,0.007575757575757569
2022-04-21,5350,5420,5310,5320,36920,0.0
2022-04-22,5320,5390,5300,5360,33350,0.007518796992481258
2022-04-25,5320,5320,5160,5160,31724,-0.03731343283582089
2022-04-26,5160,5190,5100,5140,30230,-0.003875968992248069
2022-04-27,5080,5140,5010,5140,20912,0.0
2022-04-28,5100,5150,5050,5120,26324,-0.0038910505836575737
2022-04-29,5080,5180,5060,5130,30994,0.001953125
2022-05-02,5150,5200,5100,5170,20440,0.007797270955165692
2022-05-03,5220,5300,5180,5210,11454,0.007736943907156624
2022-05-04,5210,5240,5190,5210,11515,0.0
2022-05-06,5150,5210,5120,5210,13472,0.0
2022-05-09,5170,5180,5030,5140,24626,-0.013435700575815779
2022-05-10,4995,5090,4945,5020,32601,-0.023346303501945553
2022-05-11,4930,5090,4930,5070,21521,0.009960159362549792
2022-05-12,5070,5070,4915,4915,29533,-0.030571992110453694
2022-05-13,4915,5070,4915,5000,21473,0.01729399796541209
2022-05-16,5110,5110,5000,5030,15342,0.006000000000000005
2022-05-17,5080,5090,5000,5090,18748,0.011928429423459175
2022-05-18,5120,5210,5050,5200,39961,0.0216110019646365
2022-05-19,5130,5200,5070,5090,20832,-0.02115384615384619
2022-05-20,5090,5150,5050,5120,17984,0.005893909626718985
2022-05-23,5120,5180,5040,5160,23676,0.0078125
2022-05-24,5250,5250,5010,5030,31271,-0.025193798449612448
2022-05-25,5020,5090,5000,5000,19254,-0.005964214711729587
2022-05-26,5000,5090,5000,5010,24379,0.0020000000000000018
2022-05-27,5080,5120,5050,5110,16938,0.019960079840319445
2022-05-30,5110,5150,5080,5100,19692,-0.00195694716242667
2022-05-31,5100,5180,5100,5120,18345,0.0039215686274509665
2022-06-02,5120,5190,5120,5150,20418,0.005859375
2022-06-03,5160,5190,5130,5160,13800,0.001941747572815622
2022-06-07,5160,5220,5100,5110,19727,-0.009689922480620172
2022-06-08,5110,5140,5090,5090,10774,-0.003913894324853229
2022-06-09,5090,5140,5080,5090,12249,0.0
2022-06-10,5090,5120,5040,5120,19099,0.005893909626718985
2022-06-13,5020,5020,4880,4935,30289,-0.0361328125
2022-06-14,4780,4890,4780,4795,20037,-0.028368794326241176
2022-06-15,4775,4775,4575,4585,24701,-0.04379562043795615
2022-06-16,4585,4720,4570,4715,20895,0.028353326063249806
2022-06-17,4600,4695,4515,4620,20172,-0.020148462354188768
2022-06-20,4560,4610,4315,4345,26834,-0.059523809523809534
2022-06-21,4275,4430,4275,4380,22020,0.008055235903337232
2022-06-22,4385,4425,4120,4145,28343,-0.053652968036529636
2022-06-23,4100,4180,3910,3980,57704,-0.039806996381182125
2022-06-24,3980,4120,3970,4110,27116,0.03266331658291466
2022-06-27,4170,4295,4090,4200,17790,0.021897810218978186
2022-06-28,4200,4290,4200,4285,12434,0.020238095238095166
2022-06-29,4285,4345,4240,4300,13835,0.003500583430571691
2022-06-30,4300,4335,4250,4290,14834,-0.0023255813953488857
2022-07-01,4250,4295,4165,4225,13429,-0.015151515151515138
2022-07-04,4225,4225,4050,4055,36859,-0.04023668639053257
2022-07-05,4080,4215,4055,4215,18521,0.039457459926017346
2022-07-06,4245,4245,4145,4145,11118,-0.016607354685646447
2022-07-07,4145,4240,4145,4235,8350,0.02171290711700835
2022-07-08,4245,4310,4230,4235,7715,0.0
2022-07-11,4275,4275,4210,4230,4635,-0.0011806375442738881
2022-07-12,4225,4225,4080,4085,22347,-0.0342789598108747
2022-07-13,4085,4130,4055,4130,5385,0.01101591187270512
2022-07-14,4150,4230,4100,4230,9183,0.02421307506053272
2022-07-15,4310,4330,4150,4235,13117,0.0011820330969267712
2022-07-18,4240,4320,4195,4320,11405,0.02007083825265643
2022-07-19,4315,4430,4275,4365,6557,0.01041666666666674
2022-07-20,4375,4440,4370,4375,6911,0.002290950744558984
2022-07-21,4375,4410,4350,4410,4277,0.008000000000000007
2022-07-22,4405,4410,4355,4365,7618,-0.010204081632653073
2022-07-25,4305,4440,4305,4440,10476,0.01718213058419238
2022-07-26,4435,4450,4375,4450,13793,0.0022522522522523403
2022-07-27,4445,4450,4385,4395,5850,-0.012359550561797716
2022-07-28,4405,4450,4400,4405,6548,0.0022753128555177415
2022-07-29,4415,4465,4405,4445,7196,0.009080590238365494
2022-08-01,4445,4545,4420,4510,10122,0.01462317210348707
2022-08-02,4510,4525,4400,4455,9220,-0.012195121951219523
2022-08-03,4415,4510,4390,4500,5346,0.010101010101010166
2022-08-04,4515,4515,4450,4470,8247,-0.00666666666666671
2022-08-05,4505,4530,4475,4495,7262,0.005592841163311046
2022-08-08,4495,4545,4485,4500,5812,0.0011123470522802492
2022-08-09,4500,4525,4495,4500,5596,0.0
2022-08-10,4510,4530,4485,4485,4154,-0.0033333333333332993
2022-08-11,4485,4520,4460,4460,9818,-0.005574136008918651
2022-08-12,4500,4500,4450,4460,4354,0.0
2022-08-16,4460,4515,4395,4420,10629,-0.008968609865470878
2022-08-17,4420,4420,4280,4290,16443,-0.02941176470588236
2022-08-18,4250,4280,4220,4225,14907,-0.015151515151515138
2022-08-19,4210,4225,4195,4195,19117,-0.007100591715976323
2022-08-22,4150,4190,4105,4135,21181,-0.014302741358760418
2022-08-23,4080,4175,4055,4145,26791,0.002418379685610539
2022-08-24,4105,4145,4105,4120,9763,-0.006031363088057851
2022-08-25,4145,4200,4145,4150,9795,0.00728155339805836
2022-08-26,4275,4275,4160,4165,14639,0.0036144578313253017
2022-08-29,4140,4140,4085,4125,14045,-0.009603841536614643
2022-08-30,4075,4125,4075,4120,19769,-0.00121212121212122
2022-08-31,4120,4345,4075,4200,31947,0.01941747572815533
2022-09-01,4200,4205,4110,4145,24568,-0.013095238095238049
2022-09-02,4100,4155,4080,4110,18375,-0.008443908323281013
2022-09-05,4105,4110,4020,4035,21475,-0.018248175182481785
2022-09-06,4005,4250,4005,4190,23177,0.038413878562577386
2022-09-07,4230,4320,4085,4250,58196,0.014319809069212486
2022-09-08,4220,4290,4205,4225,16912,-0.00588235294117645
2022-09-13,4285,4285,4180,4190,32376,-0.008284023668639007
2022-09-14,4125,4160,4080,4155,17373,-0.00835322195704058
2022-09-15,4155,4280,4155,4280,13759,0.030084235860409203
2022-09-16,4240,4240,4155,4170,11802,-0.025700934579439227
2022-09-19,4125,4145,4095,4095,11621,-0.017985611510791366
2022-09-20,4050,4135,4050,4120,14551,0.006105006105006083
2022-09-21,4120,4130,4070,4095,27119,-0.0060679611650485965
2022-09-22,4090,4090,3975,4015,23505,-0.019536019536019578
2022-09-23,4015,4025,3915,3915,18970,-0.02490660024906599
2022-09-26,3890,3890,3660,3710,49878,-0.05236270753512129
2022-09-27,3660,3710,3590,3645,27514,-0.01752021563342321
2022-09-28,3645,3645,3420,3510,28236,-0.03703703703703709
2022-09-29,3525,3570,3475,3475,17978,-0.009971509971509973
2022-09-30,3355,3475,3305,3360,85618,-0.03309352517985609
2022-10-04,3360,3500,3360,3480,75544,0.03571428571428581
2022-10-05,3530,3565,3430,3450,25122,-0.008620689655172376
