Date,Open,High,Low,Close,Volume,Change
2022-01-03,94800,98000,94800,96300,73725,0.015822784810126667
2022-01-04,96500,97600,94300,96300,54718,0.0
2022-01-05,96200,96200,94100,95200,34148,-0.011422637590861928
2022-01-06,94600,96400,93700,94700,48973,-0.005252100840336116
2022-01-07,95200,98700,94800,98500,125157,0.040126715945089764
2022-01-10,99000,99500,96600,96600,60941,-0.019289340101522834
2022-01-11,96700,97700,94000,94100,54644,-0.025879917184264967
2022-01-12,95200,95900,93900,95000,37513,0.009564293304994642
2022-01-13,95800,95800,92000,92700,76953,-0.02421052631578946
2022-01-14,93000,93700,91400,92100,33604,-0.006472491909385147
2022-01-17,92300,95000,91600,93800,42184,0.018458197611292082
2022-01-18,94100,94400,91200,91200,45122,-0.02771855010660984
2022-01-19,89900,92300,89900,92300,30308,0.012061403508771829
2022-01-20,92300,92400,89300,91300,71160,-0.010834236186348822
2022-01-21,91200,91200,87500,88100,94039,-0.035049288061336226
2022-01-24,88000,90800,86900,88700,88149,0.006810442678774065
2022-01-25,88700,89100,85000,87000,418670,-0.01916572717023679
2022-01-26,86100,88000,86000,86000,36914,-0.011494252873563204
2022-01-27,85600,86000,81700,81700,57832,-0.050000000000000044
2022-01-28,81700,85200,81500,84800,59406,0.0379436964504285
2022-02-03,86400,92300,86400,90000,114609,0.061320754716981174
2022-02-04,89500,91300,88700,91300,58660,0.014444444444444482
2022-02-07,91300,93900,89200,90800,66333,-0.005476451259583737
2022-02-08,90200,93000,90200,91300,69383,0.005506607929515406
2022-02-09,94500,98400,94200,98000,230877,0.07338444687842283
2022-02-10,97100,98600,95800,96700,89363,-0.013265306122449028
2022-02-11,95500,96800,93700,95000,71432,-0.0175801447776629
2022-02-14,92600,94500,91500,91600,68051,-0.03578947368421048
2022-02-15,92400,92400,88300,89700,79070,-0.020742358078602585
2022-02-16,90600,92300,90100,91000,60373,0.01449275362318847
2022-02-17,90700,93000,90000,92100,47614,0.012087912087912045
2022-02-18,92100,92300,90400,91400,27665,-0.007600434310532034
2022-02-21,91300,91300,89200,90600,31070,-0.008752735229759279
2022-02-22,89800,90200,87700,88400,49722,-0.02428256070640178
2022-02-23,88800,89700,88400,89000,20477,0.006787330316742057
2022-02-24,89500,89900,86300,88300,36954,-0.00786516853932584
2022-02-25,88200,88900,85000,87000,86367,-0.014722536806342057
2022-02-28,86500,88900,86200,87700,34158,0.008045977011494232
2022-03-02,87700,90500,87100,88700,51747,0.011402508551881407
2022-03-03,90200,90200,88500,89000,20332,0.0033821871476888976
