Date,Open,High,Low,Close,Volume,Change
2022-01-03,5380,5610,5360,5610,212204,0.05849056603773595
2022-01-04,5610,6160,5610,5840,1496587,0.04099821746880572
2022-01-05,5830,5890,5670,5710,423383,-0.022260273972602773
2022-01-06,5580,6030,5550,5910,829164,0.035026269702276736
2022-01-07,5920,6000,5800,5840,217285,-0.011844331641285955
2022-01-10,5780,5810,5540,5540,228872,-0.05136986301369861
2022-01-11,5510,5680,5360,5360,241952,-0.032490974729241895
2022-01-12,5410,5500,5330,5500,124172,0.026119402985074647
2022-01-13,5480,5600,5390,5450,117641,-0.009090909090909038
2022-01-14,5420,5570,5290,5350,111814,-0.01834862385321101
2022-01-17,5330,5390,5160,5220,122575,-0.024299065420560706
2022-01-18,5150,5290,4995,5020,223645,-0.03831417624521072
2022-01-19,4920,5080,4850,4955,178953,-0.01294820717131473
2022-01-20,4915,5050,4885,5050,97889,0.019172552976791213
2022-01-21,5030,5040,4900,4930,95206,-0.023762376237623783
2022-01-24,4900,4910,4655,4695,160008,-0.047667342799188606
2022-01-25,4665,4740,4300,4335,199239,-0.07667731629392971
2022-01-26,4290,4500,4280,4370,165262,0.008073817762399127
2022-01-27,4345,4425,4080,4085,203220,-0.06521739130434778
2022-01-28,4095,4375,4025,4370,165894,0.06976744186046502
2022-02-03,4390,4510,4370,4475,121207,0.024027459954233388
2022-02-04,4425,4580,4380,4515,82576,0.00893854748603351
2022-02-07,4515,4535,4405,4465,39789,-0.011074197120708784
2022-02-08,4390,4660,4275,4450,110617,-0.0033594624860022737
2022-02-09,4500,4570,4500,4545,38898,0.02134831460674147
2022-02-10,4565,4605,4430,4490,64338,-0.012101210121012063
2022-02-11,4490,4490,4300,4400,62701,-0.020044543429844075
2022-02-14,4300,4310,4090,4130,157601,-0.0613636363636364
2022-02-15,4115,4340,4115,4155,114299,0.006053268765133124
2022-02-16,4205,4550,4170,4550,167522,0.09506618531889299
2022-02-17,4550,4650,4400,4560,291697,0.00219780219780219
2022-02-18,4410,4600,4400,4600,77617,0.00877192982456143
2022-02-21,4540,4965,4460,4590,458142,-0.0021739130434782483
2022-02-22,4540,4685,4365,4410,119247,-0.039215686274509776
2022-02-23,4420,4650,4420,4540,175640,0.02947845804988658
2022-02-24,4540,4580,4370,4370,103044,-0.037444933920704804
2022-02-25,4430,4585,4410,4495,81315,0.028604118993134975
2022-02-28,4495,4555,4400,4470,70012,-0.005561735261401579
2022-03-02,4485,4600,4455,4550,98983,0.017897091722595126
2022-03-03,4580,4685,4550,4640,148605,0.01978021978021971
2022-03-04,4635,4720,4575,4705,120104,0.014008620689655249
2022-03-07,4900,4935,4655,4715,268874,0.002125398512220933
2022-03-08,4670,4700,4515,4515,131872,-0.042417815482502674
2022-03-10,4525,4645,4375,4575,155184,0.013289036544850585
2022-03-11,4600,5000,4585,5000,581185,0.09289617486338808
2022-03-14,5140,5290,4940,5060,416506,0.01200000000000001
2022-03-15,5090,5230,5030,5080,251919,0.0039525691699604515
