Date,Open,High,Low,Close,Volume,Change
2025-05-29,2695,3750,2060,2080,95545017,
2025-05-30,2035,2045,2005,2020,2306569,-0.028846153846153855
2025-06-02,2020,2020,2010,2010,863278,-0.004950495049504955
2025-06-04,2020,2020,2010,2020,334915,0.004975124378109541
2025-06-05,2015,2020,2010,2015,221864,-0.0024752475247524774
2025-06-09,2015,2015,2010,2010,259047,-0.002481389578163795
2025-06-10,2010,2020,2010,2015,229494,0.0024875621890547706
2025-06-11,2015,2020,2015,2015,219002,0.0
2025-06-12,2015,2020,2015,2020,109908,0.002481389578163684
2025-06-13,2020,2020,2015,2020,110844,0.0
2025-06-16,2020,2020,2015,2020,142241,0.0
2025-06-17,2020,2025,2015,2020,97148,0.0
2025-06-18,2020,2030,2015,2030,46763,0.004950495049504955
2025-06-19,2030,2035,2020,2030,60194,0.0
2025-06-20,2025,2035,2020,2030,33900,0.0
2025-06-23,2030,2030,2015,2020,48510,-0.0049261083743842304
2025-06-24,2020,2030,2015,2020,69755,0.0
2025-06-25,2020,2025,2015,2020,34897,0.0
2025-06-26,2020,2025,2015,2020,36801,0.0
2025-06-27,2020,2025,2015,2015,31531,-0.0024752475247524774
2025-06-30,2015,2025,2015,2025,73134,0.00496277915632759
2025-07-01,2025,2025,2020,2025,40542,0.0
2025-07-02,2025,2025,2015,2020,42734,-0.0024691358024691024
2025-07-03,2015,2025,2015,2025,50325,0.0024752475247524774
2025-07-04,2025,2025,2015,2020,73819,-0.0024691358024691024
2025-07-07,2020,2020,2015,2020,24424,0.0
2025-07-08,2020,2025,2015,2025,29424,0.0024752475247524774
2025-07-09,2025,2025,2015,2015,58891,-0.004938271604938316
2025-07-10,2015,2020,2015,2020,27025,0.002481389578163684
2025-07-11,2020,2025,2015,2020,16390,0.0
2025-07-14,2020,2025,2015,2020,15777,0.0
2025-07-15,2020,2025,2015,2020,26065,0.0
2025-07-16,2015,2025,2015,2015,21434,-0.0024752475247524774
2025-07-17,2015,2025,2015,2020,17003,0.002481389578163684
2025-07-18,2020,2025,2015,2025,48965,0.0024752475247524774
2025-07-21,2025,2025,2015,2020,26120,-0.0024691358024691024
2025-07-22,2015,2020,2010,2015,31155,-0.0024752475247524774
2025-07-23,2015,2020,2012,2020,29788,0.002481389578163684
2025-07-24,2020,2020,2010,2015,36349,-0.0024752475247524774
2025-07-25,2015,2020,2010,2020,13501,0.002481389578163684
2025-07-28,2015,2020,2015,2020,5605,0.0
2025-07-29,2020,2020,2015,2020,9594,0.0
2025-07-30,2015,2015,2010,2010,5933,-0.004950495049504955
2025-07-31,2010,2015,2010,2015,6356,0.0024875621890547706
2025-08-01,2010,2015,2005,2010,44769,-0.002481389578163795
2025-08-04,2010,2010,2000,2005,14448,-0.0024875621890547706
2025-08-05,2005,2010,2000,2010,9086,0.0024937655860348684
2025-08-06,2010,2010,2000,2010,11060,0.0
2025-08-07,2010,2010,2005,2010,1775,0.0
2025-08-08,2005,2010,2000,2010,7910,0.0
2025-08-11,2005,2010,1998,2005,40123,-0.0024875621890547706
2025-08-12,2000,2005,1999,2005,15808,0.0
2025-08-13,2005,2010,2005,2005,8399,0.0
2025-08-14,2005,2005,2000,2005,9218,0.0
2025-08-18,2000,2010,2000,2005,28113,0.0
2025-08-19,2005,2010,2000,2005,4151,0.0
2025-08-20,2005,2010,2000,2005,2683,0.0
2025-08-21,2000,2005,1999,2005,16281,0.0
2025-08-22,2005,2005,2000,2000,27584,-0.0024937655860348684
2025-08-25,2000,2010,2000,2005,29026,0.0024999999999999467
2025-08-26,2005,2010,1999,2010,26420,0.0024937655860348684
2025-08-27,2010,2010,2000,2010,10960,0.0
2025-08-28,2000,2010,2000,2010,2885,0.0
2025-08-29,2000,2010,2000,2010,5063,0.0
2025-09-01,2005,2015,2000,2015,24403,0.0024875621890547706
2025-09-02,2010,2010,2000,2005,5782,-0.00496277915632759
2025-09-03,2005,2010,2000,2005,20741,0.0
2025-09-04,2005,2010,2000,2000,8224,-0.0024937655860348684
2025-09-05,2000,2005,2000,2005,4432,0.0024999999999999467
2025-09-08,2005,2010,2000,2000,15939,-0.0024937655860348684
2025-09-09,2005,2010,2000,2005,5005,0.0024999999999999467
2025-09-10,2000,2010,2000,2005,4503,0.0
2025-09-11,2005,2010,2005,2010,29465,0.0024937655860348684
2025-09-12,2005,2010,2000,2000,22234,-0.00497512437810943
2025-09-15,2005,2010,2000,2000,9526,0.0
2025-09-16,2005,2015,2000,2015,14134,0.007500000000000062
2025-09-17,2010,2015,2005,2005,10869,-0.00496277915632759
