Date,Open,High,Low,Close,Volume,Change
2022-01-03,2195,2245,2185,2235,1044338,0.025229357798165042
2022-01-04,2240,2260,2215,2255,992310,0.008948545861297452
2022-01-05,2260,2260,2200,2240,883023,-0.006651884700665134
2022-01-06,2210,2280,2200,2220,1188852,-0.008928571428571397
2022-01-07,2220,2250,2200,2240,698528,0.009009009009008917
2022-01-10,2240,2290,2225,2230,1042241,-0.004464285714285698
2022-01-11,2235,2245,2155,2185,733275,-0.020179372197309364
2022-01-12,2175,2225,2175,2205,613038,0.009153318077803174
2022-01-13,2195,2230,2185,2195,407469,-0.0045351473922902175
2022-01-14,2190,2215,2155,2170,649960,-0.011389521640091105
2022-01-17,2170,2180,2075,2120,1294670,-0.02304147465437789
2022-01-18,2095,2120,2055,2065,608548,-0.02594339622641506
2022-01-19,2040,2100,2035,2070,508913,0.002421307506053294
2022-01-20,2065,2095,2055,2095,293061,0.012077294685990392
2022-01-21,2075,2115,2035,2040,745108,-0.026252983293556076
2022-01-24,2030,2040,1965,2000,830736,-0.019607843137254943
2022-01-25,1995,2010,1935,1960,988237,-0.020000000000000018
2022-01-26,1940,2000,1940,1970,436043,0.005102040816326481
2022-01-27,1960,1980,1885,1885,1029232,-0.043147208121827374
2022-01-28,1890,1935,1855,1915,635674,0.01591511936339529
2022-02-03,1935,1990,1935,1990,782417,0.039164490861618884
2022-02-04,1970,2010,1965,2010,691207,0.01005025125628145
2022-02-07,2010,2010,1980,2005,505434,-0.0024875621890547706
2022-02-08,2005,2055,1985,2025,763051,0.009975062344139696
2022-02-09,2045,2120,2040,2085,1282257,0.029629629629629672
2022-02-10,2090,2100,2045,2045,661142,-0.01918465227817745
2022-02-11,2010,2050,2000,2005,613476,-0.019559902200488977
2022-02-14,1975,1995,1950,1970,619814,-0.017456359102244412
2022-02-15,1960,1980,1935,1940,579735,-0.015228426395939132
2022-02-16,1980,2025,1975,2015,491740,0.038659793814433074
2022-02-17,2010,2050,1980,2020,555182,0.002481389578163684
2022-02-18,1985,2070,1985,2070,571936,0.024752475247524774
2022-02-21,2035,2110,2030,2105,967861,0.01690821256038655
2022-02-22,2070,2125,2055,2095,758357,-0.004750593824228044
2022-02-23,2095,2110,2085,2105,587193,0.004773269689737569
2022-02-24,2090,2100,2035,2040,762277,-0.030878859857482177
2022-02-25,2075,2170,2075,2150,1518410,0.05392156862745101
2022-02-28,2165,2190,2130,2160,721852,0.0046511627906977715
2022-03-02,2165,2250,2150,2240,1665214,0.03703703703703698
2022-03-03,2280,2280,2110,2215,1652877,-0.011160714285714302
2022-03-04,2205,2250,2195,2220,934799,0.0022573363431150906
2022-03-07,2190,2255,2180,2210,1075016,-0.0045045045045044585
2022-03-08,2175,2205,2155,2185,670337,-0.011312217194570096
2022-03-10,2245,2280,2220,2235,1171669,0.022883295194507935
2022-03-11,2235,2420,2215,2290,9510966,0.02460850111856816
2022-03-14,2315,2415,2280,2290,8339733,0.0
2022-03-15,2300,2305,2260,2290,1856547,0.0
2022-03-16,2320,2460,2285,2405,20547830,0.05021834061135366
2022-03-17,2425,2430,2325,2360,5549078,-0.018711018711018657
2022-03-18,2360,2365,2285,2300,3617487,-0.025423728813559365
2022-03-21,2320,2335,2290,2300,2748780,0.0
2022-03-22,2300,2330,2290,2305,1766198,0.0021739130434783593
2022-03-23,2310,2315,2285,2300,1874096,-0.002169197396963085
2022-03-24,2290,2360,2240,2330,4556948,0.01304347826086949
2022-03-25,2360,2365,2310,2325,2296968,-0.0021459227467811592
2022-03-28,2350,2350,2310,2315,1646879,-0.004301075268817178
2022-03-29,2320,2325,2290,2310,1521410,-0.002159827213822907
2022-03-30,2310,2315,2280,2315,1330101,0.0021645021645022577
2022-03-31,2315,2385,2305,2355,2910442,0.017278617710583255
2022-04-01,2335,2360,2320,2345,1835677,-0.00424628450106157
2022-04-04,2345,2400,2320,2380,3305891,0.014925373134328401
2022-04-05,2375,2420,2355,2420,2974357,0.01680672268907557
