Date,Open,High,Low,Close,Volume,Change
2022-01-03,3350,3385,3320,3345,18498,0.0
2022-01-04,3345,3390,3330,3375,26989,0.008968609865470878
2022-01-05,3375,3400,3305,3310,42793,-0.01925925925925931
2022-01-06,3310,3330,3265,3330,31734,0.0060422960725075026
2022-01-07,3330,3390,3310,3365,24988,0.010510510510510551
2022-01-10,3395,3400,3300,3360,32363,-0.0014858841010401136
2022-01-11,3360,3360,3240,3310,22898,-0.014880952380952328
2022-01-12,3310,4300,3130,4300,4642895,0.29909365558912393
2022-01-13,4500,4720,4110,4225,5925334,-0.01744186046511631
2022-01-14,4180,4365,4035,4195,1574217,-0.007100591715976323
2022-01-17,4235,4485,4105,4300,2214530,0.025029797377830842
2022-01-18,4300,4430,4035,4195,976346,-0.024418604651162745
2022-01-19,4130,4320,4020,4105,764425,-0.021454112038140627
2022-01-20,4200,4205,3900,4035,445486,-0.01705237515225333
2022-01-21,4035,4060,3855,3895,255354,-0.03469640644361838
2022-01-24,3880,4060,3780,3880,386194,-0.0038510911424903815
2022-01-25,3880,3960,3605,3605,361661,-0.07087628865979378
2022-01-26,3555,3645,3470,3570,356890,-0.009708737864077666
2022-01-27,3590,3605,3105,3105,463002,-0.13025210084033612
2022-01-28,3100,3275,3085,3230,170165,0.040257648953301084
2022-02-03,3220,3340,3220,3300,143085,0.021671826625387025
2022-02-04,3300,3450,3280,3450,141214,0.045454545454545414
2022-02-07,3450,3450,3335,3430,55301,-0.005797101449275366
2022-02-08,3420,3515,3380,3440,72076,0.00291545189504383
2022-02-09,3440,3510,3355,3470,66052,0.008720930232558155
2022-02-10,3505,3510,3310,3350,157722,-0.03458213256484155
2022-02-11,3360,3390,3210,3285,58555,-0.0194029850746269
2022-02-14,3230,3230,3025,3080,166198,-0.06240487062404876
2022-02-15,3080,3160,3060,3140,80902,0.01948051948051943
2022-02-16,3125,3310,3085,3290,85583,0.047770700636942776
2022-02-17,3320,3360,3140,3300,118024,0.003039513677811634
2022-02-18,3200,3340,3200,3315,44762,0.00454545454545463
2022-02-21,3325,3340,3220,3290,37316,-0.007541478129713397
2022-02-22,3260,3375,3215,3295,51228,0.001519756838905817
2022-02-23,3265,3330,3150,3280,50185,-0.004552352048558417
2022-02-24,3310,3355,3150,3230,86789,-0.015243902439024404
2022-02-25,3230,3295,3175,3200,67833,-0.009287925696594423
2022-02-28,3200,3260,3145,3225,39424,0.0078125
2022-03-02,3225,3275,3180,3225,54355,0.0
2022-03-03,3295,3300,3225,3270,28618,0.013953488372093092
2022-03-04,3255,3325,3255,3300,40976,0.00917431192660545
2022-03-07,3315,3320,3170,3205,38876,-0.028787878787878807
2022-03-08,3110,3205,3110,3160,47086,-0.01404056162246492
2022-03-10,3160,3205,3060,3190,95748,0.009493670886076
