Date,Open,High,Low,Close,Volume,Change
2022-01-03,20600,20750,20200,20300,107540,-0.009756097560975618
2022-01-04,20600,21450,20350,21450,384824,0.05665024630541882
2022-01-05,21450,21500,20600,20800,233888,-0.030303030303030276
2022-01-06,20200,20900,20050,20050,162493,-0.03605769230769229
2022-01-07,20250,20450,20200,20400,80835,0.0174563591022443
2022-01-10,20300,20400,19600,20300,91479,-0.004901960784313708
2022-01-11,20200,20400,19850,20150,55057,-0.007389162561576401
2022-01-12,20800,20900,20250,20400,137817,0.012406947890818865
2022-01-13,20500,21150,20450,20750,149574,0.017156862745097978
2022-01-14,20350,20950,20350,20500,87371,-0.012048192771084376
2022-01-17,20400,20500,19950,20000,102488,-0.024390243902439046
2022-01-18,20100,20200,19600,19750,88260,-0.012499999999999956
2022-01-19,19450,19900,19400,19400,67431,-0.017721518987341756
2022-01-20,19400,20100,19000,20100,66317,0.03608247422680422
2022-01-21,19850,20200,19550,19700,46151,-0.01990049751243783
2022-01-24,19350,19600,18450,18800,115686,-0.045685279187817285
2022-01-25,18850,19450,18200,18300,103047,-0.02659574468085102
2022-01-26,18300,18600,18100,18100,37776,-0.010928961748633892
2022-01-27,18100,18550,17300,17500,74562,-0.03314917127071826
2022-01-28,17700,18950,17700,18950,79092,0.08285714285714296
2022-02-03,19300,19300,18700,19050,49185,0.005277044854881341
2022-02-04,18700,19050,18500,18850,53308,-0.01049868766404205
2022-02-07,19000,19050,18550,18800,36969,-0.0026525198938992522
2022-02-08,18800,19000,18350,18450,51601,-0.018617021276595702
2022-02-09,18450,18650,17200,18000,175440,-0.024390243902439046
2022-02-10,18150,18150,17600,17850,52218,-0.008333333333333304
2022-02-11,17750,17800,17200,17300,51057,-0.03081232492997199
2022-02-14,16250,17250,16200,16400,61129,-0.052023121387283267
2022-02-15,16400,17200,16400,16600,38399,0.012195121951219523
2022-02-16,17050,17550,17050,17500,19371,0.054216867469879526
2022-02-17,17450,17800,16700,17200,58091,-0.017142857142857126
2022-02-18,17050,17300,16900,16950,34721,-0.014534883720930258
2022-02-21,16850,16900,16450,16800,28815,-0.008849557522123908
2022-02-22,16550,16950,16150,16400,36004,-0.023809523809523836
2022-02-23,16500,16950,16500,16800,29706,0.024390243902439046
2022-02-24,16500,16900,16200,16250,27792,-0.03273809523809523
2022-02-25,16550,16900,16100,16250,48854,0.0
2022-02-28,16200,16900,16100,16750,48705,0.03076923076923066
2022-03-02,16750,17150,16500,17100,59041,0.020895522388059806
2022-03-03,17300,17300,16900,17100,39853,0.0
2022-03-04,17150,17300,16700,16950,31283,-0.00877192982456143
2022-03-07,16800,16800,16400,16500,21774,-0.026548672566371723
2022-03-08,16050,16700,16050,16250,19185,-0.015151515151515138
2022-03-10,16600,16750,16300,16350,12405,0.006153846153846176
2022-03-11,16250,16750,16150,16350,22077,0.0
2022-03-14,16350,16350,16000,16100,25007,-0.015290519877675823
