Date,Open,High,Low,Close,Volume,Change
2022-01-03,21517,22620,21517,22154,73108,0.03984980051631082
2022-01-04,22237,22576,21855,21941,27078,-0.009614516565857212
2022-01-05,21855,21855,20837,21050,53225,-0.04060890570165443
2022-01-06,20433,20794,19797,20052,65015,-0.04741092636579569
2022-01-07,20284,20836,20115,20307,29617,0.012716935966487153
2022-01-10,20285,20583,19755,20583,17450,0.013591372433151117
2022-01-11,20432,21303,20411,20922,31625,0.01646990234659662
2022-01-12,21218,21304,20476,20965,23960,0.0020552528438964046
2022-01-13,20985,21304,20498,20668,19688,-0.014166467922728354
2022-01-14,20646,20794,20327,20413,12147,-0.0123379136829882
2022-01-17,20411,20454,19096,19352,47020,-0.051976681526478274
2022-01-18,19011,19690,18184,18630,41956,-0.03730880529144276
2022-01-19,17994,18461,17060,17549,91196,-0.05802469135802468
2022-01-20,17420,18078,17272,17782,38513,0.013277109806826504
2022-01-21,17569,19097,17379,18037,81262,0.014340344168260133
2022-01-24,17823,18184,16550,16848,53476,-0.06592005322392858
2022-01-25,16805,17399,16020,16551,53304,-0.017628205128205177
2022-01-26,16402,16847,16083,16148,35544,-0.024348981934626313
2022-01-27,16062,16253,15023,15745,65694,-0.024956650978449346
2022-01-28,15743,16210,15085,15999,47047,0.016132105430295418
2022-02-03,16804,18396,16592,17187,88952,0.07425464091505729
2022-02-04,17038,17314,16762,17039,16915,-0.008611159597370133
2022-02-07,17122,17292,16762,16975,13702,-0.003756088972357574
2022-02-08,16974,17186,16657,16763,18254,-0.012488954344624492
2022-02-09,16848,17696,16805,17273,28631,0.030424148422120156
2022-02-10,17209,17315,16826,17273,21326,0.0
2022-02-11,17037,17271,16210,16317,53185,-0.05534649452903373
2022-02-14,15786,16125,15298,16084,31658,-0.014279585708157128
2022-02-15,16019,16677,15128,15299,26046,-0.04880626709773683
2022-02-16,15468,16168,15468,15957,24402,0.04300934701614478
2022-02-17,15786,16062,15234,15405,21903,-0.03459296860312089
2022-02-18,15193,15787,14960,15618,18720,0.01382667964946438
2022-02-21,15277,15893,15129,15618,15835,0.0
2022-02-22,15043,15403,14979,15341,12342,-0.017735945703675204
2022-02-23,15341,15660,15066,15151,15657,-0.012385111791930137
2022-02-24,15064,15064,14237,14344,31972,-0.053263810969573
2022-02-25,14534,15001,14428,14535,19894,0.013315672058003436
2022-02-28,14598,15447,14217,14939,32245,0.02779497764017891
2022-03-02,14724,15552,14724,15426,10082,0.0325992368967134
2022-03-03,15446,16402,15319,16254,18937,0.0536756126021003
2022-03-04,16253,16763,15914,16530,28234,0.01698043558508666
2022-03-07,16465,16529,15468,16254,31539,-0.016696914700544463
2022-03-08,15723,16762,15723,16042,28670,-0.013042943275501373
2022-03-10,16231,16402,15934,16169,16534,0.007916718613639295
2022-03-11,16147,16466,16062,16445,16931,0.017069701280227667
2022-03-14,16530,16530,15681,15851,20316,-0.036120401337792596
2022-03-15,15702,16423,15596,16233,8960,0.024099425903728378
2022-03-16,16338,17739,15957,16573,65669,0.020944988603462056
2022-03-17,16784,18461,16657,18122,101123,0.09346527484462674
2022-03-18,18121,20710,17930,19798,186800,0.09248427325902209
2022-03-21,19500,20773,19457,20052,80001,0.012829578745327863
2022-03-22,20052,23977,19182,20944,395737,0.04448434071414331
2022-03-23,21197,21388,20178,20434,85766,-0.024350649350649345
2022-03-24,20200,21027,20094,20392,36829,-0.0020553978663012673
2022-03-25,20668,21092,20137,20520,34946,0.006276971361318218
2022-03-28,20519,20795,19904,19904,29150,-0.030019493177387946
2022-03-29,19734,20880,19649,20520,38458,0.030948553054662487
2022-03-30,20518,21048,20136,20922,49149,0.019590643274853825
2022-03-31,20922,22535,20922,22408,109361,0.07102571455883755
2022-04-01,22491,23510,21515,21856,135167,-0.024634059264548425
2022-04-04,21855,21855,19882,20477,127461,-0.06309480234260612
2022-04-05,20985,25691,20095,22809,936326,0.11388386970747666
2022-04-06,22809,25438,22343,23615,588638,0.03533692840545388
2022-04-07,22936,23530,21325,21792,222695,-0.0771966970146094
2022-04-08,24844,26200,22470,22470,970620,0.03111233480176212
2022-04-11,22512,28744,22512,24632,3143438,0.09621717846016908
2022-04-12,24081,24547,22979,23276,401429,-0.055050341019811655
2022-04-13,23105,23444,22003,22512,277884,-0.03282350919401955
2022-04-14,22385,22385,21622,21792,139045,-0.031982942430703654
2022-04-15,21409,24080,21409,23360,496586,0.07195301027900136
2022-04-18,22894,23360,22131,22216,173689,-0.048972602739726034
2022-04-19,22130,22469,21113,21325,166563,-0.040106229744328425
2022-04-20,21622,22470,21113,22004,119071,0.03184056271981239
2022-04-21,22216,23191,21876,22640,201648,0.02890383566624255
2022-04-22,21876,22808,21621,22300,165414,-0.015017667844522964
2022-04-25,21791,22215,21452,21452,87535,-0.03802690582959645
2022-04-26,20986,21834,20604,20859,253842,-0.027643110199515153
2022-04-27,20223,20350,19714,20181,194107,-0.03250395512728321
2022-04-28,20137,20689,19671,19926,102991,-0.01263564739111045
2022-04-29,19798,20731,19586,19714,189346,-0.010639365652915789
2022-05-02,19544,19756,19078,19502,102818,-0.010753779040275968
2022-05-03,19501,19840,19289,19629,72537,0.006512152599733367
2022-05-04,19629,19799,19120,19248,63510,-0.019410056548983645
2022-05-06,18866,18950,17891,17891,185299,-0.07050083125519535
2022-05-09,17636,19289,17042,17170,257881,-0.04029959197361799
2022-05-10,16746,17805,16110,17170,297296,0.0
2022-05-11,17000,17255,16576,16704,135561,-0.027140361094933008
2022-05-12,16364,16661,15516,15644,212766,-0.06345785440613028
2022-05-13,15686,17551,15686,17382,321673,0.11109690616210677
2022-05-16,17636,17763,17128,17128,117502,-0.01461281785755375
2022-05-17,17170,17551,16788,17043,59683,-0.004962634283045331
2022-05-18,17128,17552,16958,17213,69903,0.009974769700170194
2022-05-19,16534,16957,16364,16746,93367,-0.02713065706152329
2022-05-20,16746,17339,16746,16831,67309,0.0050758390063299075
2022-05-23,16874,17679,16577,17298,96237,0.02774642029588259
2022-05-24,17382,18866,17127,18103,239006,0.046537171927390375
2022-05-25,18103,18230,17594,17976,96006,-0.0070154118101971585
2022-05-26,17933,18908,17933,18357,160377,0.02119492656875832
2022-05-27,18399,19586,18357,18357,150796,0.0
