Date,Open,High,Low,Close,Volume,Change
2022-01-03,30150,31500,30150,31400,221758,0.04492512479201327
2022-01-04,31400,31600,30250,31100,144384,-0.009554140127388533
2022-01-05,31000,31800,30750,30800,117016,-0.009646302250803873
2022-01-06,29950,30650,28400,28650,186240,-0.06980519480519476
2022-01-07,28700,31150,28700,30700,125145,0.07155322862129143
2022-01-10,30800,31100,29500,29750,72288,-0.030944625407166138
2022-01-11,29600,29950,28250,29050,112684,-0.02352941176470591
2022-01-12,29100,29650,27350,29100,73828,0.001721170395869276
2022-01-13,29050,29550,28600,29000,50023,-0.0034364261168384758
2022-01-14,28550,30200,28350,29700,80051,0.024137931034482696
2022-01-17,29500,29700,28750,28850,45979,-0.028619528619528656
2022-01-18,28500,29300,27750,27800,50072,-0.036395147313691534
2022-01-19,27000,27900,26650,26900,100588,-0.03237410071942448
2022-01-20,26900,28150,26650,28050,58177,0.04275092936802971
2022-01-21,27550,28700,26850,27150,81063,-0.03208556149732622
2022-01-24,26950,26950,25450,25600,140170,-0.057090239410681365
2022-01-25,25600,26000,23950,24750,103888,-0.033203125
2022-01-26,24400,26400,24000,25600,129213,0.03434343434343434
2022-01-27,25300,25950,24000,24200,101809,-0.0546875
2022-01-28,24250,25600,24150,25550,72023,0.05578512396694224
2022-02-03,26150,26550,25250,25300,67600,-0.009784735812133127
2022-02-04,24950,25450,24450,25200,66995,-0.0039525691699604515
2022-02-07,25550,25750,24750,25650,50323,0.017857142857142794
2022-02-08,25400,26350,25150,25400,44432,-0.00974658869395717
2022-02-09,25500,26650,25500,26150,60362,0.029527559055118058
2022-02-10,26200,26650,25350,25350,39794,-0.030592734225621365
2022-02-11,24800,26150,24400,25550,88055,0.007889546351084853
2022-02-14,25100,25550,24400,24700,61682,-0.0332681017612525
2022-02-15,24400,25000,24200,24400,39689,-0.012145748987854255
2022-02-16,24850,27050,24600,26700,181379,0.09426229508196715
2022-02-17,27050,29200,26800,28300,306939,0.059925093632958726
2022-02-18,28000,29500,27400,28850,192702,0.019434628975264934
2022-02-21,28500,29650,28150,29450,119589,0.020797227036395194
2022-02-22,29000,30450,28900,30350,381646,0.03056027164685915
2022-02-23,30350,30400,29100,29900,157380,-0.014827018121911006
2022-02-24,29450,29750,28400,28450,150300,-0.04849498327759194
2022-02-25,29000,30200,28450,28950,136878,0.017574692442882345
2022-02-28,28800,30350,28350,29700,104484,0.02590673575129543
2022-03-02,29700,30350,29000,30000,129694,0.010101010101010166
2022-03-03,30100,31250,29750,30400,160867,0.01333333333333342
2022-03-04,31150,32300,30650,31150,265452,0.024671052631578982
2022-03-07,30900,33000,30500,32950,461330,0.057784911717496
2022-03-08,32900,33250,31850,32300,256010,-0.019726858877086473
2022-03-10,32500,33150,31700,31700,124634,-0.018575851393188847
2022-03-11,31700,32050,31200,31600,89051,-0.003154574132492094
2022-03-14,31400,31400,29200,30850,240181,-0.02373417721518989
2022-03-15,30550,31450,29950,30050,99939,-0.02593192868719607
2022-03-16,30250,31700,29500,31350,121481,0.043261231281197965
2022-03-17,31500,31950,30600,30800,116741,-0.01754385964912286
2022-03-18,31050,31050,30200,30250,88340,-0.017857142857142905
2022-03-21,30550,30550,29250,29250,92454,-0.03305785123966942
2022-03-22,29250,30500,29250,30400,70291,0.0393162393162394
2022-03-23,30850,30900,29900,29950,125107,-0.014802631578947345
2022-03-24,29700,29950,28750,29100,140563,-0.028380634390651083
2022-03-25,29000,30000,28950,29700,103609,0.020618556701030855
2022-03-28,30400,30400,28750,29000,138090,-0.023569023569023573
2022-03-29,29300,29300,28800,28950,74473,-0.0017241379310344307
2022-03-30,29300,29700,27900,29550,117318,0.020725388601036343
2022-03-31,29600,29600,28750,29200,97738,-0.011844331641285955
