Date,Open,High,Low,Close,Volume,Change
2022-07-29,9176,10136,8036,8096,842288,
2022-08-01,8306,8456,8036,8171,208571,0.00926383399209496
2022-08-02,8636,8696,8126,8186,286794,0.0018357606168155627
2022-08-03,8141,8441,7871,7916,545439,-0.032983141949670114
2022-08-04,7932,7961,7481,7526,138776,-0.049267306720565895
2022-08-05,7571,7721,7541,7706,55256,0.0239170874302419
2022-08-08,7616,7631,7346,7557,64549,-0.019335582662860062
2022-08-09,7512,7647,7451,7647,42486,0.011909487892020731
2022-08-10,7631,7631,7467,7512,35356,-0.017653981953707376
2022-08-11,7557,7676,7481,7541,42777,0.0038604898828540346
2022-08-12,7541,8126,7496,7856,224781,0.041771648322503685
2022-08-16,7916,8066,7706,7811,55932,-0.005728105906313674
2022-08-17,7916,7991,7557,7586,43656,-0.02880553066188707
2022-08-18,7526,7796,7406,7736,43959,0.019773266543632984
2022-08-19,7736,7736,7526,7571,27585,-0.021328852119958608
2022-08-22,7467,7647,7436,7496,18374,-0.009906221106855129
2022-08-23,7406,7557,7211,7241,23898,-0.03401814300960515
2022-08-24,7241,7406,7106,7241,24207,0.0
2022-08-25,7256,7362,7211,7272,13479,0.004281176633061712
2022-08-26,7332,7391,7151,7182,21442,-0.012376237623762387
2022-08-29,6836,6942,6687,6732,197812,-0.06265664160401008
2022-08-30,6807,6867,6701,6867,22860,0.020053475935828846
2022-08-31,6791,6957,6746,6881,11480,0.0020387359836901986
2022-09-01,6822,6881,6477,6551,36938,-0.04795814561836942
2022-09-02,6582,6596,5996,6132,60790,-0.06395970080903679
2022-09-05,6117,6117,5412,5443,116040,-0.11236138290932807
2022-09-06,5457,5488,5217,5337,58690,-0.019474554473635886
2022-09-07,5277,5292,4992,5023,51363,-0.05883455124601833
2022-09-08,5217,5292,5007,5097,43591,0.014732231734023493
2022-09-13,5187,5262,5142,5262,26757,0.03237198351971737
2022-09-14,5052,5172,5007,5068,26812,-0.03686811098441656
2022-09-15,5127,5457,5113,5262,52257,0.03827940015785325
2022-09-16,5217,5427,5187,5352,34037,0.01710376282782211
2022-09-19,5352,5352,4962,4978,38540,-0.06988041853512705
2022-09-20,5068,5127,4978,5097,18708,0.023905182804339065
2022-09-21,5068,5667,5068,5622,115915,0.10300176574455566
2022-09-22,5607,5802,5443,5457,62821,-0.02934898612593384
2022-09-23,5443,5457,5157,5337,48066,-0.021990104452996206
2022-09-26,5277,5667,5247,5577,76209,0.04496908375491859
2022-09-27,5577,5637,5352,5637,32417,0.01075847229693383
2022-09-28,5727,6267,5697,5832,203417,0.03459286854709953
2022-09-29,5922,6102,5622,5742,85765,-0.015432098765432056
2022-09-30,5577,6371,5517,6267,92920,0.09143155694879823
2022-10-04,6492,7227,6402,6926,176484,0.10515398117121433
2022-10-05,6971,7391,6867,6912,98176,-0.0020213687554143656
2022-10-06,6942,7391,6657,7391,84190,0.0692997685185186
2022-10-07,7406,8051,7406,7887,157127,0.0671086456501151
2022-10-11,7796,7946,7557,7871,61979,-0.0020286547483200357
2022-10-12,7781,8171,7736,8126,59103,0.03239740820734349
2022-10-13,8096,8186,7871,8141,48303,0.0018459266551809073
2022-10-14,8306,8411,7916,8291,135985,0.018425254882692643
2022-10-17,8441,9116,8096,8096,150524,-0.023519478953081707
2022-10-18,8366,8711,8111,8141,75936,0.005558300395256843
2022-10-19,8261,8531,7631,8231,95844,0.011055152929615453
2022-10-20,8036,8606,7061,7481,193989,-0.09111894059045078
2022-10-21,7196,7481,6687,6701,110358,-0.10426413581072047
2022-10-24,6807,7272,6807,6942,87390,0.03596478137591408
2022-10-25,6971,7332,6867,7241,57981,0.04307116104868913
2022-10-26,7272,7332,6867,6897,48071,-0.04750725037978176
2022-10-27,6987,7031,6387,6551,83757,-0.050166739161954466
2022-10-28,6477,6477,6102,6357,39124,-0.029613799419935916
2022-10-31,6357,6657,6326,6447,44552,0.014157621519584662
2022-11-01,6461,6537,6102,6282,56627,-0.025593299208934384
2022-11-02,6282,6357,5877,6042,85041,-0.038204393505253065
2022-11-03,7850,7850,7850,7850,153894,0.2992386626944721
2022-11-04,8362,8902,7220,7337,1597100,-0.06535031847133754
2022-11-07,7283,7319,6807,6807,240755,-0.07223660896824313
2022-11-08,7014,7014,6744,6870,146218,0.009255178492728167
2022-11-09,6861,6879,6690,6744,90828,-0.01834061135371179
2022-11-10,6699,6699,6393,6429,124460,-0.04670818505338081
2022-11-11,6510,6600,6204,6258,261150,-0.026598226784880996
2022-11-14,6321,6447,6240,6240,114546,-0.0028763183125599667
2022-11-15,6339,6339,6204,6231,69175,-0.0014423076923076872
2022-11-16,6267,6429,6114,6339,106122,0.017332691381800602
2022-11-17,6339,8174,6276,6735,2963351,0.06247042120208235
2022-11-18,6798,6897,6276,6285,431360,-0.06681514476614703
2022-11-21,5746,6042,5701,5916,336698,-0.058711217183770925
2022-11-22,5836,5871,5719,5746,130474,-0.028735632183908066
2022-11-23,5611,6258,5602,5934,916116,0.032718412808910635
2022-11-24,5943,6402,5943,6213,509764,0.04701718907987873
2022-11-25,6222,6375,6150,6267,320052,0.008691453404152671
2022-11-28,6267,6375,6105,6231,201029,-0.005744375299186255
2022-11-29,6222,6510,6141,6510,300654,0.04477611940298498
2022-11-30,6528,6609,5997,6240,613528,-0.04147465437788023
2022-12-01,6357,6357,6150,6168,219645,-0.011538461538461497
2022-12-02,6069,6213,6069,6105,102162,-0.010214007782101131
2022-12-05,6105,6249,5943,6096,269028,-0.0014742014742015197
2022-12-06,6114,6186,5934,6024,150319,-0.011811023622047223
2022-12-07,5961,5997,5845,5925,177875,-0.016434262948207157
2022-12-08,5907,5979,5845,5925,81287,0.0
2022-12-09,5925,6510,5853,6213,1334938,0.04860759493670885
2022-12-12,6222,6501,6132,6312,579407,0.015934331240946342
2022-12-13,6312,6393,6240,6339,215842,0.004277566539923949
2022-12-14,6375,6492,6249,6321,227456,-0.0028395646000946018
2022-12-15,6312,6537,6105,6114,390469,-0.03274798291409586
2022-12-16,5961,6375,5961,6330,227131,0.035328753680078595
2022-12-19,6249,6510,6213,6348,197306,0.0028436018957345155
2022-12-20,6348,6438,6249,6375,166749,0.0042533081285445196
2022-12-21,6375,6429,6150,6294,150533,-0.012705882352941122
2022-12-22,6222,6366,6222,6330,91630,0.0057197330791229906
2022-12-23,6258,6258,5970,6015,234204,-0.049763033175355464
2022-12-26,5988,6141,5952,6069,105462,0.008977556109725615
2022-12-27,6042,6258,6042,6204,92758,0.022244191794364765
2022-12-28,6204,6240,6096,6159,38530,-0.007253384912959349
2022-12-29,6150,6294,6051,6141,76109,-0.002922552362396469
2023-01-02,6096,6195,5925,5934,61768,-0.0337078651685393
2023-01-03,5827,6042,5665,5961,100657,0.0045500505561173465
2023-01-04,5979,6366,5898,6249,153585,0.04831404126824368
2023-01-05,6258,6294,6033,6240,98505,-0.001440230436869916
2023-01-06,6222,6420,6105,6231,171197,-0.0014423076923076872
2023-01-09,6312,6375,6213,6348,117510,0.018777082330283967
2023-01-10,6348,6564,6132,6150,458670,-0.031190926275992403
2023-01-11,6204,6276,6132,6204,123944,0.008780487804878057
2023-01-12,6258,6258,6069,6123,105661,-0.013056092843326872
2023-01-13,6186,6195,6033,6078,74259,-0.007349338559529683
2023-01-16,6087,6123,6033,6078,96226,0.0
2023-01-17,6078,6132,5961,6024,90790,-0.008884501480750262
2023-01-18,6069,6069,5916,5925,96210,-0.016434262948207157
2023-01-19,5970,6123,5934,6087,81472,0.027341772151898702
2023-01-20,6087,6231,6024,6069,71229,-0.0029571217348447476
2023-01-25,6150,6330,6105,6312,207489,0.040039545229856754
2023-01-26,6357,6591,6213,6222,767420,-0.014258555133079831
2023-01-27,6231,6321,6177,6294,105453,0.011571841851494735
2023-01-30,6411,6465,6294,6294,137435,0.0
2023-01-31,6222,6411,6213,6357,139486,0.010009532888465289
2023-02-01,6357,6564,6339,6429,178254,0.011326097215667685
2023-02-02,6510,6744,6429,6564,297039,0.020998600093327102
2023-02-03,6564,6726,6465,6591,219186,0.004113345521023826
2023-02-06,6492,6519,6303,6402,300759,-0.028675466545289074
2023-02-07,6429,6780,6429,6627,436431,0.03514526710402999
2023-02-08,6654,6699,6537,6618,252968,-0.0013580805794477513
2023-02-09,6618,6645,6348,6465,241396,-0.023118766999093432
2023-02-10,6429,6465,6276,6303,174648,-0.025058004640371223
2023-02-13,6393,6393,6042,6042,214398,-0.04140885292717755
2023-02-14,6123,6123,5925,6015,200422,-0.004468718967229446
2023-02-15,6015,6492,6015,6438,585660,0.07032418952618458
2023-02-16,6474,7058,6393,6861,1771449,0.06570363466915197
2023-02-17,6744,7454,6645,7256,1688691,0.057571782538988536
2023-02-20,7292,7499,7193,7391,600965,0.01860529217199569
2023-02-21,7319,7535,7274,7310,470301,-0.010959274793667984
