Date,Open,High,Low,Close,Volume,Change
2022-01-03,16050,16850,15950,16650,81189,0.03738317757009346
2022-01-04,16650,16750,16300,16600,35120,-0.0030030030030030463
2022-01-05,16600,17300,16050,16500,85565,-0.0060240963855421326
2022-01-06,16300,16450,15650,15850,74039,-0.039393939393939426
2022-01-07,15700,16350,15700,16250,30811,0.025236593059936974
2022-01-10,16550,16550,15750,16450,43053,0.012307692307692353
2022-01-11,16250,16750,16000,16100,37341,-0.021276595744680882
2022-01-12,15950,16700,15950,16450,42507,0.021739130434782705
2022-01-13,16600,16700,16250,16550,38777,0.006079027355623046
2022-01-14,16450,16450,15950,16150,46513,-0.024169184290030232
2022-01-17,16000,16150,15600,15750,36928,-0.024767801857585092
2022-01-18,15650,16000,15250,15300,43673,-0.02857142857142858
2022-01-19,15300,15500,14800,15050,42957,-0.016339869281045805
2022-01-20,14800,17500,14800,16750,350821,0.11295681063122931
2022-01-21,16600,19850,16400,19100,1322550,0.14029850746268657
2022-01-24,18650,18900,17400,17400,259967,-0.08900523560209428
2022-01-25,18100,18500,17200,18000,227805,0.034482758620689724
2022-01-26,17550,18400,17250,17350,129541,-0.036111111111111094
2022-01-27,17500,18050,16850,17300,137734,-0.0028818443804035088
2022-01-28,17350,17450,16300,17150,78981,-0.00867052023121384
2022-02-03,17150,17700,17050,17500,71966,0.020408163265306145
2022-02-04,17300,17700,17000,17450,70414,-0.0028571428571428914
2022-02-07,17550,18350,17450,17750,116829,0.017191977077363862
2022-02-08,17950,17950,16950,17250,82804,-0.028169014084507005
2022-02-09,17300,17800,17100,17750,48024,0.02898550724637672
2022-02-10,17950,17950,17350,17600,38773,-0.008450704225352101
2022-02-11,17300,17300,16000,16600,112328,-0.05681818181818177
2022-02-14,15950,16100,15400,15800,62419,-0.048192771084337394
2022-02-15,15600,16200,15300,15550,50124,-0.015822784810126556
2022-02-16,15850,16050,15750,16000,36801,0.02893890675241151
2022-02-17,16100,16200,15600,15950,49934,-0.0031250000000000444
2022-02-18,15750,16150,15600,15950,35766,0.0
2022-02-21,15950,16000,15550,15850,22987,-0.006269592476489061
2022-02-22,15750,15800,15250,15300,38990,-0.034700315457413256
2022-02-23,15150,15600,15150,15450,29889,0.009803921568627416
2022-02-24,15250,15450,14750,14800,70065,-0.04207119741100329
2022-02-25,15100,15450,14850,15250,47797,0.030405405405405483
2022-02-28,15300,15900,15200,15500,59941,0.016393442622950838
2022-03-02,15600,15700,15400,15650,21664,0.00967741935483879
2022-03-03,15850,16250,15700,15900,49623,0.015974440894568787
2022-03-04,15900,15900,15550,15800,26900,-0.0062893081761006275
2022-03-07,15700,15800,14950,15100,39243,-0.044303797468354444
2022-03-08,14700,15250,14700,15050,23159,-0.0033112582781457123
2022-03-10,15050,15650,15050,15300,29204,0.01661129568106312
2022-03-11,15450,17750,15000,16800,346000,0.0980392156862746
2022-03-14,16800,17350,16300,16450,135305,-0.02083333333333337
2022-03-15,16100,16850,16100,16350,75787,-0.006079027355623046
2022-03-16,16400,17200,16350,16900,99620,0.033639143730886945
2022-03-17,16950,17300,16800,16950,73203,0.002958579881656709
2022-03-18,17200,17200,16650,16850,34577,-0.005899705014749235
2022-03-21,16750,17150,16550,16850,27984,0.0
2022-03-22,16950,17150,16600,16900,52004,0.0029673590504450953
2022-03-23,16950,17150,16650,17050,33046,0.008875739644970349
2022-03-24,17000,17000,16650,16800,24846,-0.014662756598240456
2022-03-25,16700,17300,16650,17150,49803,0.02083333333333326
2022-03-28,17150,17300,16750,17100,31324,-0.002915451895043719
2022-03-29,17000,17200,16800,17100,33539,0.0
2022-03-30,17100,17250,16950,17050,28436,-0.0029239766081871066
2022-03-31,17000,17700,17000,17300,49844,0.014662756598240456
2022-04-01,17100,18100,17100,17400,81939,0.005780346820809301
2022-04-04,17950,17950,17050,17500,42385,0.005747126436781658
2022-04-05,17500,17800,17200,17600,41165,0.005714285714285783
2022-04-06,17550,17550,17000,17300,30055,-0.017045454545454586
2022-04-07,17200,17750,17000,17700,50552,0.023121387283236983
2022-04-08,17700,18150,17550,17800,61875,0.005649717514124353
2022-04-11,17550,17950,17400,17650,25369,-0.008426966292134797
2022-04-12,17650,17800,17250,17350,31583,-0.016997167138810165
2022-04-13,17350,17900,17250,17650,45251,0.01729106628242083
2022-04-14,17550,17700,17200,17400,31103,-0.014164305949008527
2022-04-15,17200,17650,17200,17600,27069,0.011494252873563315
2022-04-18,17400,17700,17350,17400,38653,-0.011363636363636354
2022-04-19,17300,17500,17050,17450,37733,0.002873563218390718
2022-04-20,17450,17550,17150,17300,24140,-0.008595988538681931
2022-04-21,17200,17400,16700,17000,53232,-0.017341040462427793
2022-04-22,16750,17150,16650,16900,38518,-0.00588235294117645
2022-04-25,16850,17400,15850,16250,84614,-0.038461538461538436
2022-04-26,16200,16650,16200,16500,22097,0.01538461538461533
2022-04-27,16200,16300,16000,16300,19800,-0.012121212121212088
2022-04-28,16650,16700,15900,15900,37302,-0.024539877300613466
2022-04-29,15900,16200,15900,16050,18500,0.009433962264151052
2022-05-02,15800,16100,15700,15800,25757,-0.015576323987538943
2022-05-03,16000,16000,15450,15550,26113,-0.015822784810126556
2022-05-04,15550,15700,15000,15000,39221,-0.03536977491961413
2022-05-06,15100,15350,14900,15050,42421,0.0033333333333334103
2022-05-09,15250,15250,14300,14400,52409,-0.04318936877076407
2022-05-10,14350,14350,13450,14100,44226,-0.02083333333333337
2022-05-11,14100,14350,13750,14150,27158,0.0035460992907800915
2022-05-12,13850,15950,13750,14150,123328,0.0
2022-05-13,14300,15750,14050,14750,247779,0.042402826855123754
2022-05-16,14950,15300,14500,14650,75291,-0.006779661016949157
2022-05-17,14600,14750,14000,14400,59760,-0.017064846416382284
2022-05-18,14400,16750,14350,16750,444055,0.16319444444444442
2022-05-19,14100,14500,12700,13450,1768058,-0.19701492537313436
2022-05-20,13500,13900,13350,13500,241206,0.0037174721189590088
2022-05-23,13550,13600,13200,13350,149456,-0.011111111111111072
2022-05-24,13350,13600,13000,13050,89459,-0.022471910112359605
2022-05-25,13150,13600,13000,13500,70260,0.034482758620689724
2022-05-26,13350,14250,13350,14050,178486,0.040740740740740744
2022-05-27,13900,14100,13500,13550,86022,-0.03558718861209964
2022-05-30,13800,13850,13400,13600,50497,0.0036900369003689537
2022-05-31,13600,14000,13550,13800,64364,0.014705882352941124
2022-06-02,13950,14000,13650,13700,41396,-0.007246376811594235
