,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,342500,1,9000,2.7,324500,348500,324000,1126521,382831358000,33496960320000,97801344,KSQ
1,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,1257000,2,-2000,-0.16,1229000,1279000,1218000,566439,709854536000,33470978676000,26627668,KSQ
2,091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,65000,2,-400,-0.61,65800,66300,64600,447702,29259139800,10690207060000,164464724,KSQ
3,066970,KR7066970005,엘앤에프,KOSDAQ GLOBAL,우량기업부,220500,1,14000,6.78,200500,223500,200000,1042572,225445279000,7990870608000,36239776,KSQ
4,022100,KR7022100002,포스코DX,KOSDAQ GLOBAL,우량기업부,44400,1,5350,13.7,37800,45350,37500,31195496,1339803176750,6750341967600,152034729,KSQ
5,035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,110600,2,-400,-0.36,109200,112400,108500,313047,34648948200,3926022615200,35497492,KSQ
6,028300,KR7028300002,HLB,KOSDAQ,중견기업부,28850,1,50,0.17,28450,29600,28350,573973,16598255250,3719620431350,128929651,KSQ
7,041510,KR7041510009,에스엠,KOSDAQ,우량기업부,134200,1,1000,0.75,131800,136300,131300,126988,17072898200,3198106914200,23830901,KSQ
8,263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,44950,2,-700,-1.53,45200,45950,44700,454315,20552013250,2887941082250,64247855,KSQ
9,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,69200,1,600,0.87,70200,71100,68600,408045,28524318000,2741028815600,39610243,KSQ
10,403870,KR7403870009,HPSP,KOSDAQ,벤처기업부,31700,2,-850,-2.61,31450,32250,31400,509261,16215305500,2572740300000,81159000,KSQ
11,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,165400,2,-3800,-2.25,166600,167800,164500,60968,10109353000,2521087998000,15242370,KSQ
12,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,46600,2,-50,-0.11,46100,47450,45800,316935,14820384250,2409364739600,51703106,KSQ
13,214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,36100,2,-600,-1.63,36150,37100,36000,195467,7102601300,2338438942200,64776702,KSQ
14,293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,우량기업부,28250,2,-200,-0.7,28000,28600,27800,179392,5066293700,2330510079000,82495932,KSQ
15,393890,KR7393890009,더블유씨피,KOSDAQ,기술성장기업부,63400,2,-1200,-1.86,63200,64400,63000,127657,8116692200,2136359241200,33696518,KSQ
16,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,39250,2,-1350,-3.33,42000,44000,38150,1060450,43410226400,2108313750000,53715000,KSQ
17,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,107800,2,-4300,-3.84,109200,110000,106100,414229,44757262400,2075251978800,19250946,KSQ
18,328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,155700,1,100,0.06,157800,160600,151100,409080,63840591800,1927722322800,12381004,KSQ
19,039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,155000,2,-12800,-7.63,161100,162600,150700,403023,62966532800,1909530250000,12319550,KSQ
20,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,79500,1,6000,8.16,78700,83300,73500,4203184,328341374800,1833810123000,23066794,KSQ
21,357780,KR7357780006,솔브레인,KOSDAQ,우량기업부,232000,2,-3500,-1.49,230000,232500,228000,26896,6181745000,1804627312000,7778566,KSQ
22,121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,151700,1,3400,2.29,145200,153000,144000,240683,36159425100,1784561481800,11763754,KSQ
23,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,36700,2,-2000,-5.17,38000,39000,36650,1388061,52075590100,1773004341500,48310745,KSQ
24,005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,33600,2,-1250,-3.59,34000,34100,33200,750639,25231417750,1727526998400,51414494,KSQ
25,086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,229000,2,-1000,-0.43,226500,230500,226000,43449,9900757500,1671349172000,7298468,KSQ
26,095340,KR7095340006,ISC,KOSDAQ,우량기업부,92300,2,-9900,-9.69,98200,98900,90500,851421,80063151800,1605971173300,17399471,KSQ
27,034230,KR7034230003,파라다이스,KOSDAQ,중견기업부,17030,1,10,0.06,16940,17180,16760,810355,13799212860,1561413652890,91686063,KSQ
28,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,81700,1,100,0.12,80300,82000,79800,52884,4296817000,1536676917500,18808775,KSQ
29,365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,127300,1,600,0.47,126500,128700,125000,40988,5225175500,1528003795600,12003172,KSQ
30,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,30800,2,-700,-2.22,30800,30800,30200,239845,7319252750,1511784150800,49083901,KSQ
31,253450,KR7253450001,스튜디오드래곤,KOSDAQ,우량기업부,50100,2,-300,-0.6,49800,50400,49700,53726,2686693300,1505930749800,30058498,KSQ
32,372170,KR7372170001,윤성에프앤씨,KOSDAQ,기술성장기업부,187900,2,-4500,-2.34,187000,189300,183600,98207,18342599500,1499263119200,7979048,KSQ
33,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,65400,2,-200,-0.3,64800,66300,64200,148023,9688968200,1487274349200,22741198,KSQ
34,383310,KR7383310000,에코프로에이치엔,KOSDAQ,중견기업부,95300,1,400,0.42,91700,96800,91600,445699,42124585900,1458560019600,15304932,KSQ
35,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,140800,2,-2700,-1.88,142000,146500,139900,100675,14392090200,1449756070400,10296563,KSQ
36,078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,93600,1,1000,1.08,90300,95500,90200,141771,13244204600,1448983504800,15480593,KSQ
37,278280,KR7278280003,천보,KOSDAQ GLOBAL,우량기업부,144600,1,4200,2.99,138500,145100,137300,60486,8610079200,1446000000000,10000000,KSQ
38,065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,51100,2,-2300,-4.31,55000,56500,49550,6307571,333120480900,1404429742800,27483948,KSQ
39,145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,113100,2,-4300,-3.66,116000,116000,112800,77711,8860526900,1400794960500,12385455,KSQ
40,122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,우량기업부,73700,1,100,0.14,72400,75500,72300,186424,13758076600,1376516936300,18677299,KSQ
41,140410,KR7140410002,메지온,KOSDAQ,중견기업부,43150,2,-400,-0.92,42400,43550,41800,318962,13591489000,1273379585250,29510535,KSQ
42,035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,우량기업부,57500,3,0,0.0,57300,57800,56600,66180,3784944600,1260926355000,21929154,KSQ
43,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,25800,2,-1350,-4.97,26400,26500,24900,1687300,43205013400,1244829669600,48249212,KSQ
44,112040,KR7112040001,위메이드,KOSDAQ,우량기업부,36650,2,-300,-0.81,36350,38300,36350,274007,10203982200,1238658657300,33796962,KSQ
45,140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,173100,2,-4700,-2.64,172800,175700,172300,45864,7952415928,1205461302900,6963959,KSQ
46,009520,KR7009520008,포스코엠텍,KOSDAQ,우량기업부,28800,1,1400,5.11,26550,30200,26500,3397718,97675571750,1199309846400,41642703,KSQ
47,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,33000,2,-650,-1.93,33450,33450,32850,80603,2663010950,1184989080000,35908760,KSQ
48,225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,17650,1,30,0.17,17500,17990,17350,269153,4756742270,1160774665500,65766270,KSQ
49,336570,KR7336570007,원텍,KOSDAQ,기술성장기업부,13130,1,10,0.08,13030,13190,12980,428041,5599128110,1157723503950,88173915,KSQ
50,039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,30450,2,-450,-1.46,30300,30700,29700,223191,6748506550,1152725857500,37856350,KSQ
51,222800,KR7222800005,심텍,KOSDAQ,우량기업부,35450,2,-1100,-3.01,36000,36400,35000,347277,12343658100,1129229369350,31854143,KSQ
52,096530,KR7096530001,씨젠,KOSDAQ,우량기업부,21600,1,250,1.17,21050,21650,21000,228743,4894282200,1128081470400,52225994,KSQ
53,348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,68300,1,1100,1.64,66200,69000,65700,246907,16786090200,1111119494300,16268221,KSQ
54,213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,43250,2,-400,-0.92,43000,43450,42650,75849,3263807300,1073948491750,24831179,KSQ
55,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,91700,2,-200,-0.22,90900,91900,89300,22637,2035719900,1070597500000,11675000,KSQ
56,064550,KR7064550007,바이오니아,KOSDAQ,우량기업부,41250,3,0,0.0,40800,41350,40500,167970,6885095900,1064674503750,25810291,KSQ
57,195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,중견기업부,37450,1,350,0.94,36700,38150,36650,239162,8990257200,1060954417950,28329891,KSQ
58,281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,16050,2,-410,-2.49,16000,16250,15870,743285,11933389350,1054975295400,65730548,KSQ
59,048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,25600,1,200,0.79,25200,26150,25200,473151,12087058450,1018995404800,39804508,KSQ
60,310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,80100,2,-1800,-2.2,81700,82200,77400,111295,8853598800,1013094306900,12647869,KSQ
61,101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,46550,2,-3950,-7.82,49000,49150,46150,512542,24336029800,998564857850,21451447,KSQ
62,287410,KR7287410005,제이시스메디칼,KOSDAQ,우량기업부,13030,2,-650,-4.75,13380,13430,13020,767975,10129574450,995290008940,76384498,KSQ
63,420770,KR7420770000,기가비스,KOSDAQ,중견기업부,78100,2,-2900,-3.58,79700,79700,77000,150194,11759625700,989976699800,12675758,KSQ
64,091120,KR7091120006,이엠텍,KOSDAQ,우량기업부,57100,2,-100,-0.17,57200,59600,56300,328068,19029866800,978290645600,17132936,KSQ
65,060280,KR7060280005,큐렉소,KOSDAQ,중견기업부,23800,2,-600,-2.46,23850,24550,23450,4728430,113727197100,974752562000,40955990,KSQ
66,085370,KR7085370005,루트로닉,KOSDAQ,우량기업부,36700,3,0,0.0,36700,36750,36700,47716,1751344450,972837030700,26507821,KSQ
67,085660,KR7085660009,차바이오텍,KOSDAQ,벤처기업부,16920,1,40,0.24,16580,17300,16570,943151,16021234690,952059940560,56268318,KSQ
68,067310,KR7067310003,하나마이크론,KOSDAQ GLOBAL,우량기업부,19470,2,-70,-0.36,19120,20200,19100,1288657,25197422680,933038497380,47921854,KSQ
69,376300,KR7376300000,디어유,KOSDAQ,기술성장기업부,38850,2,-50,-0.13,38100,38950,37950,66981,2583595050,922237073100,23738406,KSQ
70,141080,KR7141080002,레고켐바이오,KOSDAQ GLOBAL,기술성장기업부,34700,1,250,0.73,34100,35000,34000,131094,4517771500,919201750800,26489964,KSQ
71,418550,KR7418550000,제이오,KOSDAQ,기술성장기업부,29100,2,-150,-0.51,28600,29500,28350,143803,4160122300,911885544300,31336273,KSQ
