,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,65300,2,-600,-0.91,65800,65800,65100,9348405,611291943300,389826800515000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,563000,1,5000,0.9,558000,567000,550000,169074,94518701000,131976000000000,234000000,STK
2,000660,KR7000660001,SK하이닉스,KOSPI,,87300,2,-1400,-1.58,88400,88600,86700,2286678,199600472100,63554606464500,728002365,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,788000,3,0,0.0,789000,797000,786000,43533,34376033000,56085112000000,71174000,STK
4,051910,KR7051910008,LG화학,KOSPI,,722000,2,-4000,-0.55,726000,735000,710000,143693,103461476000,50826486960000,70592343,STK
5,006400,KR7006400006,삼성SDI,KOSPI,,680000,2,-4000,-0.58,686000,689000,667000,199577,134619356750,46622351340000,68764530,STK
6,005935,KR7005931001,삼성전자우,KOSPI,,55600,2,-100,-0.18,55700,56000,55200,921420,51282309750,45587923180000,822886700,STK
7,005380,KR7005380001,현대차,KOSPI,,205000,1,2500,1.23,202000,205500,199900,701562,142627792000,43363958730000,211531506,STK
8,000270,KR7000270009,기아,KOSPI,,87600,1,500,0.57,86700,87800,85300,1233418,106956884200,35469292862500,405363347,STK
9,035420,KR7035420009,NAVER,KOSPI,,211000,1,4000,1.93,209000,214500,208500,1845332,390967614500,34696381477500,164049085,STK
10,005490,KR7005490008,POSCO홀딩스,KOSPI,,372000,1,4500,1.22,363000,373000,360000,1084001,397719318500,31460497560000,84571230,STK
11,035720,KR7035720002,카카오,KOSPI,,57500,2,-200,-0.35,57800,58700,57300,1401713,80966649500,25669828627200,445656747,STK
12,068270,KR7068270008,셀트리온,KOSPI,,171800,1,9400,5.79,165900,173700,165800,1123757,192066884800,25139699816400,146331198,STK
13,003670,KR7003670007,포스코퓨처엠,KOSPI,,317000,2,-4500,-1.4,316500,325000,308500,1339480,421222048500,24555840740000,77463220,STK
14,012330,KR7012330007,현대모비스,KOSPI,,224000,1,2500,1.13,221000,225000,219000,168011,37457001500,21167003603000,94285094,STK
15,028260,KR7028260008,삼성물산,KOSPI,,111000,1,200,0.18,110800,111200,110100,199284,22079102000,20725777282900,186887081,STK
16,105560,KR7105560007,KB금융,KOSPI,,49150,2,-100,-0.2,48900,49450,48550,1086854,53428700156,19812393635200,403511072,STK
17,066570,KR7066570003,LG전자,KOSPI,,111900,2,-400,-0.36,113000,113600,111000,560468,62918039900,18279460823800,163647814,STK
18,055550,KR7055550008,신한지주,KOSPI,,35550,2,-200,-0.56,35450,35700,35250,782218,27764135300,17906092744550,505108399,STK
19,096770,KR7096770003,SK이노베이션,KOSPI,,189000,1,4000,2.16,187600,190700,182300,887780,166307859200,17475991596000,92465564,STK
20,003550,KR7003550001,LG,KOSPI,,90100,2,-100,-0.11,90300,90700,89300,154175,13894999600,14172819469300,157300993,STK
21,032830,KR7032830002,삼성생명,KOSPI,,66700,2,-700,-1.04,67500,67500,66600,91727,6124277900,13340000000000,200000000,STK
22,086790,KR7086790003,하나금융지주,KOSPI,,42200,2,-100,-0.24,42350,42350,41800,506258,21343232150,12501921861000,295903476,STK
23,015760,KR7015760002,한국전력,KOSPI,,19240,1,230,1.21,18950,19270,18870,1211672,23186836040,12351388841480,641964077,STK
24,034730,KR7034730002,SK,KOSPI,,167700,1,800,0.48,167600,168900,166500,128946,21656231300,12238760608800,73198329,STK
25,323410,KR7323410001,카카오뱅크,KOSPI,,24750,1,350,1.43,24300,24850,24150,1271688,31293826500,11752309927050,476767137,STK
26,033780,KR7033780008,KT&G,KOSPI,,85600,3,0,0.0,85500,85700,85100,178839,15275343404,11752237743200,137292497,STK
27,352820,KR7352820005,하이브,KOSPI,,277500,2,-1500,-0.54,278000,283000,273000,181584,50435525000,11556411742500,41644727,STK
28,000810,KR7000810002,삼성화재,KOSPI,,230500,2,-1500,-0.65,233500,233500,228000,73882,17013177000,10919899928500,47374837,STK
29,017670,KR7017670001,SK텔레콤,KOSPI,,48600,1,50,0.1,48300,48950,48250,1033310,50271386300,10646232455600,218833144,STK
30,009150,KR7009150004,삼성전기,KOSPI,,138800,2,-1200,-0.86,139700,139900,138000,238816,33144572300,10382423744000,74693696,STK
31,010130,KR7010130003,고려아연,KOSPI,,509000,3,0,0.0,513000,514000,507000,25711,13089397000,10110347422000,19863158,STK
32,329180,KR7329180004,HD현대중공업,KOSPI,,113300,1,4400,4.04,109200,114400,109100,306040,34495480300,10057994042800,88773116,STK
33,034020,KR7034020008,두산에너빌리티,KOSPI,,15540,2,-270,-1.71,15810,15820,15520,3843986,59895793170,9960725820300,640561146,STK
34,259960,KR7259960003,크래프톤,KOSPI,,201000,2,-2000,-0.99,202000,204000,199900,156291,31524808400,9872076645000,49237290,STK
35,011200,KR7011200003,HMM,KOSPI,,19980,2,-70,-0.35,20100,20100,19950,813253,16260824660,9775899525040,489039496,STK
36,138040,KR7138040001,메리츠금융지주,KOSPI,,44700,2,-750,-1.65,45100,45450,44150,499119,22365976400,9317749145500,208217858,STK
37,018260,KR7018260000,삼성에스디에스,KOSPI,,118600,2,-300,-0.25,118400,119200,118200,90225,10694520600,9169269300000,77377800,STK
38,051900,KR7051900009,LG생활건강,KOSPI,,578000,2,-9000,-1.53,583000,587000,576000,53678,31195075000,9058554260000,15618197,STK
39,036570,KR7036570000,엔씨소프트,KOSPI,,394000,2,-1500,-0.38,394000,398000,387000,100759,39654366000,8660861679000,21954022,STK
40,316140,KR7316140003,우리금융지주,KOSPI,,11820,1,50,0.42,11780,11830,11700,1222210,14396953230,8605675689180,728060549,STK
41,003490,KR7003490000,대한항공,KOSPI,,22700,2,-150,-0.66,22900,22950,22700,629842,14332625400,8358609004700,368220661,STK
42,010950,KR7010950004,S-Oil,KOSPI,,72900,2,-400,-0.55,73500,73700,72200,219984,16016670200,8196027257600,112582792,STK
43,030200,KR7030200000,KT,KOSPI,,31250,1,500,1.63,30700,31350,30700,1162298,36169499650,8146688409600,261111808,STK
44,024110,KR7024110009,기업은행,KOSPI,,10120,1,20,0.2,10100,10130,10050,396775,4010845940,8061975535590,797425869,STK
45,377300,KR7377300009,카카오페이,KOSPI,,58300,2,-400,-0.68,58300,59100,58100,221524,12978824400,7820050189600,133904969,STK
46,009830,KR7009830001,한화솔루션,KOSPI,,44700,2,-1050,-2.3,45700,45750,44500,1242213,55726260200,7683596359200,171892536,STK
47,011170,KR7011170008,롯데케미칼,KOSPI,,169900,1,200,0.12,169300,170500,168600,75125,12747609100,7284653855700,42775419,STK
48,090430,KR7090430000,아모레퍼시픽,KOSPI,,115800,2,-400,-0.34,116200,117300,115500,179066,20816308900,6773461492200,58492759,STK
49,011070,KR7011070000,LG이노텍,KOSPI,,270500,2,-3000,-1.1,273500,274000,267500,181179,48920870500,6401952443500,23667107,STK
50,302440,KR7302440003,SK바이오사이언스,KOSPI,,81900,1,4200,5.41,78000,82500,77900,960292,77739131900,6280934962800,76784046,STK
