,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,68800,2,-700,-1.01,68900,69200,68100,15192046,1044365518100,410721039440000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,436500,2,-16000,-3.54,445500,446000,435500,361841,158803420500,102141000000000,234000000,STK
2,000660,KR7000660001,SK하이닉스,KOSPI,,126200,1,500,0.4,124300,127200,122800,3861193,482235299350,91873898463000,728002365,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,706000,2,-5000,-0.7,706000,711000,700000,52472,37048441000,50248844000000,71174000,STK
4,005935,KR7005931001,삼성전자우,KOSPI,,55000,1,200,0.36,54500,55000,53800,1629131,88742381000,45258768500000,822886700,STK
5,005380,KR7005380001,현대차,KOSPI,,183500,2,-5400,-2.86,187800,188600,183500,601436,111477864200,38816031351000,211531506,STK
6,005490,KR7005490008,POSCO홀딩스,KOSPI,,453000,2,-24000,-5.03,469000,475000,448000,2312701,1061103155000,38310767190000,84571230,STK
7,051910,KR7051910008,LG화학,KOSPI,,479000,2,-15000,-3.04,485000,487000,475000,348212,167334638908,33813732297000,70592343,STK
8,006400,KR7006400006,삼성SDI,KOSPI,,480000,2,-14000,-2.83,482500,486000,476500,271848,130484748500,33006974400000,68764530,STK
9,000270,KR7000270009,기아,KOSPI,,81700,2,-2400,-2.85,83500,83600,81400,1255719,103129992700,32847011385100,402044203,STK
10,035420,KR7035420009,NAVER,KOSPI,,180200,2,-1200,-0.66,178400,181600,178000,576627,103555647800,29561645117000,164049085,STK
11,003670,KR7003670007,포스코퓨처엠,KOSPI,,300000,2,-18000,-5.66,310500,312000,298000,956906,289896552500,23238966000000,77463220,STK
12,105560,KR7105560007,KB금융,KOSPI,,56800,2,-400,-0.7,56500,57200,56400,714942,40605772800,22919428889600,403511072,STK
13,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,233500,2,-6000,-2.51,234500,237500,224500,1077821,248830646000,22836613824000,97801344,KSQ
14,068270,KR7068270008,셀트리온,KOSPI,,142200,2,-100,-0.07,141700,143100,140400,363893,51620067400,20818473894000,146402770,STK
15,012330,KR7012330007,현대모비스,KOSPI,,218000,2,-7000,-3.11,223500,224500,217500,157292,34656591000,20554150492000,94285094,STK
16,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,751000,2,-47000,-5.89,784000,785000,740000,585312,443418793000,19997378668000,26627668,KSQ
17,028260,KR7028260008,삼성물산,KOSPI,,107700,1,500,0.47,106900,107700,105700,310638,33275862300,19988222859000,185591670,STK
18,055550,KR7055550008,신한지주,KOSPI,,35950,3,0,0.0,35950,36050,35550,663984,23803219600,18532375594550,515504189,STK
19,035720,KR7035720002,카카오,KOSPI,,39050,2,-1450,-3.58,39750,40150,38850,2470187,96971331600,17357156588200,444485444,STK
20,066570,KR7066570003,LG전자,KOSPI,,105400,2,-800,-0.75,105500,106100,104000,472423,49631126300,17248479595600,163647814,STK
21,032830,KR7032830002,삼성생명,KOSPI,,73700,2,-100,-0.14,73400,74200,72500,280716,20727092700,14740000000000,200000000,STK
22,096770,KR7096770003,SK이노베이션,KOSPI,,141000,2,-3000,-2.08,142000,144400,140600,426558,60542741000,14192434524000,100655564,STK
23,003550,KR7003550001,LG,KOSPI,,81200,2,-800,-0.98,80900,82000,80500,99462,8087421000,12772840631600,157300993,STK
24,086790,KR7086790003,하나금융지주,KOSPI,,43400,2,-350,-0.8,43750,43750,43000,940152,40775548354,12688276353200,292356598,STK
25,000810,KR7000810002,삼성화재,KOSPI,,260000,2,-1000,-0.38,261000,263000,258000,82608,21552849500,12317457620000,47374837,STK
26,033780,KR7033780008,KT&G,KOSPI,,87000,2,-1300,-1.47,88000,88300,87000,261014,22840712630,11944447239000,137292497,STK
27,017670,KR7017670001,SK텔레콤,KOSPI,,49900,2,-400,-0.8,50100,50200,49750,447563,22363949650,10919773885600,218833144,STK
28,015760,KR7015760002,한국전력,KOSPI,,16720,2,-190,-1.12,16820,16890,16710,1094807,18369648480,10733639367440,641964077,STK
29,047050,KR7047050000,포스코인터내셔널,KOSPI,,60700,2,-2100,-3.34,61100,62800,59500,1556894,94650921200,10678513231600,175922788,STK
30,034730,KR7034730002,SK,KOSPI,,145200,2,-4100,-2.75,148100,148800,142300,206248,29759442500,10628397370800,73198329,STK
31,091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,63500,2,-100,-0.16,63300,64200,63000,426641,27133485100,10443509974000,164464724,KSQ
32,138040,KR7138040001,메리츠금융지주,KOSPI,,50100,2,-1000,-1.96,50700,51100,49650,433884,21725225550,10431714685800,208217858,STK
33,009150,KR7009150004,삼성전기,KOSPI,,139500,2,-3400,-2.38,141600,141600,139000,298033,41719750100,10419770592000,74693696,STK
34,323410,KR7323410001,카카오뱅크,KOSPI,,21800,2,-1150,-5.01,22600,22650,21200,1372708,30036255650,10393523586600,476767137,STK
35,018260,KR7018260000,삼성에스디에스,KOSPI,,132800,2,-700,-0.52,133100,134200,131300,108454,14400465800,10275771840000,77377800,STK
